model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
RobertWalraven-ESG,inc death,2,AT,20,6,14,0,1.09,1.18,0.6,0.8,-0.51,1,5,Austria
USC-SIkJalpha,inc death,2,AT,18,14,0,4,0.96,0.73,0.8,1,0.32,1,5,Austria
epiforecasts-EpiNow2,inc death,2,AT,29,8,0,21,1.58,1.91,0.2,0.8,0.75,1,5,Austria
EuroCOVIDhub-baseline,inc death,3,AT,23,16,7,0,1,1,1,1,-0.4,1,4,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,17,15,0,2,0.74,0.38,1,1,0.1,1,4,Austria
IEM_Health-CovidProject,inc death,3,AT,34,18,15,1,1.51,1.74,0.5,1,-0.38,1,4,Austria
ILM-EKF,inc death,3,AT,43,34,0,9,1.9,1.7,1,1,0.32,1,4,Austria
LANL-GrowthRate,inc death,3,AT,20,8,12,0,0.91,1.08,0.5,1,-0.52,1,4,Austria
RobertWalraven-ESG,inc death,3,AT,29,8,21,0,1.29,1.54,0,0.75,-0.8,1,4,Austria
USC-SIkJalpha,inc death,3,AT,26,15,0,11,1.15,1.23,0.5,1,0.54,1,4,Austria
epiforecasts-EpiNow2,inc death,3,AT,54,11,0,43,2.41,2.71,0,0.75,0.94,1,4,Austria
EuroCOVIDhub-baseline,inc case,1,BE,4266,597,2338,1331,1,1,0.17,1,-0.06,1,6,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,2638,1415,382,842,0.62,0.69,0.5,1,0.05,1,6,Belgium
IEM_Health-CovidProject,inc case,1,BE,3903,1567,440,1896,0.91,1.1,0.5,1,0.17,1,6,Belgium
ILM-EKF,inc case,1,BE,3794,1134,712,1948,0.89,1.05,0.33,0.83,-0.05,1,6,Belgium
LANL-GrowthRate,inc case,1,BE,2230,1492,425,313,0.52,0.47,0.67,1,-0.12,1,6,Belgium
USC-SIkJalpha,inc case,1,BE,4306,1751,2421,134,1.01,0.98,0.67,0.83,-0.42,1,6,Belgium
epiforecasts-EpiNow2,inc case,1,BE,3890,1606,327,1957,0.91,1.07,0.67,0.83,0.2,1,6,Belgium
DSMPG-bayes,inc case,1,BE,3339,1246,0,2092,0.79,0.69,0.4,0.8,0.6,1,5,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,7100,1225,3810,2065,1,1,0,1,-0.18,1,5,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,6913,2259,1685,2969,0.97,1.08,0.2,1,0.13,1,5,Belgium
IEM_Health-CovidProject,inc case,2,BE,8903,2305,1702,4896,1.25,1.36,0,0.8,0.21,1,5,Belgium
ILM-EKF,inc case,2,BE,9462,2470,1671,5320,1.33,1.37,0.2,0.8,0.18,1,5,Belgium
LANL-GrowthRate,inc case,2,BE,6175,2085,1843,2247,0.87,0.92,0.2,1,-0.02,1,5,Belgium
USC-SIkJalpha,inc case,2,BE,6317,1386,4848,84,0.89,0.74,0.4,0.6,-0.5,1,5,Belgium
epiforecasts-EpiNow2,inc case,2,BE,9030,2659,1385,4987,1.27,1.34,0.4,0.6,0.22,1,5,Belgium
DSMPG-bayes,inc case,2,BE,10066,3579,327,6160,1.08,1.2,0.5,0.75,0.42,1,4,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,8051,1802,4607,1642,1,1,0.25,1,-0.3,1,4,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,12822,3733,3561,5528,1.59,1.57,0.25,0.75,0.14,1,4,Belgium
IEM_Health-CovidProject,inc case,3,BE,14152,3314,3233,7606,1.76,1.78,0.25,0.75,0.13,1,4,Belgium
ILM-EKF,inc case,3,BE,17438,4564,2786,10088,2.17,2.16,0.25,0.75,0.18,1,4,Belgium
LANL-GrowthRate,inc case,3,BE,10543,2741,4071,3731,1.31,1.35,0,0.75,0.02,1,4,Belgium
USC-SIkJalpha,inc case,3,BE,9633,1439,8147,48,1.2,0.88,0.5,0.5,-0.43,1,4,Belgium
epiforecasts-EpiNow2,inc case,3,BE,12872,4001,2447,6424,1.6,1.61,0.25,0.75,0.2,1,4,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,25,18,7,1,1,1,0.83,1,-0.12,1,6,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,18,14,3,1,0.73,0.83,0.83,1,-0.07,1,6,Belgium
IEM_Health-CovidProject,inc death,1,BE,27,11,14,2,1.07,1.83,0.67,1,-0.31,1,6,Belgium
ILM-EKF,inc death,1,BE,31,27,1,3,1.24,0.94,1,1,0.02,1,6,Belgium
LANL-GrowthRate,inc death,1,BE,28,7,17,5,1.12,1.71,0.17,1,-0.43,1,6,Belgium
RobertWalraven-ESG,inc death,1,BE,22,13,7,2,0.88,1.33,0.67,1,-0.28,1,6,Belgium
USC-SIkJalpha,inc death,1,BE,23,13,9,1,0.91,1.25,0.5,1,-0.3,1,6,Belgium
epiforecasts-EpiNow2,inc death,1,BE,36,18,1,16,1.41,2.24,0.33,1,0.38,1,6,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,44,35,8,0,1,1,1,1,-0.34,1,5,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,23,18,5,0,0.52,0.6,1,1,-0.18,1,5,Belgium
IEM_Health-CovidProject,inc death,2,BE,40,14,26,0,0.91,1.4,0.4,1,-0.58,1,5,Belgium
ILM-EKF,inc death,2,BE,40,32,2,6,0.92,0.96,1,1,0.06,1,5,Belgium
LANL-GrowthRate,inc death,2,BE,44,10,32,2,0.99,1.58,0.2,0.8,-0.57,1,5,Belgium
RobertWalraven-ESG,inc death,2,BE,37,16,21,0,0.85,1.42,0.4,1,-0.52,1,5,Belgium
USC-SIkJalpha,inc death,2,BE,27,14,10,3,0.63,0.92,0.4,1,-0.27,1,5,Belgium
epiforecasts-EpiNow2,inc death,2,BE,51,23,0,27,1.16,1.86,0.4,1,0.52,1,5,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,59,49,10,0,1,1,1,1,-0.28,1,4,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,31,22,8,1,0.51,0.57,0.75,1,-0.2,1,4,Belgium
IEM_Health-CovidProject,inc death,3,BE,57,16,41,0,0.95,1.44,0.25,0.75,-0.67,1,4,Belgium
ILM-EKF,inc death,3,BE,63,42,2,19,1.06,1.42,0.5,1,0.17,1,4,Belgium
LANL-GrowthRate,inc death,3,BE,43,14,27,1,0.72,1.07,0.5,1,-0.49,1,4,Belgium
RobertWalraven-ESG,inc death,3,BE,62,19,42,0,1.04,1.67,0.25,1,-0.74,1,4,Belgium
USC-SIkJalpha,inc death,3,BE,33,14,18,0,0.55,0.82,0.5,1,-0.45,1,4,Belgium
epiforecasts-EpiNow2,inc death,3,BE,72,31,0,41,1.21,1.74,0.5,1,0.52,1,4,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,2882,157,1487,1238,1,1,0,0.83,-0.01,1,6,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,2019,1451,190,377,0.7,0.74,0.83,1,0.07,1,6,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,3105,1645,494,966,1.08,1.35,0.5,1,0.13,1,6,Bulgaria
ILM-EKF,inc case,1,BG,2588,958,34,1596,0.9,1.05,0.33,1,0.48,1,6,Bulgaria
LANL-GrowthRate,inc case,1,BG,2192,1854,244,94,0.76,0.61,1,1,-0.13,1,6,Bulgaria
USC-SIkJalpha,inc case,1,BG,4992,2733,2033,226,1.73,1.22,0.5,0.67,-0.37,1,6,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,1891,1059,0,832,0.66,0.68,0.83,1,0.4,1,6,Bulgaria
DSMPG-bayes,inc case,1,BG,2853,1165,0,1688,0.91,0.76,0.4,1,0.66,1,5,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,5478,327,2860,2291,1,1,0.2,0.4,0.03,1,5,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,4624,2460,371,1792,0.84,1.15,0.4,1,0.3,1,5,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,6715,2600,758,3357,1.23,1.55,0.2,1,0.34,1,5,Bulgaria
ILM-EKF,inc case,2,BG,7510,2161,94,5255,1.37,1.67,0.2,0.8,0.64,1,5,Bulgaria
LANL-GrowthRate,inc case,2,BG,3310,2263,94,953,0.6,0.63,0.8,1,0.22,1,5,Bulgaria
USC-SIkJalpha,inc case,2,BG,6873,3630,3017,226,1.25,0.89,0.6,0.8,-0.3,1,5,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,5034,2415,0,2618,0.92,1.08,0.6,1,0.46,1,5,Bulgaria
DSMPG-bayes,inc case,2,BG,7590,3112,0,4478,1,1.39,0,1,0.78,1,4,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,6458,487,3319,2651,1,1,0,0.5,-0.01,1,4,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,8948,4043,117,4788,1.39,1.68,0.25,1,0.48,1,4,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,10733,3881,497,6355,1.66,2.01,0.5,1,0.46,1,4,Bulgaria
ILM-EKF,inc case,3,BG,15797,4408,0,11389,2.45,2.61,0.25,0.5,0.72,1,4,Bulgaria
LANL-GrowthRate,inc case,3,BG,5557,2804,37,2715,0.86,0.98,0.75,1,0.4,1,4,Bulgaria
USC-SIkJalpha,inc case,3,BG,6959,2905,3562,492,1.08,0.94,0.75,0.75,-0.17,1,4,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,12205,4996,0,7209,1.89,2.16,0.5,0.75,0.7,1,4,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,73,6,57,10,1,1,0,0.83,-0.1,1,6,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,76,41,14,21,1.04,0.89,0.67,1,0.02,1,6,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,116,70,42,4,1.59,1.49,0.83,1,-0.27,1,6,Bulgaria
ILM-EKF,inc death,1,BG,89,60,3,26,1.22,1.14,0.83,1,0.2,1,6,Bulgaria
LANL-GrowthRate,inc death,1,BG,126,16,49,61,1.73,1.82,0.17,0.83,-0.23,1,6,Bulgaria
RobertWalraven-ESG,inc death,1,BG,91,11,69,10,1.25,1.26,0,0.67,-0.62,1,6,Bulgaria
USC-SIkJalpha,inc death,1,BG,117,54,39,24,1.6,1.2,0.5,0.67,-0.2,1,6,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,123,43,5,75,1.69,1.93,0.17,0.83,0.47,1,6,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,97,13,78,5,1,1,0,0.8,-0.54,1,5,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,127,59,12,56,1.31,1.35,0.4,1,0.24,1,5,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,162,103,49,9,1.66,1.32,0.8,1,-0.08,1,5,Bulgaria
ILM-EKF,inc death,2,BG,176,82,0,94,1.82,1.92,0.4,1,0.54,1,5,Bulgaria
LANL-GrowthRate,inc death,2,BG,235,26,69,140,2.42,2.44,0,0.8,-0.11,1,5,Bulgaria
RobertWalraven-ESG,inc death,2,BG,89,13,76,0,0.92,0.75,0.4,0.6,-0.62,1,5,Bulgaria
USC-SIkJalpha,inc death,2,BG,148,82,30,36,1.52,1.24,0.4,0.8,0.1,1,5,Bulgaria
epiforecasts-EpiNow2,inc death,2,BG,219,58,0,162,2.26,2.33,0.2,0.6,0.69,1,5,Bulgaria
EuroCOVIDhub-baseline,inc death,3,BG,111,19,91,0,1,1,0,1,-0.84,1,4,Bulgaria
EuroCOVIDhub-ensemble,inc death,3,BG,202,90,0,111,1.82,1.78,0.5,1,0.45,1,4,Bulgaria
IEM_Health-CovidProject,inc death,3,BG,228,152,44,32,2.06,1.61,0.75,1,-0,1,4,Bulgaria
ILM-EKF,inc death,3,BG,364,127,0,238,3.3,3.38,0.25,0.75,0.74,1,4,Bulgaria
LANL-GrowthRate,inc death,3,BG,328,53,46,229,2.97,2.87,0.25,0.75,0.32,1,4,Bulgaria
RobertWalraven-ESG,inc death,3,BG,108,16,92,0,0.97,0.86,0.25,0.25,-0.82,1,4,Bulgaria
USC-SIkJalpha,inc death,3,BG,141,73,23,45,1.28,1.22,0.5,1,0.05,1,4,Bulgaria
epiforecasts-EpiNow2,inc death,3,BG,441,125,0,317,3.99,3.92,0,0.75,0.83,1,4,Bulgaria
EuroCOVIDhub-baseline,inc case,1,CH,1058,307,689,62,1,1,0,1,-0.5,1,6,Switzerland
EuroCOVIDhub-ensemble,inc case,1,CH,974,690,214,70,0.92,0.79,0.67,1,-0.2,1,6,Switzerland
IEM_Health-CovidProject,inc case,1,CH,1686,814,766,106,1.59,1.45,0.67,0.83,-0.3,1,6,Switzerland
ILM-EKF,inc case,1,CH,1025,554,273,198,0.97,1.05,0.5,1,-0.15,1,6,Switzerland
LANL-GrowthRate,inc case,1,CH,1539,875,353,311,1.46,1.68,0.67,1,-0.12,1,6,Switzerland
USC-SIkJalpha,inc case,1,CH,1780,797,983,0,1.68,1.66,0.17,1,-0.63,1,6,Switzerland
epiforecasts-EpiNow2,inc case,1,CH,954,625,33,297,0.9,0.72,0.67,0.83,0.27,1,6,Switzerland
EuroCOVIDhub-baseline,inc case,2,CH,1508,647,861,0,1,1,0.2,1,-0.6,1,5,Switzerland
EuroCOVIDhub-ensemble,inc case,2,CH,1571,917,581,73,1.04,0.88,0.6,1,-0.28,1,5,Switzerland
IEM_Health-CovidProject,inc case,2,CH,2791,1058,1624,110,1.85,1.72,0.6,0.8,-0.35,1,5,Switzerland
ILM-EKF,inc case,2,CH,1758,1039,408,311,1.17,1.19,0.6,1,-0.06,1,5,Switzerland
LANL-GrowthRate,inc case,2,CH,1919,1009,525,385,1.27,1.32,0.4,1,-0.12,1,5,Switzerland
USC-SIkJalpha,inc case,2,CH,3016,821,2195,0,2,1.55,0.2,0.4,-0.76,1,5,Switzerland
epiforecasts-EpiNow2,inc case,2,CH,1665,796,282,588,1.1,1,0.6,0.8,-0.06,1,5,Switzerland
EuroCOVIDhub-baseline,inc case,3,CH,2221,959,1262,0,1,1,0.25,1,-0.62,1,4,Switzerland
EuroCOVIDhub-ensemble,inc case,3,CH,2374,1177,1123,74,1.07,0.89,0.5,1,-0.28,1,4,Switzerland
IEM_Health-CovidProject,inc case,3,CH,3929,1192,2724,13,1.77,1.29,0.5,0.75,-0.51,1,4,Switzerland
ILM-EKF,inc case,3,CH,2628,1563,805,261,1.18,1.09,0.75,1,-0.12,1,4,Switzerland
LANL-GrowthRate,inc case,3,CH,2706,1167,1114,425,1.22,1.3,0.25,1,-0.35,1,4,Switzerland
USC-SIkJalpha,inc case,3,CH,3664,761,2903,0,1.65,1.25,0.25,0.5,-0.75,1,4,Switzerland
epiforecasts-EpiNow2,inc case,3,CH,2688,1279,788,621,1.21,1.14,0.5,1,-0.05,1,4,Switzerland
EuroCOVIDhub-baseline,inc death,1,CH,21,7,6,8,1,1,0.33,1,0.05,1,6,Switzerland
EuroCOVIDhub-ensemble,inc death,1,CH,16,7,3,6,0.78,0.8,0.5,1,0.12,1,6,Switzerland
IEM_Health-CovidProject,inc death,1,CH,19,8,10,1,0.91,0.98,0.67,1,-0.38,1,6,Switzerland
ILM-EKF,inc death,1,CH,21,13,2,7,0.99,0.87,0.67,1,0.15,1,6,Switzerland
LANL-GrowthRate,inc death,1,CH,14,5,3,5,0.65,0.75,0.33,1,0.23,1,6,Switzerland
RobertWalraven-ESG,inc death,1,CH,18,7,8,3,0.85,0.91,0.17,0.83,-0.06,1,6,Switzerland
USC-SIkJalpha,inc death,1,CH,19,5,6,7,0.89,0.88,0.33,0.5,0.03,1,6,Switzerland
epiforecasts-EpiNow2,inc death,1,CH,20,8,1,10,0.93,0.89,0.33,0.83,0.4,1,6,Switzerland
EuroCOVIDhub-baseline,inc death,2,CH,18,13,2,2,1,1,1,1,-0.12,1,5,Switzerland
EuroCOVIDhub-ensemble,inc death,2,CH,17,9,4,5,0.95,1.41,0.4,1,0.04,1,5,Switzerland
IEM_Health-CovidProject,inc death,2,CH,23,9,14,0,1.28,1.81,0.6,1,-0.38,1,5,Switzerland
ILM-EKF,inc death,2,CH,25,14,4,8,1.39,2.08,0.4,1,0.18,1,5,Switzerland
LANL-GrowthRate,inc death,2,CH,22,7,3,12,1.18,1.5,0.6,0.8,-0.08,1,5,Switzerland
RobertWalraven-ESG,inc death,2,CH,15,8,7,0,0.82,1.16,0.6,1,-0.4,1,5,Switzerland
USC-SIkJalpha,inc death,2,CH,17,6,4,6,0.91,1.34,0.4,0.8,-0.02,1,5,Switzerland
epiforecasts-EpiNow2,inc death,2,CH,27,10,1,16,1.47,2.05,0.4,1,0.39,1,5,Switzerland
EuroCOVIDhub-baseline,inc death,3,CH,22,18,1,3,1,1,1,1,0.07,1,4,Switzerland
EuroCOVIDhub-ensemble,inc death,3,CH,19,11,3,6,0.9,1.51,0.5,1,0.17,1,4,Switzerland
IEM_Health-CovidProject,inc death,3,CH,26,11,14,1,1.22,2.33,0.5,1,-0.42,1,4,Switzerland
ILM-EKF,inc death,3,CH,33,17,4,13,1.55,2.64,0.5,1,0.24,1,4,Switzerland
LANL-GrowthRate,inc death,3,CH,26,8,3,15,1.2,2.35,0,1,0.38,1,4,Switzerland
RobertWalraven-ESG,inc death,3,CH,16,10,6,0,0.77,1.35,0.75,1,-0.22,1,4,Switzerland
USC-SIkJalpha,inc death,3,CH,18,6,3,9,0.86,1.6,0.5,0.75,0.15,1,4,Switzerland
epiforecasts-EpiNow2,inc death,3,CH,36,13,0,23,1.66,2.63,0.5,0.75,0.52,1,4,Switzerland
EuroCOVIDhub-baseline,inc case,1,CY,329,28,277,24,1,1,0,1,-0.36,1,6,Cyprus
EuroCOVIDhub-ensemble,inc case,1,CY,339,238,49,52,1.03,0.94,0.5,1,-0.05,1,6,Cyprus
IEM_Health-CovidProject,inc case,1,CY,494,90,203,201,1.5,1.59,0.17,0.5,-0.2,1,6,Cyprus
ILM-EKF,inc case,1,CY,431,178,134,119,1.31,1.27,0.5,0.83,0.09,1,6,Cyprus
LANL-GrowthRate,inc case,1,CY,287,77,170,40,0.87,0.95,0.33,0.83,-0.39,1,6,Cyprus
USC-SIkJalpha,inc case,1,CY,809,695,104,10,2.46,0.93,0.83,0.83,-0.22,1,6,Cyprus
epiforecasts-EpiNow2,inc case,1,CY,410,243,68,99,1.25,1.35,0.67,1,0.03,1,6,Cyprus
DSMPG-bayes,inc case,1,CY,340,181,30,128,1.33,0.98,0.6,1,0.18,1,5,Cyprus
EuroCOVIDhub-baseline,inc case,2,CY,532,62,448,23,1,1,0,1,-0.56,1,5,Cyprus
EuroCOVIDhub-ensemble,inc case,2,CY,669,411,110,148,1.26,1.13,0.6,1,0.04,1,5,Cyprus
IEM_Health-CovidProject,inc case,2,CY,896,123,348,426,1.68,1.68,0,0.6,-0.17,1,5,Cyprus
ILM-EKF,inc case,2,CY,612,297,93,222,1.15,1.26,0.4,1,0.18,1,5,Cyprus
LANL-GrowthRate,inc case,2,CY,623,130,379,115,1.17,1.23,0.2,0.8,-0.25,1,5,Cyprus
USC-SIkJalpha,inc case,2,CY,1303,969,284,50,2.45,1.2,0.6,0.8,-0.12,1,5,Cyprus
epiforecasts-EpiNow2,inc case,2,CY,1151,591,187,374,2.16,2.25,0.4,1,0.06,1,5,Cyprus
DSMPG-bayes,inc case,2,CY,946,687,84,175,1.57,1.5,0.75,1,0.05,1,4,Cyprus
EuroCOVIDhub-baseline,inc case,3,CY,637,93,544,0,1,1,0.5,0.75,-0.72,1,4,Cyprus
EuroCOVIDhub-ensemble,inc case,3,CY,1079,616,166,298,1.69,1.62,0.25,1,0.12,1,4,Cyprus
IEM_Health-CovidProject,inc case,3,CY,1128,168,349,612,1.77,1.68,0.25,0.5,0.15,1,4,Cyprus
ILM-EKF,inc case,3,CY,877,493,51,333,1.38,1.56,0.5,1,0.3,1,4,Cyprus
LANL-GrowthRate,inc case,3,CY,888,177,673,38,1.39,1.3,0.5,0.5,-0.3,1,4,Cyprus
USC-SIkJalpha,inc case,3,CY,1649,1038,471,140,2.59,1.39,0.5,0.5,0,1,4,Cyprus
epiforecasts-EpiNow2,inc case,3,CY,2262,1070,394,799,3.55,3.95,0.5,1,0.08,1,4,Cyprus
EuroCOVIDhub-baseline,inc death,1,CY,2,0,2,0,1,1,0.17,1,-0.45,1,6,Cyprus
EuroCOVIDhub-ensemble,inc death,1,CY,2,1,1,0,0.9,0.89,1,1,-0.3,1,6,Cyprus
IEM_Health-CovidProject,inc death,1,CY,3,1,1,0,1.19,1.53,0.67,1,-0.5,1,6,Cyprus
ILM-EKF,inc death,1,CY,3,3,0,0,1.58,0.79,1,1,-0.1,1,6,Cyprus
LANL-GrowthRate,inc death,1,CY,3,1,2,0,1.5,1.74,0.17,1,-0.59,1,6,Cyprus
RobertWalraven-ESG,inc death,1,CY,1,1,1,0,0.7,0.74,0.5,0.83,-0.5,1,6,Cyprus
USC-SIkJalpha,inc death,1,CY,3,1,2,0,1.32,1.05,0.5,0.67,-0.55,1,6,Cyprus
epiforecasts-EpiNow2,inc death,1,CY,2,1,0,0,0.76,0.58,0.83,1,0.07,1,6,Cyprus
EuroCOVIDhub-baseline,inc death,2,CY,2,1,2,0,1,1,0.2,1,-0.68,1,5,Cyprus
EuroCOVIDhub-ensemble,inc death,2,CY,2,2,1,0,1.01,0.8,1,1,-0.3,1,5,Cyprus
IEM_Health-CovidProject,inc death,2,CY,4,2,2,0,1.6,1.8,0.4,1,-0.54,1,5,Cyprus
ILM-EKF,inc death,2,CY,4,4,0,0,1.59,0.45,1,1,-0.1,1,5,Cyprus
LANL-GrowthRate,inc death,2,CY,4,1,3,0,1.62,1.5,0.2,0.6,-0.79,1,5,Cyprus
RobertWalraven-ESG,inc death,2,CY,3,1,2,0,1.2,1.05,0.6,0.8,-0.59,1,5,Cyprus
USC-SIkJalpha,inc death,2,CY,3,2,1,0,1.04,1,0.8,1,-0.44,1,5,Cyprus
epiforecasts-EpiNow2,inc death,2,CY,2,2,0,1,1.01,0.85,0.8,1,0.02,1,5,Cyprus
EuroCOVIDhub-baseline,inc death,3,CY,4,1,3,0,1,1,0,1,-0.85,1,4,Cyprus
EuroCOVIDhub-ensemble,inc death,3,CY,5,4,1,0,1.25,0.59,0.75,1,-0.32,1,4,Cyprus
IEM_Health-CovidProject,inc death,3,CY,5,2,3,0,1.29,1.44,0.25,1,-0.65,1,4,Cyprus
ILM-EKF,inc death,3,CY,5,4,1,0,1.29,0.48,0.75,1,-0.18,1,4,Cyprus
LANL-GrowthRate,inc death,3,CY,5,1,5,0,1.35,1.22,0,0.25,-0.95,1,4,Cyprus
RobertWalraven-ESG,inc death,3,CY,5,1,4,0,1.17,1.11,0,0.5,-0.92,1,4,Cyprus
USC-SIkJalpha,inc death,3,CY,4,2,3,0,1.09,0.89,0.75,0.75,-0.5,1,4,Cyprus
epiforecasts-EpiNow2,inc death,3,CY,4,2,1,1,1.01,0.89,0.5,1,-0.1,1,4,Cyprus
EuroCOVIDhub-baseline,inc case,1,CZ,7051,744,0,6307,1,1,0,1,0.85,1,6,Czechia
EuroCOVIDhub-ensemble,inc case,1,CZ,4154,3057,0,1097,0.59,0.53,0.83,1,0.35,1,6,Czechia
IEM_Health-CovidProject,inc case,1,CZ,8847,4860,0,3987,1.25,1.39,0.67,1,0.48,1,6,Czechia
ILM-EKF,inc case,1,CZ,4326,2091,100,2135,0.61,0.68,0.67,1,0.3,1,6,Czechia
LANL-GrowthRate,inc case,1,CZ,5637,3457,2180,0,0.8,0.85,0.83,1,-0.42,1,6,Czechia
USC-SIkJalpha,inc case,1,CZ,8613,4413,0,4200,1.22,0.92,0.5,0.5,0.68,1,6,Czechia
