model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
UMass-SemiMech,inc case,2,AT,2537,1215,100,1223,0.85,0.82,0.33,1,0.46,1,6,Austria
USC-SIkJalpha,inc case,5,AT,6749,1461,0,5287,NA,NA,0.17,0.33,0.82,1,6,Austria
LANL-GrowthRate,inc case,6,AT,4974,1803,16,3154,NA,NA,0.4,0.8,0.57,1,5,Austria
UMass-SemiMech,inc case,3,AT,3104,1553,15,1536,0.89,0.78,0.4,1,0.5,1,5,Austria
UMass-SemiMech,inc case,4,AT,4050,2051,0,1999,1.12,0.99,0.5,1,0.55,1,4,Austria
epiforecasts-EpiExpert_Rt,inc case,1,AT,1212,430,210,572,0.9,0.88,0.25,0.75,0.28,1,4,Austria
EuroCOVIDhub-baseline,inc death,1,AT,15,6,4,6,1,1,0.2,1,0.13,1,10,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,11,9,1,2,0.7,0.56,0.9,1,0.15,1,10,Austria
IEM_Health-CovidProject,inc death,1,AT,16,10,3,3,0.94,0.88,0.7,1,0.1,1,10,Austria
ILM-EKF,inc death,1,AT,24,22,0,2,1.5,0.71,1,1,0.13,1,10,Austria
LANL-GrowthRate,inc death,1,AT,12,3,6,2,0.69,0.65,0.4,0.9,0.01,1,10,Austria
RobertWalraven-ESG,inc death,1,AT,11,5,3,3,0.69,0.78,0.2,1,0.13,1,10,Austria
USC-SIkJalpha,inc death,1,AT,19,7,1,11,1.24,0.81,0.4,0.5,0.56,1,10,Austria
epiforecasts-EpiNow2,inc death,1,AT,13,7,0,7,0.76,0.66,0.6,1,0.42,1,10,Austria
EuroCOVIDhub-baseline,inc death,2,AT,23,11,4,8,1,1,0.44,1,0.07,1,9,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,14,11,1,3,0.58,0.44,0.78,1,0.26,1,9,Austria
IEM_Health-CovidProject,inc death,2,AT,24,14,5,5,0.99,0.95,0.44,1,0.14,1,9,Austria
ILM-EKF,inc death,2,AT,29,25,0,4,1.21,0.82,1,1,0.26,1,9,Austria
LANL-GrowthRate,inc death,2,AT,15,5,7,3,0.64,0.69,0.11,1,-0.18,1,9,Austria
RobertWalraven-ESG,inc death,2,AT,18,6,7,5,0.77,0.77,0.44,0.89,0.07,1,9,Austria
USC-SIkJalpha,inc death,2,AT,22,9,0,13,0.93,0.62,0.44,0.56,0.62,1,9,Austria
epiforecasts-EpiNow2,inc death,2,AT,21,8,0,13,0.79,0.68,0.44,0.89,0.59,1,9,Austria
EuroCOVIDhub-baseline,inc death,3,AT,30,16,3,11,1,1,0.62,1,0.09,1,8,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,19,13,0,6,0.62,0.5,0.75,1,0.33,1,8,Austria
IEM_Health-CovidProject,inc death,3,AT,38,18,7,13,1.23,1.27,0.38,0.88,0.16,1,8,Austria
ILM-EKF,inc death,3,AT,39,30,0,8,1.24,1.1,0.88,1,0.4,1,8,Austria
LANL-GrowthRate,inc death,3,AT,21,7,8,6,0.67,0.65,0.38,0.88,-0.15,1,8,Austria
RobertWalraven-ESG,inc death,3,AT,25,7,10,8,0.83,0.89,0.12,0.88,-0.1,1,8,Austria
USC-SIkJalpha,inc death,3,AT,35,11,0,24,1.16,0.94,0.38,0.62,0.68,1,8,Austria
epiforecasts-EpiNow2,inc death,3,AT,34,10,0,24,0.99,0.9,0.38,0.88,0.62,1,8,Austria
EuroCOVIDhub-baseline,inc death,4,AT,35,20,4,11,1,1,0.57,1,0.06,1,7,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,25,17,0,8,0.71,0.68,0.71,1,0.37,1,7,Austria
IEM_Health-CovidProject,inc death,4,AT,55,24,12,19,1.55,1.59,0.43,1,0.19,1,7,Austria
ILM-EKF,inc death,4,AT,54,37,0,17,1.48,1.41,0.43,1,0.51,1,7,Austria
LANL-GrowthRate,inc death,4,AT,27,9,12,6,0.69,0.59,0.57,0.86,-0.16,1,7,Austria
RobertWalraven-ESG,inc death,4,AT,39,8,20,11,1.06,1.05,0.14,0.71,-0.21,1,7,Austria
UMass-MechBayes,inc death,1,AT,10,7,2,1,0.64,0.55,0.86,1,-0.04,1,7,Austria
UMass-SemiMech,inc death,1,AT,10,8,0,1,0.65,0.53,0.86,1,0.21,1,7,Austria
USC-SIkJalpha,inc death,4,AT,44,14,0,30,1.21,0.99,0.43,0.57,0.67,1,7,Austria
epiforecasts-EpiNow2,inc death,4,AT,45,15,0,30,1.07,1.01,0.43,1,0.63,1,7,Austria
LANL-GrowthRate,inc death,5,AT,31,11,17,3,NA,NA,0.5,1,-0.1,1,6,Austria
UMass-MechBayes,inc death,2,AT,12,10,1,1,0.53,0.36,1,1,0.03,1,6,Austria
UMass-SemiMech,inc death,2,AT,17,10,0,6,0.76,0.65,0.67,1,0.38,1,6,Austria
USC-SIkJalpha,inc death,5,AT,59,19,0,40,NA,NA,0.33,0.67,0.71,1,6,Austria
LANL-GrowthRate,inc death,6,AT,35,13,18,3,NA,NA,0.4,1,-0.06,1,5,Austria
UMass-MechBayes,inc death,3,AT,17,13,2,3,0.58,0.54,1,1,0.14,1,5,Austria
UMass-SemiMech,inc death,3,AT,26,13,0,13,0.88,0.88,0.6,1,0.51,1,5,Austria
UMass-MechBayes,inc death,4,AT,24,17,0,7,0.73,0.68,0.75,1,0.3,1,4,Austria
UMass-SemiMech,inc death,4,AT,38,17,0,22,1.19,1.09,0.5,0.75,0.6,1,4,Austria
epiforecasts-EpiExpert_Rt,inc death,1,AT,9,5,0,4,0.72,0.84,0.5,1,0.42,1,4,Austria
EuroCOVIDhub-baseline,inc case,1,BE,3245,632,1379,1234,1,1,0.3,1,0.14,1,10,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,2235,1336,272,627,0.73,0.82,0.6,1,0.08,1,10,Belgium
IEM_Health-CovidProject,inc case,1,BE,2924,1381,232,1310,0.95,1.14,0.6,1,0.25,1,10,Belgium
ILM-EKF,inc case,1,BE,2788,1090,426,1273,0.91,1.1,0.5,0.9,0.03,1,10,Belgium
LANL-GrowthRate,inc case,1,BE,2162,1455,538,169,0.7,0.73,0.6,1,-0.21,1,10,Belgium
USC-SIkJalpha,inc case,1,BE,3384,1336,1409,639,1.04,1,0.6,0.7,-0.05,1,10,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2924,1537,172,1214,0.96,1.06,0.7,0.9,0.2,1,10,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,4937,1310,2046,1580,1,1,0.11,1,0.1,1,9,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,4608,2071,912,1625,0.96,1.01,0.56,1,0.09,1,9,Belgium
IEM_Health-CovidProject,inc case,2,BE,6043,2117,889,3037,1.29,1.43,0.33,0.89,0.34,1,9,Belgium
ILM-EKF,inc case,2,BE,6195,2141,1158,2896,1.32,1.35,0.44,0.89,0.09,1,9,Belgium
LANL-GrowthRate,inc case,2,BE,4353,1971,1219,1164,0.9,0.94,0.56,1,-0.12,1,9,Belgium
USC-SIkJalpha,inc case,2,BE,5119,1599,2778,742,1.01,0.79,0.56,0.67,-0.12,1,9,Belgium
epiforecasts-EpiNow2,inc case,2,BE,5922,2453,723,2745,1.27,1.26,0.67,0.78,0.2,1,9,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,5822,1950,2208,1664,1,1,0.38,1,0.14,1,8,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,8013,3227,1756,3030,1.38,1.33,0.5,0.88,0.18,1,8,Belgium
IEM_Health-CovidProject,inc case,3,BE,10309,3162,1545,5602,1.83,1.9,0.25,0.88,0.43,1,8,Belgium
ILM-EKF,inc case,3,BE,10528,3717,1539,5271,1.87,1.86,0.38,0.88,0.12,1,8,Belgium
LANL-GrowthRate,inc case,3,BE,6354,2430,2076,1847,1.07,1.08,0.5,0.88,-0.03,1,8,Belgium
USC-SIkJalpha,inc case,3,BE,6469,1918,4191,360,1.04,0.73,0.75,0.75,-0.17,1,8,Belgium
epiforecasts-EpiNow2,inc case,3,BE,9210,3638,1160,4411,1.64,1.61,0.5,0.88,0.28,1,8,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,5349,2550,1129,1669,1,1,0.43,1,0.11,1,7,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,10270,5104,934,4232,1.89,1.7,0.43,1,0.29,1,7,Belgium
IEM_Health-CovidProject,inc case,4,BE,14037,4692,763,8582,2.67,2.76,0.29,0.86,0.5,1,7,Belgium
ILM-EKF,inc case,4,BE,15152,6107,1031,8013,2.87,2.79,0.29,0.86,0.23,1,7,Belgium
LANL-GrowthRate,inc case,4,BE,5297,2748,958,1591,0.96,0.93,0.57,1,0.09,1,7,Belgium
UMass-SemiMech,inc case,1,BE,3388,2133,454,801,1.05,1.19,0.57,1,0.21,1,7,Belgium
USC-SIkJalpha,inc case,4,BE,5929,2341,3328,259,1.04,0.74,0.57,0.71,-0.13,1,7,Belgium
epiforecasts-EpiNow2,inc case,4,BE,11705,4966,518,6221,2.22,2.18,0.43,0.86,0.46,1,7,Belgium
LANL-GrowthRate,inc case,5,BE,5054,2968,311,1775,NA,NA,0.67,1,0.18,1,6,Belgium
UMass-SemiMech,inc case,2,BE,4901,2708,791,1402,1.1,1.32,0.5,1,0.2,1,6,Belgium
USC-SIkJalpha,inc case,5,BE,5911,2859,2944,108,NA,NA,0.67,0.83,-0.28,1,6,Belgium
LANL-GrowthRate,inc case,6,BE,5904,3287,402,2214,NA,NA,0.6,1,0.22,1,5,Belgium
UMass-SemiMech,inc case,3,BE,7131,3396,1627,2109,1.5,1.58,0.2,1,0.21,1,5,Belgium
UMass-SemiMech,inc case,4,BE,8843,4423,1709,2711,1.67,1.73,0.25,1,0.09,1,4,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,26,18,4,4,1,1,0.8,1,0.1,1,10,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,18,13,2,4,0.7,0.76,0.8,1,-0.01,1,10,Belgium
IEM_Health-CovidProject,inc death,1,BE,24,10,8,6,0.88,1.25,0.7,0.9,-0.07,1,10,Belgium
ILM-EKF,inc death,1,BE,31,28,0,3,1.18,0.7,1,1,0.07,1,10,Belgium
LANL-GrowthRate,inc death,1,BE,25,6,10,9,0.95,1.25,0.4,0.9,-0.22,1,10,Belgium
RobertWalraven-ESG,inc death,1,BE,20,13,4,3,0.75,1.12,0.6,1,-0.04,1,10,Belgium
USC-SIkJalpha,inc death,1,BE,23,10,5,8,0.87,1.02,0.4,0.7,-0.12,1,10,Belgium
epiforecasts-EpiNow2,inc death,1,BE,27,14,1,12,1.04,1.48,0.5,0.9,0.27,1,10,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,44,36,4,3,1,1,1,1,-0.07,1,9,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,22,17,3,3,0.5,0.63,0.89,1,-0.03,1,9,Belgium
IEM_Health-CovidProject,inc death,2,BE,36,15,14,8,0.81,1.24,0.44,1,-0.12,1,9,Belgium
ILM-EKF,inc death,2,BE,37,32,1,4,0.84,0.65,1,1,0.12,1,9,Belgium
LANL-GrowthRate,inc death,2,BE,31,10,18,4,0.71,1.1,0.44,0.89,-0.29,1,9,Belgium
RobertWalraven-ESG,inc death,2,BE,30,16,11,4,0.68,1.12,0.56,1,-0.13,1,9,Belgium
USC-SIkJalpha,inc death,2,BE,28,12,6,10,0.66,0.86,0.56,0.89,-0.06,1,9,Belgium
epiforecasts-EpiNow2,inc death,2,BE,36,19,0,17,0.84,1.39,0.56,1,0.38,1,9,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,58,51,4,3,1,1,1,1,-0.05,1,8,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,29,22,5,3,0.5,0.68,0.75,1,-0.01,1,8,Belgium
IEM_Health-CovidProject,inc death,3,BE,52,20,19,12,0.87,1.52,0.38,0.88,-0.07,1,8,Belgium
ILM-EKF,inc death,3,BE,51,40,1,11,0.88,1.15,0.75,1,0.19,1,8,Belgium
LANL-GrowthRate,inc death,3,BE,40,14,21,5,0.67,1.22,0.5,1,-0.34,1,8,Belgium
RobertWalraven-ESG,inc death,3,BE,43,19,20,5,0.69,1.24,0.5,1,-0.16,1,8,Belgium
USC-SIkJalpha,inc death,3,BE,32,15,9,8,0.55,0.87,0.5,0.75,0.03,1,8,Belgium
epiforecasts-EpiNow2,inc death,3,BE,59,30,0,29,1.05,1.84,0.5,1,0.46,1,8,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,71,63,5,3,1,1,1,1,-0.09,1,7,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,40,29,9,3,0.55,0.76,0.71,1,0,1,7,Belgium
IEM_Health-CovidProject,inc death,4,BE,76,27,32,18,1.04,1.79,0.43,0.86,-0.01,1,7,Belgium
ILM-EKF,inc death,4,BE,82,51,3,28,1.15,1.89,0.71,1,0.21,1,7,Belgium
LANL-GrowthRate,inc death,4,BE,53,17,33,2,0.7,1.17,0.43,0.86,-0.35,1,7,Belgium
RobertWalraven-ESG,inc death,4,BE,54,21,29,3,0.67,1.27,0.43,1,-0.25,1,7,Belgium
UMass-MechBayes,inc death,1,BE,19,12,4,3,0.73,1.09,0.71,1,-0.14,1,7,Belgium
UMass-SemiMech,inc death,1,BE,21,13,4,4,0.84,1.19,0.71,1,-0.13,1,7,Belgium
USC-SIkJalpha,inc death,4,BE,35,20,13,3,0.47,0.65,0.43,1,-0.21,1,7,Belgium
epiforecasts-EpiNow2,inc death,4,BE,99,46,0,53,1.46,2.49,0.57,1,0.45,1,7,Belgium
LANL-GrowthRate,inc death,5,BE,68,21,45,3,NA,NA,0.33,0.83,-0.38,1,6,Belgium
UMass-MechBayes,inc death,2,BE,28,17,10,0,0.65,0.94,0.83,1,-0.22,1,6,Belgium
UMass-SemiMech,inc death,2,BE,29,18,8,2,0.67,0.98,0.67,1,-0.12,1,6,Belgium
USC-SIkJalpha,inc death,5,BE,44,26,18,0,NA,NA,0.67,1,-0.28,1,6,Belgium
LANL-GrowthRate,inc death,6,BE,65,22,43,0,NA,NA,0.4,0.8,-0.56,1,5,Belgium
UMass-MechBayes,inc death,3,BE,38,23,15,0,0.68,0.71,0.8,1,-0.21,1,5,Belgium
UMass-SemiMech,inc death,3,BE,43,26,13,5,0.78,1,0.6,1,-0.06,1,5,Belgium
UMass-MechBayes,inc death,4,BE,39,27,11,0,0.62,0.67,0.75,1,-0.2,1,4,Belgium
UMass-SemiMech,inc death,4,BE,44,33,10,1,0.7,0.8,0.75,1,-0.13,1,4,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,2404,178,878,1349,1,1,0,0.9,0.34,1,10,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,1466,1128,98,240,0.61,0.58,0.8,1,0.16,1,10,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,2475,1269,266,940,1.05,1.32,0.3,1,0.4,1,10,Bulgaria
ILM-EKF,inc case,1,BG,1726,755,32,939,0.71,0.82,0.5,1,0.34,1,10,Bulgaria
LANL-GrowthRate,inc case,1,BG,1773,1579,150,43,0.74,0.57,1,1,-0.17,1,10,Bulgaria
USC-SIkJalpha,inc case,1,BG,3363,1797,1184,382,1.36,0.89,0.4,0.5,0.04,1,10,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,1350,884,5,461,0.54,0.47,0.9,1,0.25,1,10,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,4839,375,1567,2897,1,1,0.11,0.44,0.43,1,9,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,3054,1813,186,1056,0.61,0.79,0.56,1,0.39,1,9,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,5172,2008,392,2773,1.08,1.32,0.11,1,0.57,1,9,Bulgaria
ILM-EKF,inc case,2,BG,4511,1571,40,2900,0.9,1.07,0.56,0.89,0.53,1,9,Bulgaria
LANL-GrowthRate,inc case,2,BG,2441,1913,66,462,0.48,0.38,0.89,1,0.07,1,9,Bulgaria
USC-SIkJalpha,inc case,2,BG,4518,2318,1642,558,0.9,0.6,0.44,0.56,0.21,1,9,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,3215,1804,6,1404,0.59,0.65,0.78,1,0.3,1,9,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,6984,548,1631,4805,1,1,0,0.38,0.48,1,8,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,5875,2935,43,2897,0.8,1,0.25,1,0.55,1,8,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,9057,3153,218,5686,1.31,1.57,0.25,0.75,0.7,1,8,Bulgaria
ILM-EKF,inc case,3,BG,9356,2997,0,6359,1.27,1.41,0.38,0.75,0.64,1,8,Bulgaria
LANL-GrowthRate,inc case,3,BG,3848,2363,10,1475,0.52,0.58,0.88,1,0.39,1,8,Bulgaria
USC-SIkJalpha,inc case,3,BG,5347,2887,1754,706,0.71,0.58,0.62,0.62,0.24,1,8,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,6588,3164,1,3423,0.8,0.86,0.75,0.88,0.42,1,8,Bulgaria
DSMPG-bayes,inc case,3,BG,8733,4410,0,4323,1.15,1.29,0.43,1,0.63,1,7,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,8462,694,1183,6585,1,1,0.14,0.14,0.51,1,7,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,10396,4815,0,5580,1.14,1.36,0.29,1,0.68,1,7,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,14629,4890,47,9692,1.71,2.05,0.14,0.57,0.77,1,7,Bulgaria
ILM-EKF,inc case,4,BG,17207,5598,0,11609,1.86,2.12,0.29,0.71,0.75,1,7,Bulgaria
LANL-GrowthRate,inc case,4,BG,5433,2762,20,2651,0.6,0.77,0.29,1,0.54,1,7,Bulgaria
UMass-SemiMech,inc case,1,BG,1662,981,213,468,0.83,1.02,0.43,1,0.27,1,7,Bulgaria
USC-SIkJalpha,inc case,4,BG,6564,3960,1698,906,0.72,0.68,0.71,0.71,0.19,1,7,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,11431,4914,7,6511,1.07,1.25,0.57,0.86,0.49,1,7,Bulgaria
DSMPG-bayes,inc case,4,BG,16501,9233,0,7268,1.68,1.73,0.17,1,0.68,1,6,Bulgaria
LANL-GrowthRate,inc case,5,BG,6848,2948,0,3900,NA,NA,0.17,1,0.72,1,6,Bulgaria
UMass-SemiMech,inc case,2,BG,2497,1215,112,1169,0.69,0.89,0.33,1,0.45,1,6,Bulgaria
USC-SIkJalpha,inc case,5,BG,7362,5266,873,1223,NA,NA,0.83,0.83,0.08,1,6,Bulgaria
LANL-GrowthRate,inc case,6,BG,7813,2998,0,4815,NA,NA,0.2,1,0.79,1,5,Bulgaria
UMass-SemiMech,inc case,3,BG,3553,1440,64,2048,0.78,0.98,0.2,1,0.54,1,5,Bulgaria
UMass-SemiMech,inc case,4,BG,4958,1754,97,3107,0.94,1.15,0,1,0.51,1,4,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,72,7,33,32,1,1,0,0.9,0.29,1,10,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,57,36,9,12,0.74,0.41,0.8,1,-0,1,10,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,95,62,23,10,1.28,1.1,0.7,1,-0.02,1,10,Bulgaria
ILM-EKF,inc death,1,BG,69,54,2,14,0.91,0.52,0.9,1,0.11,1,10,Bulgaria
LANL-GrowthRate,inc death,1,BG,84,14,33,37,1.07,1.07,0.2,0.9,-0.28,1,10,Bulgaria
RobertWalraven-ESG,inc death,1,BG,60,12,41,7,0.77,0.7,0.3,0.8,-0.33,1,10,Bulgaria
USC-SIkJalpha,inc death,1,BG,77,37,24,17,0.99,0.52,0.6,0.7,-0.06,1,10,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,94,45,7,42,1.28,1.32,0.5,0.9,0.17,1,10,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,114,15,42,57,1,1,0,0.78,0.12,1,9,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,86,50,6,30,0.66,0.46,0.67,1,0.19,1,9,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,141,94,26,22,1.19,0.96,0.67,1,0.19,1,9,Bulgaria
ILM-EKF,inc death,2,BG,115,66,0,48,0.88,0.7,0.67,1,0.34,1,9,Bulgaria
LANL-GrowthRate,inc death,2,BG,144,22,45,77,1.11,1.1,0.11,0.89,-0.22,1,9,Bulgaria
RobertWalraven-ESG,inc death,2,BG,65,14,43,9,0.55,0.49,0.33,0.78,-0.19,1,9,Bulgaria
USC-SIkJalpha,inc death,2,BG,91,55,16,20,0.75,0.45,0.56,0.78,0.16,1,9,Bulgaria
epiforecasts-EpiNow2,inc death,2,BG,148,59,2,87,1.16,1.04,0.56,0.78,0.33,1,9,Bulgaria
EuroCOVIDhub-baseline,inc death,3,BG,148,21,44,83,1,1,0,0.75,0.05,1,8,Bulgaria
EuroCOVIDhub-ensemble,inc death,3,BG,128,73,0,55,0.74,0.62,0.75,1,0.36,1,8,Bulgaria
IEM_Health-CovidProject,inc death,3,BG,199,137,21,42,1.29,1.1,0.62,1,0.28,1,8,Bulgaria
ILM-EKF,inc death,3,BG,215,93,0,122,1.21,1.16,0.5,0.88,0.51,1,8,Bulgaria
LANL-GrowthRate,inc death,3,BG,193,37,45,111,1.09,1.07,0.38,0.88,-0.15,1,8,Bulgaria
RobertWalraven-ESG,inc death,3,BG,85,16,46,23,0.55,0.52,0.25,0.38,-0.2,1,8,Bulgaria
USC-SIkJalpha,inc death,3,BG,113,78,11,24,0.74,0.49,0.75,1,0.16,1,8,Bulgaria
epiforecasts-EpiNow2,inc death,3,BG,254,98,1,155,1.4,1.27,0.5,0.88,0.45,1,8,Bulgaria
EuroCOVIDhub-baseline,inc death,4,BG,182,26,59,97,1,1,0.29,0.57,0.05,1,7,Bulgaria
EuroCOVIDhub-ensemble,inc death,4,BG,219,115,1,103,1,1,0.71,1,0.41,1,7,Bulgaria
IEM_Health-CovidProject,inc death,4,BG,317,201,37,79,1.63,1.64,0.57,1,0.29,1,7,Bulgaria
ILM-EKF,inc death,4,BG,414,149,0,264,1.85,1.9,0.43,0.86,0.64,1,7,Bulgaria
LANL-GrowthRate,inc death,4,BG,240,64,37,139,1.04,1.06,0.43,0.86,-0.07,1,7,Bulgaria
RobertWalraven-ESG,inc death,4,BG,123,18,78,27,0.6,0.58,0.14,0.43,-0.17,1,7,Bulgaria
UMass-MechBayes,inc death,1,BG,36,33,1,1,0.65,0.38,1,1,-0,1,7,Bulgaria
UMass-SemiMech,inc death,1,BG,47,35,4,8,0.87,1,0.86,1,0.06,1,7,Bulgaria
USC-SIkJalpha,inc death,4,BG,193,125,31,36,1.01,0.72,0.71,0.86,0.11,1,7,Bulgaria
epiforecasts-EpiNow2,inc death,4,BG,419,169,1,249,1.73,1.58,0.57,1,0.49,1,7,Bulgaria
LANL-GrowthRate,inc death,5,BG,269,90,24,154,NA,NA,0.5,0.83,0.08,1,6,Bulgaria
UMass-MechBayes,inc death,2,BG,42,37,0,5,0.5,0.31,1,1,0.07,1,6,Bulgaria
UMass-SemiMech,inc death,2,BG,70,41,4,25,0.84,1.11,0.5,1,0.32,1,6,Bulgaria
USC-SIkJalpha,inc death,5,BG,274,193,30,51,NA,NA,0.67,1,0.09,1,6,Bulgaria
LANL-GrowthRate,inc death,6,BG,305,105,15,184,NA,NA,0.4,0.8,0.14,1,5,Bulgaria
UMass-MechBayes,inc death,3,BG,60,42,0,17,0.57,0.49,0.8,1,0.16,1,5,Bulgaria
UMass-SemiMech,inc death,3,BG,115,49,5,61,1.1,1.38,0,1,0.48,1,5,Bulgaria
UMass-MechBayes,inc death,4,BG,87,53,0,34,0.77,0.79,0.75,1,0.4,1,4,Bulgaria
UMass-SemiMech,inc death,4,BG,165,60,5,100,1.46,1.82,0,1,0.5,1,4,Bulgaria
