model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
epiforecasts-EpiNow2,inc case,3,AT,3177,1081,194,1902,0.83,0.79,0.33,0.67,0.43,1,9,Austria
DSMPG-bayes,inc case,2,AT,2531,694,6,1830,0.59,0.53,0.29,0.86,0.69,1,7,Austria
EuroCOVIDhub-baseline,inc case,4,AT,4446,1119,353,2974,1,1,0.12,1,0.5,1,8,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,4862,1687,0,3175,1.09,1.05,0.12,0.75,0.74,1,8,Austria
IEM_Health-CovidProject,inc case,4,AT,6923,1862,0,5060,1.56,1.52,0.12,0.62,0.88,1,8,Austria
ILM-EKF,inc case,4,AT,6825,3190,0,3635,1.54,1.46,0.25,1,0.68,1,8,Austria
LANL-GrowthRate,inc case,4,AT,3655,1046,275,2335,0.82,0.81,0.12,0.88,0.59,1,8,Austria
UMass-SemiMech,inc case,1,AT,1268,748,77,443,0.67,0.88,0.62,1,0.38,1,8,Austria
USC-SIkJalpha,inc case,4,AT,5070,969,0,4101,1.14,0.89,0.25,0.38,0.8,1,8,Austria
epiforecasts-EpiNow2,inc case,4,AT,4215,1530,54,2630,0.95,0.91,0.5,0.88,0.5,1,8,Austria
LANL-GrowthRate,inc case,5,AT,4355,1330,77,2948,NA,NA,0.29,0.57,0.65,1,7,Austria
UMass-SemiMech,inc case,2,AT,2488,1099,100,1289,0.76,0.68,0.29,1,0.51,1,7,Austria
USC-SIkJalpha,inc case,5,AT,6799,1258,0,5541,NA,NA,0.14,0.29,0.84,1,7,Austria
LANL-GrowthRate,inc case,6,AT,5255,1655,21,3579,NA,NA,0.33,0.67,0.64,1,6,Austria
UMass-SemiMech,inc case,3,AT,3415,1458,19,1938,0.96,0.81,0.33,0.83,0.58,1,6,Austria
UMass-SemiMech,inc case,4,AT,4122,1816,0,2306,1.15,0.99,0.4,1,0.62,1,5,Austria
epiforecasts-EpiExpert_Rt,inc case,2,AT,2203,427,210,1566,0.98,0.87,0,0.5,0.48,1,4,Austria
RobertWalraven-ESG,inc case,1,AT,699,368,0,331,0.95,0.65,0.45,0.91,0.29,1,11,Austria
EuroCOVIDhub-baseline,inc death,1,AT,16,6,3,7,1,1,0.18,1,0.18,1,11,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,11,8,1,2,0.71,0.6,0.91,1,0.17,1,11,Austria
IEM_Health-CovidProject,inc death,1,AT,16,9,3,4,1.02,1.02,0.64,1,0.17,1,11,Austria
ILM-EKF,inc death,1,AT,23,20,0,2,1.46,0.72,1,1,0.15,1,11,Austria
LANL-GrowthRate,inc death,1,AT,11,3,6,2,0.71,0.68,0.36,0.91,-0.07,1,11,Austria
RobertWalraven-ESG,inc death,1,AT,12,4,3,4,0.75,0.86,0.18,1,0.2,1,11,Austria
USC-SIkJalpha,inc death,1,AT,19,6,1,12,1.24,0.86,0.36,0.45,0.6,1,11,Austria
epiforecasts-EpiNow2,inc death,1,AT,13,6,0,6,0.81,0.79,0.64,1,0.35,1,11,Austria
EuroCOVIDhub-baseline,inc death,2,AT,25,11,4,11,1,1,0.4,1,0.14,1,10,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,14,10,1,4,0.57,0.47,0.7,1,0.31,1,10,Austria
IEM_Health-CovidProject,inc death,2,AT,26,13,5,8,1.03,1.03,0.4,1,0.22,1,10,Austria
ILM-EKF,inc death,2,AT,28,23,0,5,1.12,0.8,1,1,0.28,1,10,Austria
LANL-GrowthRate,inc death,2,AT,15,5,7,4,0.59,0.64,0.1,1,-0.08,1,10,Austria
RobertWalraven-ESG,inc death,2,AT,18,5,7,6,0.71,0.71,0.4,0.9,0.13,1,10,Austria
USC-SIkJalpha,inc death,2,AT,24,8,0,17,0.96,0.65,0.4,0.5,0.66,1,10,Austria
epiforecasts-EpiNow2,inc death,2,AT,20,7,0,13,0.8,0.76,0.4,0.9,0.59,1,10,Austria
EuroCOVIDhub-baseline,inc death,3,AT,33,15,3,15,1,1,0.56,1,0.17,1,9,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,20,12,0,8,0.6,0.47,0.67,1,0.4,1,9,Austria
IEM_Health-CovidProject,inc death,3,AT,38,17,7,15,1.16,1.2,0.33,0.89,0.25,1,9,Austria
ILM-EKF,inc death,3,AT,38,27,0,11,1.14,1.01,0.78,1,0.42,1,9,Austria
LANL-GrowthRate,inc death,3,AT,21,6,7,7,0.63,0.64,0.33,0.89,-0.04,1,9,Austria
RobertWalraven-ESG,inc death,3,AT,25,6,10,9,0.76,0.82,0.11,0.89,0,1,9,Austria
USC-SIkJalpha,inc death,3,AT,37,9,0,28,1.13,0.89,0.33,0.56,0.72,1,9,Austria
epiforecasts-EpiNow2,inc death,3,AT,34,9,0,25,1.03,1,0.33,0.89,0.66,1,9,Austria
EuroCOVIDhub-baseline,inc death,4,AT,41,19,4,18,1,1,0.5,1,0.15,1,8,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,28,16,0,12,0.68,0.63,0.62,0.88,0.45,1,8,Austria
IEM_Health-CovidProject,inc death,4,AT,58,22,12,24,1.4,1.4,0.38,0.88,0.29,1,8,Austria
ILM-EKF,inc death,4,AT,54,33,0,21,1.31,1.23,0.38,1,0.55,1,8,Austria
LANL-GrowthRate,inc death,4,AT,31,9,11,11,0.75,0.67,0.5,0.75,-0.01,1,8,Austria
RobertWalraven-ESG,inc death,4,AT,38,8,18,13,0.93,0.93,0.12,0.75,-0.07,1,8,Austria
UMass-MechBayes,inc death,1,AT,9,6,2,1,0.93,0.73,0.88,1,-0.05,1,8,Austria
UMass-SemiMech,inc death,1,AT,9,7,0,2,0.92,0.65,0.88,1,0.19,1,8,Austria
USC-SIkJalpha,inc death,4,AT,47,12,0,35,1.16,0.91,0.38,0.5,0.71,1,8,Austria
epiforecasts-EpiNow2,inc death,4,AT,45,13,0,32,1.11,1.09,0.38,0.88,0.67,1,8,Austria
LANL-GrowthRate,inc death,5,AT,36,11,15,11,NA,NA,0.43,0.86,0.05,1,7,Austria
UMass-MechBayes,inc death,2,AT,11,8,1,1,0.65,0.38,1,1,0.09,1,7,Austria
UMass-SemiMech,inc death,2,AT,16,9,0,7,0.98,0.72,0.57,1,0.44,1,7,Austria
USC-SIkJalpha,inc death,5,AT,61,16,0,45,NA,NA,0.29,0.57,0.75,1,7,Austria
LANL-GrowthRate,inc death,6,AT,36,12,16,8,NA,NA,0.33,0.83,0.11,1,6,Austria
UMass-MechBayes,inc death,3,AT,17,11,2,4,0.7,0.48,0.83,1,0.22,1,6,Austria
UMass-SemiMech,inc death,3,AT,27,12,0,15,1.13,0.81,0.5,1,0.58,1,6,Austria
UMass-MechBayes,inc death,4,AT,22,15,1,7,0.76,0.5,0.8,1,0.3,1,5,Austria
UMass-SemiMech,inc death,4,AT,38,15,0,24,1.35,0.91,0.4,0.8,0.66,1,5,Austria
epiforecasts-EpiExpert_Rt,inc death,2,AT,16,5,0,11,0.8,0.7,0.25,0.75,0.65,1,4,Austria
EuroCOVIDhub-baseline,inc case,1,BE,3093,605,1326,1162,1,1,0.27,1,0.07,1,11,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,2212,1224,360,627,0.79,0.8,0.55,1,0.02,1,11,Belgium
IEM_Health-CovidProject,inc case,1,BE,2799,1262,255,1282,0.88,1.04,0.64,1,0.2,1,11,Belgium
ILM-EKF,inc case,1,BE,2724,1011,495,1217,0.93,1.04,0.45,0.91,-0.03,1,11,Belgium
LANL-GrowthRate,inc case,1,BE,2198,1351,672,174,0.83,0.74,0.55,1,-0.25,1,11,Belgium
USC-SIkJalpha,inc case,1,BE,3188,1169,1408,610,0.98,1,0.55,0.64,-0.14,1,11,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2865,1412,264,1188,1,1.01,0.64,0.91,0.13,1,11,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,4790,1254,1905,1630,1,1,0.1,1,0.15,1,10,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,4421,1924,884,1613,0.92,0.97,0.6,1,0.11,1,10,Belgium
IEM_Health-CovidProject,inc case,2,BE,5802,1937,851,3014,1.21,1.35,0.3,0.9,0.36,1,10,Belgium
ILM-EKF,inc case,2,BE,5853,1986,1118,2749,1.22,1.24,0.5,0.9,0.1,1,10,Belgium
LANL-GrowthRate,inc case,2,BE,4159,1822,1212,1125,0.87,0.91,0.6,1,-0.14,1,10,Belgium
USC-SIkJalpha,inc case,2,BE,4767,1394,2568,805,1,0.81,0.5,0.6,-0.01,1,10,Belgium
epiforecasts-EpiNow2,inc case,2,BE,5620,2273,698,2649,1.17,1.17,0.7,0.8,0.21,1,10,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,5631,1867,2048,1717,1,1,0.44,1,0.18,1,9,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,7453,2922,1632,2900,1.32,1.27,0.56,0.89,0.17,1,9,Belgium
IEM_Health-CovidProject,inc case,3,BE,9741,2888,1437,5416,1.73,1.81,0.22,0.89,0.45,1,9,Belgium
ILM-EKF,inc case,3,BE,9798,3382,1481,4935,1.74,1.72,0.44,0.89,0.1,1,9,Belgium
LANL-GrowthRate,inc case,3,BE,5953,2236,1942,1775,1.06,1.04,0.56,0.89,-0.03,1,9,Belgium
USC-SIkJalpha,inc case,3,BE,6038,1657,3786,595,1.07,0.79,0.67,0.67,-0.04,1,9,Belgium
epiforecasts-EpiNow2,inc case,3,BE,8594,3318,1097,4178,1.53,1.48,0.56,0.89,0.26,1,9,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,5418,2448,1064,1907,1,1,0.38,1,0.17,1,8,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,9530,4569,863,4099,1.76,1.59,0.5,1,0.3,1,8,Belgium
IEM_Health-CovidProject,inc case,4,BE,13166,4212,714,8241,2.43,2.52,0.25,0.88,0.53,1,8,Belgium
ILM-EKF,inc case,4,BE,14068,5544,996,7527,2.6,2.51,0.38,0.88,0.24,1,8,Belgium
LANL-GrowthRate,inc case,4,BE,5108,2559,898,1650,0.94,0.92,0.62,1,0.12,1,8,Belgium
UMass-SemiMech,inc case,1,BE,3354,1893,658,803,0.84,1.01,0.5,1,0.1,1,8,Belgium
USC-SIkJalpha,inc case,4,BE,5650,2113,2994,543,1.04,0.82,0.62,0.75,-0.06,1,8,Belgium
epiforecasts-EpiNow2,inc case,4,BE,10777,4455,514,5809,1.99,1.92,0.5,0.88,0.39,1,8,Belgium
LANL-GrowthRate,inc case,5,BE,4762,2753,316,1693,NA,NA,0.71,1,0.17,1,7,Belgium
UMass-SemiMech,inc case,2,BE,4840,2653,724,1463,1.06,1.01,0.57,1,0.23,1,7,Belgium
USC-SIkJalpha,inc case,5,BE,5344,2540,2610,194,NA,NA,0.71,0.86,-0.19,1,7,Belgium
LANL-GrowthRate,inc case,6,BE,5528,3050,401,2076,NA,NA,0.67,1,0.22,1,6,Belgium
UMass-SemiMech,inc case,3,BE,6572,3196,1399,1976,1.38,1.21,0.33,1,0.19,1,6,Belgium
UMass-SemiMech,inc case,4,BE,8347,4185,1412,2750,1.67,1.33,0.4,1,0.17,1,5,Belgium
RobertWalraven-ESG,inc case,1,BE,774,696,79,0,0.55,0.9,0.36,0.82,0.07,1,11,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,26,17,4,5,1,1,0.82,1,0.14,1,11,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,18,12,2,4,0.68,0.77,0.82,1,0.03,1,11,Belgium
IEM_Health-CovidProject,inc death,1,BE,23,9,8,7,0.89,1.28,0.64,0.91,0.01,1,11,Belgium
ILM-EKF,inc death,1,BE,30,26,1,4,1.15,0.83,1,1,0.09,1,11,Belgium
LANL-GrowthRate,inc death,1,BE,24,6,9,9,0.92,1.22,0.36,0.91,-0.14,1,11,Belgium
RobertWalraven-ESG,inc death,1,BE,20,12,4,4,0.75,1.06,0.64,1,-0,1,11,Belgium
USC-SIkJalpha,inc death,1,BE,24,9,5,9,0.91,1.09,0.36,0.64,-0.02,1,11,Belgium
epiforecasts-EpiNow2,inc death,1,BE,28,13,1,14,1.07,1.53,0.45,0.91,0.33,1,11,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,46,34,4,8,1,1,0.9,1,-0,1,10,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,26,16,3,7,0.56,0.68,0.8,1,0.06,1,10,Belgium
IEM_Health-CovidProject,inc death,2,BE,42,14,13,15,0.9,1.25,0.4,0.9,-0.01,1,10,Belgium
ILM-EKF,inc death,2,BE,38,30,1,7,0.83,0.75,0.9,1,0.18,1,10,Belgium
LANL-GrowthRate,inc death,2,BE,36,9,17,11,0.78,1.06,0.4,0.8,-0.16,1,10,Belgium
RobertWalraven-ESG,inc death,2,BE,31,14,10,6,0.67,1.03,0.5,1,-0.05,1,10,Belgium
USC-SIkJalpha,inc death,2,BE,35,11,6,18,0.75,0.85,0.5,0.8,0.05,1,10,Belgium
epiforecasts-EpiNow2,inc death,2,BE,39,17,0,22,0.85,1.22,0.5,0.9,0.44,1,10,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,61,49,5,7,1,1,1,1,0.01,1,9,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,31,20,5,6,0.51,0.66,0.67,1,0.09,1,9,Belgium
IEM_Health-CovidProject,inc death,3,BE,56,19,18,19,0.92,1.38,0.33,0.78,0.04,1,9,Belgium
ILM-EKF,inc death,3,BE,51,36,1,13,0.84,1.01,0.67,1,0.23,1,9,Belgium
LANL-GrowthRate,inc death,3,BE,42,12,20,10,0.7,1.05,0.44,0.89,-0.19,1,9,Belgium
RobertWalraven-ESG,inc death,3,BE,41,17,19,5,0.67,1.06,0.56,1,-0.12,1,9,Belgium
USC-SIkJalpha,inc death,3,BE,40,13,9,18,0.67,0.87,0.44,0.67,0.13,1,9,Belgium
epiforecasts-EpiNow2,inc death,3,BE,58,27,0,31,0.96,1.44,0.44,1,0.51,1,9,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,73,61,6,7,1,1,1,1,-0.02,1,8,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,42,27,8,7,0.57,0.78,0.62,1,0.1,1,8,Belgium
IEM_Health-CovidProject,inc death,4,BE,80,25,29,26,1.09,1.57,0.38,0.88,0.11,1,8,Belgium
ILM-EKF,inc death,4,BE,81,47,3,31,1.11,1.57,0.62,1,0.28,1,8,Belgium
LANL-GrowthRate,inc death,4,BE,57,17,30,10,0.78,1.11,0.38,0.75,-0.18,1,8,Belgium
RobertWalraven-ESG,inc death,4,BE,51,20,27,4,0.7,1.11,0.5,1,-0.19,1,8,Belgium
UMass-MechBayes,inc death,1,BE,17,11,4,3,0.84,0.94,0.75,1,-0.15,1,8,Belgium
UMass-SemiMech,inc death,1,BE,20,12,4,4,0.96,1.05,0.75,1,-0.16,1,8,Belgium
USC-SIkJalpha,inc death,4,BE,40,18,12,11,0.55,0.76,0.38,0.88,-0.06,1,8,Belgium
epiforecasts-EpiNow2,inc death,4,BE,93,41,0,52,1.27,1.8,0.5,1,0.47,1,8,Belgium
LANL-GrowthRate,inc death,5,BE,67,20,40,7,NA,NA,0.29,0.86,-0.2,1,7,Belgium
UMass-MechBayes,inc death,2,BE,29,16,9,4,0.69,0.87,0.71,1,-0.07,1,7,Belgium
UMass-SemiMech,inc death,2,BE,35,18,8,9,0.82,1.04,0.57,1,0.04,1,7,Belgium
USC-SIkJalpha,inc death,5,BE,46,23,16,6,NA,NA,0.57,0.86,-0.1,1,7,Belgium
LANL-GrowthRate,inc death,6,BE,65,21,37,6,NA,NA,0.33,0.83,-0.33,1,6,Belgium
UMass-MechBayes,inc death,3,BE,34,21,13,1,0.65,0.67,0.83,1,-0.14,1,6,Belgium
UMass-SemiMech,inc death,3,BE,44,24,12,8,0.84,1.14,0.5,1,0.07,1,6,Belgium
UMass-MechBayes,inc death,4,BE,35,24,10,1,0.69,0.6,0.8,1,-0.14,1,5,Belgium
UMass-SemiMech,inc death,4,BE,50,32,9,10,0.99,1.22,0.6,1,0.06,1,5,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,2314,172,811,1331,1,1,0,0.91,0.38,1,11,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,1380,1005,104,272,0.54,0.58,0.82,1,0.17,1,11,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,2382,1123,270,990,0.97,1.26,0.27,1,0.45,1,11,Bulgaria
ILM-EKF,inc case,1,BG,1635,674,36,925,0.63,0.79,0.55,1,0.36,1,11,Bulgaria
LANL-GrowthRate,inc case,1,BG,1658,1410,196,51,0.67,0.55,1,1,-0.18,1,11,Bulgaria
USC-SIkJalpha,inc case,1,BG,3106,1570,1115,421,1.18,0.97,0.36,0.45,0.13,1,11,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,1267,792,7,469,0.5,0.51,0.91,1,0.25,1,11,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,4576,366,1430,2780,1,1,0.1,0.5,0.46,1,10,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,2891,1600,186,1104,0.63,0.79,0.6,1,0.4,1,10,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,4947,1770,379,2798,1.08,1.29,0.1,1,0.61,1,10,Bulgaria
ILM-EKF,inc case,2,BG,4185,1377,51,2758,0.91,1.04,0.6,0.9,0.45,1,10,Bulgaria
LANL-GrowthRate,inc case,2,BG,2268,1703,85,480,0.5,0.41,0.9,1,0.04,1,10,Bulgaria
USC-SIkJalpha,inc case,2,BG,4072,2005,1509,559,0.89,0.63,0.4,0.5,0.29,1,10,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,2990,1593,9,1388,0.65,0.69,0.8,1,0.28,1,10,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,6649,536,1475,4638,1,1,0,0.44,0.52,1,9,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,5505,2558,52,2895,0.83,1,0.22,1,0.58,1,9,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,8604,2749,221,5635,1.29,1.52,0.22,0.67,0.73,1,9,Bulgaria
ILM-EKF,inc case,3,BG,8558,2602,0,5956,1.29,1.38,0.44,0.78,0.63,1,9,Bulgaria
LANL-GrowthRate,inc case,3,BG,3579,2099,17,1464,0.54,0.57,0.89,1,0.36,1,9,Bulgaria
USC-SIkJalpha,inc case,3,BG,4930,2474,1583,874,0.74,0.6,0.56,0.56,0.32,1,9,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,6034,2747,3,3284,0.91,0.98,0.78,0.89,0.36,1,9,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,8208,679,1058,6472,1,1,0.12,0.25,0.56,1,8,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,9554,4142,0,5412,1.16,1.34,0.25,1,0.71,1,8,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,13777,4233,59,9485,1.68,1.94,0.12,0.5,0.8,1,8,Bulgaria
ILM-EKF,inc case,4,BG,15452,4767,0,10685,1.88,2.07,0.38,0.75,0.71,1,8,Bulgaria
LANL-GrowthRate,inc case,4,BG,5203,2497,29,2677,0.63,0.77,0.25,1,0.55,1,8,Bulgaria
UMass-SemiMech,inc case,1,BG,1654,869,211,574,0.73,1.31,0.38,1,0.35,1,8,Bulgaria
USC-SIkJalpha,inc case,4,BG,5969,3337,1506,1126,0.73,0.68,0.62,0.62,0.29,1,8,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,10355,4227,9,6119,1.26,1.44,0.62,0.88,0.47,1,8,Bulgaria
DSMPG-bayes,inc case,4,BG,14590,7742,0,6849,1.14,1.19,0.14,1,0.67,1,7,Bulgaria
LANL-GrowthRate,inc case,5,BG,6517,2654,0,3863,NA,NA,0.14,1,0.73,1,7,Bulgaria
UMass-SemiMech,inc case,2,BG,2421,1074,107,1240,0.75,0.77,0.29,1,0.51,1,7,Bulgaria
USC-SIkJalpha,inc case,5,BG,6698,4390,781,1527,NA,NA,0.71,0.71,0.21,1,7,Bulgaria
LANL-GrowthRate,inc case,6,BG,7998,2833,0,5165,NA,NA,0.17,1,0.81,1,6,Bulgaria
UMass-SemiMech,inc case,3,BG,3561,1274,62,2224,0.89,0.92,0.17,0.83,0.61,1,6,Bulgaria
UMass-SemiMech,inc case,4,BG,4981,1579,88,3314,1.14,1.19,0,0.8,0.61,1,5,Bulgaria
RobertWalraven-ESG,inc case,1,BG,506,352,154,0,0.88,0.84,0.36,0.73,-0.14,1,11,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,73,7,31,36,1,1,0,0.91,0.35,1,11,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,54,33,9,12,0.73,0.56,0.82,1,0.03,1,11,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,93,56,23,14,1.27,1.19,0.64,1,0.06,1,11,Bulgaria
ILM-EKF,inc death,1,BG,65,49,2,14,0.89,0.66,0.91,1,0.12,1,11,Bulgaria
LANL-GrowthRate,inc death,1,BG,80,13,32,35,1.09,1.13,0.18,0.91,-0.32,1,11,Bulgaria
RobertWalraven-ESG,inc death,1,BG,56,11,38,7,0.77,0.73,0.36,0.82,-0.31,1,11,Bulgaria
USC-SIkJalpha,inc death,1,BG,73,32,22,19,0.99,0.72,0.55,0.64,0.04,1,11,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,90,41,8,41,1.22,1.28,0.55,0.91,0.12,1,11,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,120,14,39,66,1,1,0,0.8,0.2,1,10,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,81,45,6,30,0.68,0.63,0.7,1,0.22,1,10,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,142,85,25,32,1.19,1.04,0.6,1,0.26,1,10,Bulgaria
ILM-EKF,inc death,2,BG,107,59,0,47,0.89,0.8,0.7,1,0.3,1,10,Bulgaria
LANL-GrowthRate,inc death,2,BG,133,20,43,71,1.11,1.13,0.2,0.9,-0.23,1,10,Bulgaria
RobertWalraven-ESG,inc death,2,BG,61,13,39,9,0.51,0.45,0.4,0.8,-0.15,1,10,Bulgaria
USC-SIkJalpha,inc death,2,BG,83,47,15,20,0.69,0.54,0.5,0.8,0.2,1,10,Bulgaria
epiforecasts-EpiNow2,inc death,2,BG,138,53,3,82,1.15,1.09,0.6,0.8,0.27,1,10,Bulgaria
EuroCOVIDhub-baseline,inc death,3,BG,162,20,41,101,1,1,0,0.67,0.15,1,9,Bulgaria
EuroCOVIDhub-ensemble,inc death,3,BG,121,65,0,56,0.75,0.73,0.67,1,0.4,1,9,Bulgaria
IEM_Health-CovidProject,inc death,3,BG,206,124,20,62,1.27,1.17,0.56,1,0.35,1,9,Bulgaria
ILM-EKF,inc death,3,BG,199,82,0,117,1.23,1.28,0.56,0.89,0.49,1,9,Bulgaria
LANL-GrowthRate,inc death,3,BG,179,33,42,105,1.11,1.15,0.33,0.89,-0.04,1,9,Bulgaria
RobertWalraven-ESG,inc death,3,BG,79,16,42,22,0.49,0.48,0.33,0.44,-0.14,1,9,Bulgaria
USC-SIkJalpha,inc death,3,BG,107,67,10,30,0.66,0.54,0.67,0.89,0.26,1,9,Bulgaria
epiforecasts-EpiNow2,inc death,3,BG,234,86,2,146,1.45,1.44,0.56,0.89,0.37,1,9,Bulgaria
EuroCOVIDhub-baseline,inc death,4,BG,209,25,53,130,1,1,0.25,0.5,0.17,1,8,Bulgaria
EuroCOVIDhub-ensemble,inc death,4,BG,205,101,1,103,0.98,1.1,0.62,1,0.45,1,8,Bulgaria
IEM_Health-CovidProject,inc death,4,BG,319,179,34,106,1.53,1.65,0.5,1,0.37,1,8,Bulgaria
ILM-EKF,inc death,4,BG,374,128,0,245,1.79,1.96,0.5,0.88,0.59,1,8,Bulgaria
LANL-GrowthRate,inc death,4,BG,217,56,34,127,1.04,1.17,0.5,0.88,-0.03,1,8,Bulgaria
RobertWalraven-ESG,inc death,4,BG,130,18,70,42,0.62,0.62,0.12,0.38,-0.02,1,8,Bulgaria
UMass-MechBayes,inc death,1,BG,33,30,2,2,0.84,0.45,1,1,0.05,1,8,Bulgaria
UMass-SemiMech,inc death,1,BG,45,31,4,9,1.13,1.1,0.88,1,0.1,1,8,Bulgaria
USC-SIkJalpha,inc death,4,BG,174,106,28,40,0.83,0.76,0.62,0.75,0.22,1,8,Bulgaria
epiforecasts-EpiNow2,inc death,4,BG,380,147,1,231,1.82,1.9,0.62,1,0.42,1,8,Bulgaria
LANL-GrowthRate,inc death,5,BG,243,78,23,142,NA,NA,0.43,0.86,0.15,1,7,Bulgaria
UMass-MechBayes,inc death,2,BG,40,32,1,7,0.67,0.37,0.86,1,0.14,1,7,Bulgaria
UMass-SemiMech,inc death,2,BG,65,35,4,25,1.09,1.13,0.57,1,0.33,1,7,Bulgaria
USC-SIkJalpha,inc death,5,BG,243,162,27,55,NA,NA,0.57,1,0.16,1,7,Bulgaria
LANL-GrowthRate,inc death,6,BG,278,93,15,170,NA,NA,0.33,0.83,0.23,1,6,Bulgaria
