model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
USC-SIkJalpha,inc death,5,AT,37,7,0,29,NA,NA,0.24,0.41,0.53,1,17,Austria
UMass-MechBayes,inc death,3,AT,8,5,1,2,0.72,0.42,0.56,0.94,0.01,1,16,Austria
UMass-MechBayes,inc death,4,AT,10,6,1,3,0.54,0.37,0.53,1,-0.03,1,15,Austria
UMass-SemiMech,inc death,4,AT,18,7,0,11,0.99,0.68,0.6,0.93,0.44,1,15,Austria
MUNI-ARIMA,inc death,1,AT,8,3,1,3,0.85,0.75,0.69,1,0.12,1,13,Austria
MUNI-ARIMA,inc death,2,AT,11,5,1,5,0.7,0.64,0.67,1,0.18,1,12,Austria
MUNI-ARIMA,inc death,3,AT,10,6,0,4,0.72,0.67,0.7,1,0.13,1,10,Austria
MUNI-ARIMA,inc death,4,AT,12,8,1,3,0.73,0.68,0.78,1,0.08,1,9,Austria
EuroCOVIDhub-baseline,inc case,1,BE,2340,582,839,919,1,1,0.33,1,0.04,1,21,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1883,898,467,517,0.84,0.89,0.43,0.95,0.03,1,21,Belgium
IEM_Health-CovidProject,inc case,1,BE,2140,901,383,857,0.92,1.05,0.43,0.95,0.06,1,21,Belgium
ILM-EKF,inc case,1,BE,2109,728,519,862,0.91,1.04,0.38,0.86,0.01,1,21,Belgium
LANL-GrowthRate,inc case,1,BE,2076,969,1011,96,0.99,1.01,0.55,0.9,-0.4,1,20,Belgium
USC-SIkJalpha,inc case,1,BE,2532,749,1123,660,1.1,1.01,0.43,0.52,-0.06,1,21,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2291,1060,460,770,1,1,0.52,0.76,0.02,1,21,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,3715,1186,1187,1342,1,1,0.3,1,0.12,1,20,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,3437,1334,971,1132,0.93,0.91,0.5,0.9,0.07,1,20,Belgium
IEM_Health-CovidProject,inc case,2,BE,4146,1306,968,1872,1.09,1.19,0.25,0.8,0.23,1,20,Belgium
ILM-EKF,inc case,2,BE,4287,1344,1138,1805,1.13,1.12,0.4,0.8,0.05,1,20,Belgium
LANL-GrowthRate,inc case,2,BE,3358,1231,1522,605,1.08,0.99,0.53,0.89,-0.33,1,19,Belgium
USC-SIkJalpha,inc case,2,BE,3921,855,2145,921,1.07,0.83,0.35,0.45,0.03,1,20,Belgium
epiforecasts-EpiNow2,inc case,2,BE,4232,1542,1100,1590,1.13,1.06,0.5,0.7,0,1,20,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,4696,1724,1292,1680,1,1,0.37,1,0.17,1,19,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,5428,1923,1585,1921,1.12,1.06,0.42,0.84,0.12,1,19,Belgium
IEM_Health-CovidProject,inc case,3,BE,6677,1792,1591,3293,1.35,1.39,0.21,0.74,0.26,1,19,Belgium
ILM-EKF,inc case,3,BE,6430,2079,1676,2675,1.28,1.26,0.37,0.79,0.03,1,19,Belgium
LANL-GrowthRate,inc case,3,BE,4657,1465,2151,1041,1.24,1.07,0.44,0.72,-0.19,1,18,Belgium
USC-SIkJalpha,inc case,3,BE,5307,913,3221,1173,1.15,0.81,0.37,0.37,0.01,1,19,Belgium
epiforecasts-EpiNow2,inc case,3,BE,6081,2000,1757,2324,1.25,1.17,0.42,0.74,0.05,1,19,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,5081,2245,811,2025,1,1,0.28,1,0.18,1,18,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,6670,2662,1472,2536,1.25,1.17,0.33,0.83,0.18,1,18,Belgium
IEM_Health-CovidProject,inc case,4,BE,8975,2506,1552,4917,1.65,1.68,0.17,0.67,0.29,1,18,Belgium
ILM-EKF,inc case,4,BE,8679,3086,1864,3729,1.57,1.53,0.39,0.83,0.07,1,18,Belgium
LANL-GrowthRate,inc case,4,BE,4648,1701,1613,1334,1.38,1.13,0.41,0.82,0.02,1,17,Belgium
USC-SIkJalpha,inc case,4,BE,5724,1046,3102,1576,1.15,0.8,0.33,0.39,0.05,1,18,Belgium
epiforecasts-EpiNow2,inc case,4,BE,7300,2451,1932,2917,1.37,1.24,0.44,0.67,0.11,1,18,Belgium
LANL-GrowthRate,inc case,5,BE,5091,1935,1118,2038,NA,NA,0.38,0.81,0.16,1,16,Belgium
USC-SIkJalpha,inc case,5,BE,5944,1223,2899,1822,NA,NA,0.29,0.41,0.02,1,17,Belgium
UMass-SemiMech,inc case,4,BE,6317,2712,1767,1837,1.38,1.13,0.33,0.87,0.06,1,15,Belgium
MUNI-ARIMA,inc case,1,BE,3115,595,1778,743,0.99,1.01,0.15,0.77,0.01,1,13,Belgium
MUNI-ARIMA,inc case,2,BE,3960,1166,1896,899,1.08,0.99,0.42,0.83,-0.02,1,12,Belgium
RobertWalraven-ESG,inc case,1,BE,1937,490,572,875,1.2,1.09,0.29,0.81,0.11,1,21,Belgium
MUNI-ARIMA,inc case,3,BE,4587,1597,1572,1418,1.24,1.07,0.4,0.9,0.04,1,10,Belgium
RobertWalraven-ESG,inc case,2,BE,2986,613,1199,1173,1.18,0.9,0.3,0.75,0.11,1,20,Belgium
MUNI-ARIMA,inc case,4,BE,4920,2123,984,1813,1.38,1.13,0.22,1,0.14,1,9,Belgium
RobertWalraven-ESG,inc case,3,BE,4028,745,1976,1306,1.28,0.86,0.26,0.74,0.1,1,19,Belgium
RobertWalraven-ESG,inc case,4,BE,4877,883,2675,1319,1.35,0.69,0.28,0.78,0.06,1,18,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,21,14,2,5,1,1,0.86,1,0.19,1,21,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,12,8,1,3,0.58,0.74,0.76,1,0.11,1,21,Belgium
IEM_Health-CovidProject,inc death,1,BE,15,6,5,4,0.72,1.1,0.57,0.9,0.07,1,21,Belgium
ILM-EKF,inc death,1,BE,20,17,0,3,0.96,0.78,1,1,0.14,1,21,Belgium
LANL-GrowthRate,inc death,1,BE,16,4,6,6,0.65,0.79,0.3,0.9,0.03,1,20,Belgium
RobertWalraven-ESG,inc death,1,BE,13,9,2,2,0.64,0.9,0.76,1,0.04,1,21,Belgium
USC-SIkJalpha,inc death,1,BE,16,5,3,8,0.77,0.98,0.33,0.57,0.22,1,21,Belgium
epiforecasts-EpiNow2,inc death,1,BE,20,8,1,11,0.8,1.01,0.45,0.9,0.37,1,20,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,38,29,2,7,1,1,0.95,1,0.12,1,20,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,16,10,2,5,0.43,0.53,0.85,1,0.19,1,20,Belgium
IEM_Health-CovidProject,inc death,2,BE,26,9,7,10,0.68,0.94,0.45,0.9,0.16,1,20,Belgium
ILM-EKF,inc death,2,BE,25,20,1,5,0.66,0.65,0.9,1,0.25,1,20,Belgium
LANL-GrowthRate,inc death,2,BE,23,6,9,8,0.54,0.65,0.42,0.84,-0.04,1,19,Belgium
RobertWalraven-ESG,inc death,2,BE,20,11,6,4,0.52,0.76,0.75,1,0,1,20,Belgium
USC-SIkJalpha,inc death,2,BE,24,6,3,14,0.63,0.74,0.45,0.6,0.39,1,20,Belgium
epiforecasts-EpiNow2,inc death,2,BE,26,11,0,15,0.61,0.78,0.47,0.95,0.48,1,19,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,53,42,2,9,1,1,0.95,1,0.14,1,19,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,23,13,2,7,0.43,0.52,0.74,0.95,0.23,1,19,Belgium
IEM_Health-CovidProject,inc death,3,BE,38,12,9,17,0.72,0.99,0.26,0.84,0.31,1,19,Belgium
ILM-EKF,inc death,3,BE,33,23,0,10,0.63,0.74,0.68,1,0.31,1,19,Belgium
LANL-GrowthRate,inc death,3,BE,29,7,10,12,0.49,0.61,0.5,0.83,0.02,1,18,Belgium
RobertWalraven-ESG,inc death,3,BE,26,13,9,4,0.48,0.66,0.74,1,-0.01,1,19,Belgium
USC-SIkJalpha,inc death,3,BE,34,7,4,23,0.65,0.74,0.32,0.42,0.53,1,19,Belgium
epiforecasts-EpiNow2,inc death,3,BE,39,16,0,23,0.66,0.84,0.44,0.89,0.46,1,18,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,67,53,2,12,1,1,1,1,0.15,1,18,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,30,17,4,10,0.45,0.58,0.61,1,0.28,1,18,Belgium
IEM_Health-CovidProject,inc death,4,BE,55,16,13,26,0.83,1.07,0.33,0.78,0.42,1,18,Belgium
ILM-EKF,inc death,4,BE,49,27,1,20,0.73,0.95,0.5,1,0.34,1,18,Belgium
LANL-GrowthRate,inc death,4,BE,40,10,15,16,0.5,0.6,0.41,0.76,0.08,1,17,Belgium
RobertWalraven-ESG,inc death,4,BE,30,15,12,3,0.44,0.58,0.78,1,-0.02,1,18,Belgium
UMass-MechBayes,inc death,1,BE,10,6,2,2,0.72,0.74,0.72,1,-0.06,1,18,Belgium
USC-SIkJalpha,inc death,4,BE,40,9,6,25,0.6,0.65,0.28,0.5,0.28,1,18,Belgium
epiforecasts-EpiNow2,inc death,4,BE,57,24,0,33,0.71,0.91,0.35,1,0.36,1,17,Belgium
LANL-GrowthRate,inc death,5,BE,53,13,18,22,NA,NA,0.19,0.75,0.14,1,16,Belgium
UMass-MechBayes,inc death,2,BE,14,8,4,2,0.58,0.58,0.82,1,-0.08,1,17,Belgium
USC-SIkJalpha,inc death,5,BE,48,11,8,29,NA,NA,0.24,0.47,0.31,1,17,Belgium
UMass-MechBayes,inc death,3,BE,18,11,6,2,0.57,0.5,0.56,1,-0.12,1,16,Belgium
UMass-MechBayes,inc death,4,BE,18,12,4,1,0.42,0.35,0.73,1,-0.1,1,15,Belgium
UMass-SemiMech,inc death,4,BE,35,19,3,13,0.84,1,0.33,1,0.27,1,15,Belgium
MUNI-ARIMA,inc death,1,BE,12,6,2,4,0.72,0.89,0.62,0.92,-0.07,1,13,Belgium
MUNI-ARIMA,inc death,2,BE,18,11,1,6,0.58,0.71,0.58,1,0.04,1,12,Belgium
MUNI-ARIMA,inc death,3,BE,23,15,1,7,0.57,0.72,0.7,1,0.05,1,10,Belgium
MUNI-ARIMA,inc death,4,BE,27,19,1,6,0.59,0.74,0.89,1,0.1,1,9,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1339,162,443,734,1,1,0.33,0.95,0.27,1,21,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,781,559,79,144,0.55,0.57,0.81,1,-0.05,1,21,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1343,618,177,548,0.95,1.23,0.43,0.95,0.14,1,21,Bulgaria
ILM-EKF,inc case,1,BG,934,380,68,486,0.67,0.79,0.57,0.95,-0.02,1,21,Bulgaria
LANL-GrowthRate,inc case,1,BG,992,811,153,28,0.77,0.78,0.8,1,-0.37,1,20,Bulgaria
USC-SIkJalpha,inc case,1,BG,1684,832,615,236,1.07,0.93,0.48,0.52,0.07,1,21,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,708,440,22,246,0.49,0.5,0.76,1,-0.06,1,21,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,2556,342,732,1483,1,1,0.45,0.75,0.33,1,20,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,1547,851,137,559,0.56,0.75,0.7,0.95,0.08,1,20,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,2657,927,247,1483,0.97,1.23,0.35,0.8,0.25,1,20,Bulgaria
ILM-EKF,inc case,2,BG,2205,726,93,1387,0.77,0.99,0.5,0.9,0.01,1,20,Bulgaria
LANL-GrowthRate,inc case,2,BG,1320,950,118,253,0.73,0.82,0.74,0.95,-0.24,1,19,Bulgaria
USC-SIkJalpha,inc case,2,BG,2144,1014,810,319,0.74,0.6,0.5,0.55,0.11,1,20,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,1578,834,48,696,0.55,0.66,0.65,0.95,-0.1,1,20,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,3580,503,711,2365,1,1,0.42,0.74,0.38,1,19,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,2754,1290,66,1397,0.67,0.92,0.47,1,0.2,1,19,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,4410,1371,169,2870,1.11,1.43,0.37,0.63,0.33,1,19,Bulgaria
ILM-EKF,inc case,3,BG,4186,1280,80,2826,0.97,1.25,0.53,0.84,0.08,1,19,Bulgaria
LANL-GrowthRate,inc case,3,BG,1950,1140,76,735,0.81,0.92,0.78,0.94,0,1,18,Bulgaria
USC-SIkJalpha,inc case,3,BG,2467,1186,835,447,0.62,0.56,0.47,0.47,0.05,1,19,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,2997,1356,83,1558,0.73,0.89,0.63,0.89,-0.09,1,19,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,4336,645,479,3212,1,1,0.44,0.67,0.42,1,18,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,4500,1960,47,2493,0.86,1.16,0.39,1,0.32,1,18,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,6724,2005,88,4631,1.35,1.75,0.28,0.5,0.42,1,18,Bulgaria
ILM-EKF,inc case,4,BG,7043,2188,90,4765,1.26,1.74,0.44,0.83,0.1,1,18,Bulgaria
LANL-GrowthRate,inc case,4,BG,2695,1336,63,1296,0.95,1.12,0.53,0.94,0.22,1,17,Bulgaria
USC-SIkJalpha,inc case,4,BG,2858,1502,765,591,0.59,0.6,0.5,0.5,0.02,1,18,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,4770,1955,95,2721,0.9,1.22,0.56,0.83,-0.09,1,18,Bulgaria
LANL-GrowthRate,inc case,5,BG,3423,1456,38,1929,NA,NA,0.31,1,0.47,1,16,Bulgaria
USC-SIkJalpha,inc case,5,BG,3040,1831,440,769,NA,NA,0.47,0.47,0.01,1,17,Bulgaria
UMass-SemiMech,inc case,4,BG,2352,717,85,1549,0.95,1.12,0.2,0.8,0.44,1,15,Bulgaria
MUNI-ARIMA,inc case,1,BG,290,119,19,152,0.77,0.78,0.85,0.92,0.14,1,13,Bulgaria
MUNI-ARIMA,inc case,2,BG,340,233,19,88,0.73,0.82,0.92,1,0.01,1,12,Bulgaria
RobertWalraven-ESG,inc case,1,BG,252,139,111,1,1.12,0.87,0.57,0.81,-0.29,1,21,Bulgaria
MUNI-ARIMA,inc case,3,BG,368,285,49,34,0.81,0.92,1,1,-0.13,1,10,Bulgaria
RobertWalraven-ESG,inc case,2,BG,296,156,139,1,0.92,0.81,0.55,0.7,-0.3,1,20,Bulgaria
MUNI-ARIMA,inc case,4,BG,469,362,80,27,0.95,1.12,1,1,-0.17,1,9,Bulgaria
RobertWalraven-ESG,inc case,3,BG,304,171,133,0,0.87,0.75,0.53,0.74,-0.28,1,19,Bulgaria
RobertWalraven-ESG,inc case,4,BG,326,192,134,0,0.97,0.75,0.61,0.78,-0.2,1,18,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,48,7,17,24,1,1,0.24,0.95,0.33,1,21,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,33,20,6,7,0.69,0.58,0.62,1,-0,1,21,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,56,34,13,10,1.18,1.12,0.67,1,0.06,1,21,Bulgaria
ILM-EKF,inc death,1,BG,40,30,2,8,0.84,0.66,0.9,1,0.04,1,21,Bulgaria
LANL-GrowthRate,inc death,1,BG,50,9,21,20,0.92,0.88,0.2,0.8,-0.23,1,20,Bulgaria
RobertWalraven-ESG,inc death,1,BG,36,9,23,4,0.76,0.74,0.43,0.9,-0.36,1,21,Bulgaria
USC-SIkJalpha,inc death,1,BG,45,17,14,14,0.94,0.7,0.29,0.38,0.11,1,21,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,52,24,7,22,1.1,1.16,0.43,0.95,-0.01,1,21,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,78,15,20,44,1,1,0.3,0.9,0.33,1,20,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,46,26,4,16,0.58,0.53,0.8,1,0.09,1,20,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,84,49,13,23,1.07,0.95,0.65,1,0.27,1,20,Bulgaria
ILM-EKF,inc death,2,BG,59,33,2,24,0.75,0.67,0.8,1,0.08,1,20,Bulgaria
Imperial-DeCa,inc death,1,BG,59,3,35,21,1.19,0.94,0.06,0.18,-0.12,1,17,Bulgaria
Imperial-RtI0,inc death,1,BG,35,8,17,9,0.7,0.64,0.47,0.71,0.05,1,17,Bulgaria
Imperial-sbkp,inc death,1,BG,43,5,14,24,0.87,0.76,0.29,0.47,0.19,1,17,Bulgaria
LANL-GrowthRate,inc death,2,BG,77,12,28,38,0.71,0.63,0.16,0.79,-0.37,1,19,Bulgaria
RobertWalraven-ESG,inc death,2,BG,38,11,23,4,0.49,0.44,0.55,0.9,-0.26,1,20,Bulgaria
USC-SIkJalpha,inc death,2,BG,47,24,10,13,0.6,0.46,0.3,0.5,0.19,1,20,Bulgaria
epiforecasts-EpiNow2,inc death,2,BG,75,29,4,42,0.95,0.89,0.55,0.9,0.02,1,20,Bulgaria
EuroCOVIDhub-baseline,inc death,3,BG,110,21,19,70,1,1,0.32,0.84,0.34,1,19,Bulgaria
EuroCOVIDhub-ensemble,inc death,3,BG,65,35,1,28,0.59,0.57,0.74,1,0.19,1,19,Bulgaria
IEM_Health-CovidProject,inc death,3,BG,123,70,9,44,1.12,1.03,0.63,1,0.37,1,19,Bulgaria
ILM-EKF,inc death,3,BG,100,42,2,56,0.91,0.93,0.63,0.95,0.09,1,19,Bulgaria
LANL-GrowthRate,inc death,3,BG,96,18,26,52,0.72,0.68,0.39,0.83,-0.31,1,18,Bulgaria
RobertWalraven-ESG,inc death,3,BG,46,13,23,10,0.42,0.41,0.53,0.74,-0.23,1,19,Bulgaria
USC-SIkJalpha,inc death,3,BG,56,33,7,17,0.51,0.41,0.47,0.58,0.16,1,19,Bulgaria
epiforecasts-EpiNow2,inc death,3,BG,117,44,4,69,1.07,1.05,0.58,0.95,-0.03,1,19,Bulgaria
EuroCOVIDhub-baseline,inc death,4,BG,148,26,24,98,1,1,0.33,0.72,0.4,1,18,Bulgaria
EuroCOVIDhub-ensemble,inc death,4,BG,101,51,1,49,0.68,0.73,0.72,1,0.23,1,18,Bulgaria
IEM_Health-CovidProject,inc death,4,BG,190,97,15,78,1.28,1.32,0.56,0.89,0.45,1,18,Bulgaria
ILM-EKF,inc death,4,BG,174,61,3,109,1.18,1.24,0.56,0.94,0.08,1,18,Bulgaria
LANL-GrowthRate,inc death,4,BG,111,29,20,62,0.83,0.83,0.35,0.88,-0.27,1,17,Bulgaria
RobertWalraven-ESG,inc death,4,BG,67,15,33,19,0.45,0.44,0.61,0.72,-0.14,1,18,Bulgaria
UMass-MechBayes,inc death,1,BG,20,15,3,2,0.9,0.52,0.72,0.94,-0.1,1,18,Bulgaria
