model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
Karlen-pypm,inc case,1,AT,697,343,79,276,0.85,1104,0.89,0.5,1,0.26,1,8,Austria
Karlen-pypm,inc case,2,AT,1922,641,290,992,1.18,2810,1.11,0.43,0.71,0.23,1,7,Austria
Karlen-pypm,inc case,3,AT,4236,1298,546,2392,1.76,6046,1.56,0.17,0.67,0.15,1,6,Austria
Karlen-pypm,inc case,4,AT,9349,2481,775,6093,2.82,13016,2.36,0,0.6,0.12,1,5,Austria
EuroCOVIDhub-baseline,inc death,1,AT,10,5,2,4,1,15,1,0.58,1,0.15,1,26,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,6,4,1,1,0.59,9,0.59,0.73,1,0.14,1,26,Austria
IEM_Health-CovidProject,inc death,1,AT,9,5,2,3,0.88,14,0.9,0.46,0.92,0.13,1,26,Austria
ILM-EKF,inc death,1,AT,13,11,0,1,1.13,11,0.69,0.92,1,0.14,1,26,Austria
LANL-GrowthRate,inc death,1,AT,7,2,3,2,0.68,11,0.71,0.36,0.92,0.11,1,25,Austria
RobertWalraven-ESG,inc death,1,AT,7,3,2,2,0.64,12,0.75,0.54,1,0.07,1,26,Austria
USC-SIkJalpha,inc death,1,AT,11,3,1,7,1.03,12,0.78,0.27,0.42,0.33,1,26,Austria
epiforecasts-EpiNow2,inc death,1,AT,7,4,0,3,0.65,11,0.66,0.54,1,0.23,1,26,Austria
EuroCOVIDhub-baseline,inc death,2,AT,16,9,1,6,1,24,1,0.68,1,0.16,1,25,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,8,5,0,2,0.46,11,0.47,0.68,1,0.26,1,25,Austria
IEM_Health-CovidProject,inc death,2,AT,14,7,3,4,0.79,21,0.85,0.36,0.88,0.16,1,25,Austria
ILM-EKF,inc death,2,AT,15,12,0,2,0.81,16,0.65,0.88,1,0.21,1,25,Austria
LANL-GrowthRate,inc death,2,AT,10,3,4,3,0.58,16,0.68,0.12,0.75,0.01,1,24,Austria
RobertWalraven-ESG,inc death,2,AT,10,4,3,3,0.58,16,0.68,0.6,0.96,0.06,1,25,Austria
USC-SIkJalpha,inc death,2,AT,13,4,1,9,0.81,14,0.63,0.28,0.32,0.45,1,25,Austria
epiforecasts-EpiNow2,inc death,2,AT,11,4,0,6,0.64,17,0.68,0.4,0.96,0.35,1,25,Austria
EuroCOVIDhub-baseline,inc death,3,AT,22,13,1,8,1,32,1,0.71,1,0.18,1,24,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,10,7,0,4,0.45,13,0.46,0.58,1,0.37,1,24,Austria
IEM_Health-CovidProject,inc death,3,AT,21,9,3,9,0.8,32,0.94,0.42,0.83,0.16,1,24,Austria
ILM-EKF,inc death,3,AT,18,14,0,4,0.75,25,0.78,0.75,1,0.25,1,24,Austria
LANL-GrowthRate,inc death,3,AT,12,3,4,5,0.51,19,0.58,0.26,0.78,0.09,1,23,Austria
RobertWalraven-ESG,inc death,3,AT,12,5,4,4,0.49,20,0.6,0.62,0.96,-0.01,1,24,Austria
USC-SIkJalpha,inc death,3,AT,20,4,0,16,0.88,25,0.81,0.12,0.25,0.8,1,24,Austria
epiforecasts-EpiNow2,inc death,3,AT,19,7,1,12,0.88,28,0.95,0.38,0.88,0.41,1,24,Austria
EuroCOVIDhub-baseline,inc death,4,AT,28,16,1,11,1,42,1,0.7,1,0.23,1,23,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,15,8,0,6,0.5,22,0.58,0.57,0.96,0.41,1,23,Austria
IEM_Health-CovidProject,inc death,4,AT,29,11,4,14,0.87,46,1.07,0.39,0.83,0.23,1,23,Austria
ILM-EKF,inc death,4,AT,24,16,0,8,0.77,36,0.89,0.52,1,0.29,1,23,Austria
LANL-GrowthRate,inc death,4,AT,17,4,5,7,0.5,24,0.56,0.41,0.73,0.18,1,22,Austria
RobertWalraven-ESG,inc death,4,AT,17,5,6,5,0.5,26,0.58,0.61,0.91,-0.03,1,23,Austria
UMass-MechBayes,inc death,1,AT,6,3,1,1,0.62,8,0.62,0.48,0.96,0.07,1,23,Austria
USC-SIkJalpha,inc death,4,AT,25,5,0,20,0.86,30,0.82,0.26,0.35,0.61,1,23,Austria
epiforecasts-EpiNow2,inc death,4,AT,30,13,0,17,1.22,43,1.3,0.52,0.91,0.33,1,23,Austria
LANL-GrowthRate,inc death,5,AT,22,6,6,11,NA,32,NA,0.19,0.67,0.21,1,21,Austria
UMass-MechBayes,inc death,2,AT,6,4,1,1,0.41,7,0.38,0.59,1,0.11,1,22,Austria
USC-SIkJalpha,inc death,5,AT,33,6,1,25,NA,41,NA,0.23,0.36,0.52,1,22,Austria
LANL-GrowthRate,inc death,6,AT,25,7,5,14,NA,38,NA,0.2,0.65,0.39,1,20,Austria
UMass-MechBayes,inc death,3,AT,8,5,1,2,0.4,12,0.47,0.48,0.9,0.18,1,21,Austria
UMass-MechBayes,inc death,4,AT,10,6,1,4,0.46,15,0.52,0.5,0.95,0.11,1,20,Austria
MUNI-ARIMA,inc death,1,AT,7,3,1,3,0.99,12,1.1,0.61,1,0.07,1,18,Austria
MUNI-ARIMA,inc death,2,AT,9,5,1,4,0.85,15,0.96,0.59,1,0.05,1,17,Austria
MUNI-ARIMA,inc death,3,AT,8,5,1,2,0.74,12,0.91,0.8,1,0.01,1,15,Austria
MUNI-ARIMA,inc death,4,AT,10,7,1,2,0.78,14,0.93,0.79,1,0.01,1,14,Austria
Karlen-pypm,inc death,1,AT,3,1,0,1,0.56,5,0.74,0.5,1,0.26,1,8,Austria
Karlen-pypm,inc death,2,AT,4,2,0,2,0.53,7,0.68,0.57,0.86,0.48,1,7,Austria
Karlen-pypm,inc death,3,AT,9,3,0,6,1.03,15,1.39,0.33,0.67,0.63,1,6,Austria
Karlen-pypm,inc death,4,AT,23,7,0,16,1.84,34,2.43,0.4,0.8,0.57,1,5,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1993,602,678,713,1,2739,1,0.46,1,-0.02,1,26,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1633,888,365,380,0.89,2464,0.96,0.54,0.96,-0.03,1,26,Belgium
IEM_Health-CovidProject,inc case,1,BE,1839,856,287,696,0.96,2958,1.16,0.42,0.96,0.13,1,26,Belgium
ILM-EKF,inc case,1,BE,1809,750,389,671,0.96,2847,1.1,0.5,0.88,0.04,1,26,Belgium
LANL-GrowthRate,inc case,1,BE,2144,1065,1012,67,1.32,3250,1.43,0.52,0.92,-0.43,1,25,Belgium
USC-SIkJalpha,inc case,1,BE,2423,653,889,880,1.35,3120,1.24,0.35,0.54,0.05,1,26,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2260,1244,439,577,1.32,3235,1.34,0.62,0.81,-0.05,1,26,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,3184,1220,953,1011,1,4723,1,0.44,1,0.04,1,25,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,2956,1354,760,842,0.93,4302,0.88,0.6,0.92,0.03,1,25,Belgium
IEM_Health-CovidProject,inc case,2,BE,3516,1237,791,1488,1.06,5695,1.2,0.28,0.84,0.22,1,25,Belgium
ILM-EKF,inc case,2,BE,3686,1392,873,1421,1.16,5316,1.14,0.52,0.84,0.1,1,25,Belgium
LANL-GrowthRate,inc case,2,BE,3100,1279,1377,444,1.06,4854,1.14,0.54,0.92,-0.36,1,24,Belgium
USC-SIkJalpha,inc case,2,BE,4550,750,1728,2072,1.72,5267,1.3,0.32,0.44,0.07,1,25,Belgium
epiforecasts-EpiNow2,inc case,2,BE,3993,1873,922,1197,1.35,5309,1.17,0.6,0.76,-0.03,1,25,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,4034,1764,1034,1236,1,6301,1,0.5,1,0.07,1,24,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,4606,1936,1241,1429,1.08,6508,0.97,0.54,0.88,0.09,1,24,Belgium
IEM_Health-CovidProject,inc case,3,BE,5606,1743,1301,2562,1.25,8715,1.31,0.29,0.79,0.23,1,24,Belgium
ILM-EKF,inc case,3,BE,5953,2255,1275,2423,1.47,8710,1.42,0.46,0.83,0.11,1,24,Belgium
LANL-GrowthRate,inc case,3,BE,4088,1472,1867,749,1.04,6287,1.07,0.48,0.78,-0.26,1,23,Belgium
USC-SIkJalpha,inc case,3,BE,8080,866,2611,4604,2.57,8920,1.74,0.33,0.33,0.03,1,24,Belgium
epiforecasts-EpiNow2,inc case,3,BE,5748,2595,1415,1739,1.49,7515,1.19,0.54,0.79,0.03,1,24,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,4439,2279,699,1460,1,7108,1,0.43,1,0.06,1,23,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,5745,2691,1143,1911,1.21,8077,1.08,0.48,0.87,0.15,1,23,Belgium
IEM_Health-CovidProject,inc case,4,BE,7342,2388,1301,3654,1.41,11273,1.4,0.3,0.74,0.19,1,23,Belgium
ILM-EKF,inc case,4,BE,8349,3460,1412,3476,1.89,12137,1.78,0.43,0.87,0.17,1,23,Belgium
LANL-GrowthRate,inc case,4,BE,4220,1636,1645,939,0.98,6636,1,0.41,0.82,-0.14,1,22,Belgium
USC-SIkJalpha,inc case,4,BE,5194,997,2716,1482,1.21,6020,0.88,0.3,0.35,-0.04,1,23,Belgium
epiforecasts-EpiNow2,inc case,4,BE,7031,3287,1583,2161,1.64,8925,1.22,0.57,0.74,0.07,1,23,Belgium
LANL-GrowthRate,inc case,5,BE,4761,1787,1534,1439,NA,7546,NA,0.33,0.76,-0.07,1,21,Belgium
USC-SIkJalpha,inc case,5,BE,5910,1173,2987,1750,NA,6742,NA,0.27,0.36,-0.07,1,22,Belgium
LANL-GrowthRate,inc case,6,BE,5566,2000,1615,1951,NA,9113,NA,0.3,0.8,-0.02,1,20,Belgium
MUNI-ARIMA,inc case,1,BE,2467,648,1319,499,1.82,3459,1.83,0.33,0.83,-0.08,1,18,Belgium
MUNI-ARIMA,inc case,2,BE,3369,1352,1367,649,1.59,4844,1.57,0.59,0.88,-0.05,1,17,Belgium
RobertWalraven-ESG,inc case,1,BE,1656,499,588,569,1.16,3232,1.3,0.31,0.85,-0.08,1,26,Belgium
MUNI-ARIMA,inc case,3,BE,4342,1863,1529,950,1.53,6747,1.55,0.53,0.93,-0.06,1,15,Belgium
RobertWalraven-ESG,inc case,2,BE,2538,617,1152,770,1.09,4615,1.05,0.24,0.8,-0.07,1,25,Belgium
MUNI-ARIMA,inc case,4,BE,5153,2356,1634,1163,1.56,8369,1.59,0.36,1,-0.06,1,14,Belgium
RobertWalraven-ESG,inc case,3,BE,3273,725,1721,827,1.07,5732,0.95,0.25,0.79,-0.03,1,24,Belgium
RobertWalraven-ESG,inc case,4,BE,3667,826,2080,761,1.03,4998,0.73,0.35,0.83,-0.11,1,23,Belgium
Karlen-pypm,inc case,1,BE,1473,1007,80,386,1.15,2158,1.21,0.88,1,0.02,1,8,Belgium
Karlen-pypm,inc case,2,BE,4097,1942,169,1986,2.08,6460,2.44,0.43,1,0.05,1,7,Belgium
Karlen-pypm,inc case,3,BE,9738,3787,228,5724,3.71,15145,4.38,0.5,0.83,0.11,1,6,Belgium
Karlen-pypm,inc case,4,BE,20723,7108,179,13436,7.43,32102,8.45,0.6,0.6,0.22,1,5,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,19,14,2,3,1,18,1,0.88,1,0.13,1,26,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,10,7,1,2,0.51,14,0.74,0.77,1,0.03,1,26,Belgium
IEM_Health-CovidProject,inc death,1,BE,13,6,4,4,0.64,20,1.02,0.58,0.88,0.04,1,26,Belgium
ILM-EKF,inc death,1,BE,18,16,0,2,0.88,14,0.76,1,1,0.11,1,26,Belgium
LANL-GrowthRate,inc death,1,BE,14,3,5,5,0.69,20,1.09,0.28,0.84,-0.13,1,25,Belgium
RobertWalraven-ESG,inc death,1,BE,12,8,2,2,0.58,17,0.88,0.81,1,-0.01,1,26,Belgium
USC-SIkJalpha,inc death,1,BE,14,5,3,6,0.68,18,0.92,0.31,0.5,0.11,1,26,Belgium
epiforecasts-EpiNow2,inc death,1,BE,16,7,1,8,0.75,25,1.22,0.52,0.92,0.24,1,25,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,34,28,2,5,1,34,1,0.96,1,0.07,1,25,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,14,9,1,3,0.38,18,0.54,0.84,1,0.1,1,25,Belgium
IEM_Health-CovidProject,inc death,2,BE,22,8,6,8,0.6,33,0.96,0.44,0.88,0.12,1,25,Belgium
ILM-EKF,inc death,2,BE,22,18,0,3,0.59,22,0.63,0.92,1,0.18,1,25,Belgium
LANL-GrowthRate,inc death,2,BE,20,5,9,6,0.53,29,0.84,0.33,0.79,-0.22,1,24,Belgium
RobertWalraven-ESG,inc death,2,BE,17,10,4,3,0.44,26,0.66,0.8,1,-0.03,1,25,Belgium
USC-SIkJalpha,inc death,2,BE,20,5,2,12,0.51,24,0.69,0.4,0.6,0.25,1,25,Belgium
epiforecasts-EpiNow2,inc death,2,BE,21,10,1,11,0.57,34,0.96,0.58,0.96,0.32,1,24,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,47,40,1,6,1,48,1,0.96,1,0.08,1,24,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,19,12,2,5,0.36,26,0.52,0.79,0.96,0.12,1,24,Belgium
IEM_Health-CovidProject,inc death,3,BE,31,11,8,13,0.6,48,0.95,0.29,0.83,0.13,1,24,Belgium
ILM-EKF,inc death,3,BE,28,21,0,7,0.55,35,0.66,0.75,1,0.25,1,24,Belgium
LANL-GrowthRate,inc death,3,BE,25,6,10,9,0.48,37,0.72,0.43,0.74,-0.17,1,23,Belgium
RobertWalraven-ESG,inc death,3,BE,21,12,7,3,0.4,32,0.6,0.79,1,-0.07,1,24,Belgium
USC-SIkJalpha,inc death,3,BE,27,6,3,18,0.49,34,0.63,0.38,0.46,0.41,1,24,Belgium
epiforecasts-EpiNow2,inc death,3,BE,32,15,0,17,0.58,49,0.91,0.52,0.91,0.34,1,23,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,59,50,2,7,1,63,1,1,1,0.1,1,23,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,25,15,3,7,0.37,37,0.55,0.65,1,0.17,1,23,Belgium
IEM_Health-CovidProject,inc death,4,BE,45,14,11,20,0.66,68,1.03,0.35,0.78,0.21,1,23,Belgium
ILM-EKF,inc death,4,BE,41,25,1,15,0.62,59,0.85,0.57,1,0.3,1,23,Belgium
LANL-GrowthRate,inc death,4,BE,33,8,13,12,0.48,47,0.67,0.41,0.68,-0.08,1,22,Belgium
RobertWalraven-ESG,inc death,4,BE,25,13,9,2,0.36,38,0.54,0.78,1,-0.1,1,23,Belgium
UMass-MechBayes,inc death,1,BE,9,6,2,1,0.45,13,0.8,0.61,1,-0.14,1,23,Belgium
USC-SIkJalpha,inc death,4,BE,31,8,4,20,0.42,40,0.55,0.3,0.61,0.17,1,23,Belgium
epiforecasts-EpiNow2,inc death,4,BE,46,22,0,24,0.67,68,0.95,0.45,1,0.27,1,22,Belgium
LANL-GrowthRate,inc death,5,BE,42,10,15,17,NA,62,NA,0.14,0.67,0.03,1,21,Belgium
UMass-MechBayes,inc death,2,BE,12,8,3,1,0.33,17,0.55,0.77,0.95,-0.17,1,22,Belgium
USC-SIkJalpha,inc death,5,BE,38,9,7,22,NA,46,NA,0.27,0.45,0.22,1,22,Belgium
LANL-GrowthRate,inc death,6,BE,49,13,13,23,NA,71,NA,0.2,0.6,0.04,1,20,Belgium
UMass-MechBayes,inc death,3,BE,16,9,5,1,0.32,18,0.45,0.52,1,-0.22,1,21,Belgium
UMass-MechBayes,inc death,4,BE,15,10,4,1,0.27,16,0.32,0.7,1,-0.2,1,20,Belgium
MUNI-ARIMA,inc death,1,BE,10,6,2,3,0.72,15,1.06,0.67,0.94,-0.15,1,18,Belgium
MUNI-ARIMA,inc death,2,BE,15,10,1,4,0.62,22,0.96,0.65,1,-0.06,1,17,Belgium
MUNI-ARIMA,inc death,3,BE,19,13,2,4,0.65,26,0.97,0.73,1,-0.09,1,15,Belgium
MUNI-ARIMA,inc death,4,BE,22,16,2,3,0.7,28,0.99,0.86,1,-0.08,1,14,Belgium
Karlen-pypm,inc death,1,BE,4,3,1,1,0.6,6,0.81,0.5,1,-0.14,1,8,Belgium
Karlen-pypm,inc death,2,BE,6,3,1,1,0.54,10,0.94,0.57,1,-0.09,1,7,Belgium
Karlen-pypm,inc death,3,BE,11,6,2,4,0.77,20,1.43,0.33,1,0,1,6,Belgium
Karlen-pypm,inc death,4,BE,27,11,2,14,1.47,45,2.72,0.2,0.8,0.07,1,5,Belgium
EuroCOVIDhub-baseline,inc hosp,1,BE,63,41,23,0,1,96,1,0.6,1,-0.5,1,5,Belgium
EuroCOVIDhub-baseline,inc hosp,2,BE,97,67,30,0,NA,155,NA,1,1,-0.45,1,4,Belgium
EuroCOVIDhub-baseline,inc hosp,3,BE,123,88,35,0,NA,207,NA,1,1,-0.4,1,3,Belgium
Karlen-pypm,inc hosp,1,BE,33,11,22,0,0.49,51,0.52,0.33,1,-0.67,1,3,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1291,174,541,577,1,1810,1,0.31,0.96,0.07,1,26,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,741,522,94,125,0.55,1046,0.57,0.73,1,-0.07,1,26,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1270,576,252,443,0.96,2126,1.14,0.38,0.88,0.06,1,26,Bulgaria
ILM-EKF,inc case,1,BG,1171,406,126,639,1.06,1800,1.09,0.5,0.88,0,1,26,Bulgaria
LANL-GrowthRate,inc case,1,BG,888,767,104,17,0.6,930,0.46,0.8,1,-0.33,1,25,Bulgaria
USC-SIkJalpha,inc case,1,BG,1504,729,552,223,0.94,1576,0.78,0.38,0.58,0.01,1,26,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,704,435,16,253,0.54,982,0.54,0.69,1,0.08,1,26,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,2460,362,946,1153,1,3498,1,0.36,0.8,0.11,1,25,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,1529,796,238,495,0.63,2557,0.71,0.6,0.84,0.02,1,25,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,2611,839,534,1239,1.07,4091,1.12,0.32,0.68,0.13,1,25,Bulgaria
ILM-EKF,inc case,2,BG,2614,767,277,1571,1.2,4016,1.21,0.4,0.8,-0.02,1,25,Bulgaria
LANL-GrowthRate,inc case,2,BG,1288,896,158,234,0.51,1599,0.46,0.62,0.92,-0.22,1,24,Bulgaria
USC-SIkJalpha,inc case,2,BG,2044,867,851,326,0.77,2063,0.56,0.4,0.48,-0.02,1,25,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,1797,893,58,846,0.81,2800,0.86,0.52,0.96,0.02,1,25,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,3428,518,1088,1822,1,4948,1,0.33,0.79,0.12,1,24,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,2675,1180,381,1114,0.77,4321,0.84,0.42,0.92,0.06,1,24,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,4289,1215,822,2252,1.25,6645,1.28,0.29,0.54,0.14,1,24,Bulgaria
ILM-EKF,inc case,3,BG,4305,1264,496,2545,1.29,6279,1.27,0.46,0.71,-0.03,1,24,Bulgaria
LANL-GrowthRate,inc case,3,BG,2039,1075,377,588,0.62,2989,0.61,0.65,0.87,-0.11,1,23,Bulgaria
USC-SIkJalpha,inc case,3,BG,2500,995,1080,425,0.74,2784,0.55,0.38,0.38,-0.09,1,24,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,3888,1608,156,2124,1.37,6013,1.36,0.5,0.83,-0.02,1,24,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,4112,646,1017,2449,1,5916,1,0.35,0.74,0.14,1,23,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,4184,1694,681,1809,0.95,6222,0.97,0.35,0.91,0.09,1,23,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,6258,1673,1140,3445,1.45,9320,1.45,0.22,0.39,0.11,1,23,Bulgaria
ILM-EKF,inc case,4,BG,6358,1923,852,3584,1.36,9194,1.39,0.39,0.74,-0.08,1,23,Bulgaria
LANL-GrowthRate,inc case,4,BG,2911,1168,832,911,0.76,4473,0.75,0.41,0.82,-0.04,1,22,Bulgaria
USC-SIkJalpha,inc case,4,BG,3028,1238,1317,472,0.79,3610,0.6,0.39,0.39,-0.12,1,23,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,6510,2450,339,3721,1.96,10062,1.94,0.43,0.78,-0.1,1,23,Bulgaria
LANL-GrowthRate,inc case,5,BG,3836,1196,1281,1358,NA,5605,NA,0.24,0.81,0.12,1,21,Bulgaria
USC-SIkJalpha,inc case,5,BG,3371,1485,1385,501,NA,4422,NA,0.36,0.36,-0.22,1,22,Bulgaria
LANL-GrowthRate,inc case,6,BG,4653,1282,1529,1842,NA,6811,NA,0.15,0.75,0.21,1,20,Bulgaria
MUNI-ARIMA,inc case,1,BG,338,155,69,114,0.54,505,0.54,0.72,0.94,-0,1,18,Bulgaria
MUNI-ARIMA,inc case,2,BG,531,308,156,68,0.46,834,0.49,0.76,1,-0.13,1,17,Bulgaria
RobertWalraven-ESG,inc case,1,BG,562,136,414,12,1.1,1587,0.87,0.46,0.69,-0.39,1,26,Bulgaria
MUNI-ARIMA,inc case,3,BG,739,427,293,19,0.46,1112,0.48,0.8,1,-0.27,1,15,Bulgaria
RobertWalraven-ESG,inc case,2,BG,1162,149,1013,1,1.05,2899,0.83,0.44,0.56,-0.49,1,25,Bulgaria
MUNI-ARIMA,inc case,4,BG,1052,560,478,14,0.58,1661,0.64,0.71,1,-0.32,1,14,Bulgaria
RobertWalraven-ESG,inc case,3,BG,1806,154,1652,0,1.14,3946,0.82,0.42,0.58,-0.49,1,24,Bulgaria
RobertWalraven-ESG,inc case,4,BG,2298,168,2129,0,1.25,4749,0.82,0.48,0.61,-0.44,1,23,Bulgaria
Karlen-pypm,inc case,1,BG,1140,391,53,696,1.41,1906,1.47,0.5,1,0.19,1,8,Bulgaria
Karlen-pypm,inc case,2,BG,3433,572,230,2631,1.65,4840,1.53,0.14,0.71,0.04,1,7,Bulgaria
Karlen-pypm,inc case,3,BG,6228,803,595,4830,1.86,8452,1.71,0,0.67,-0.15,1,6,Bulgaria
Karlen-pypm,inc case,4,BG,7494,1074,1139,5282,1.76,10366,1.74,0.2,0.8,-0.36,1,5,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,47,7,20,19,1,68,1,0.19,0.96,0.12,1,26,Bulgaria
