model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-ensemble,inc case,4,AT,2915,974,142,1799,0.79,0.83,0.24,0.82,0.46,1,17,Austria
IEM_Health-CovidProject,inc case,4,AT,4294,1034,191,3069,1.18,1.22,0.18,0.47,0.62,1,17,Austria
ILM-EKF,inc case,4,AT,3729,1661,195,1873,0.96,1.05,0.41,0.88,0.28,1,17,Austria
LANL-GrowthRate,inc case,4,AT,2517,671,316,1530,0.88,0.8,0.25,0.75,0.42,1,16,Austria
USC-SIkJalpha,inc case,4,AT,3226,504,232,2490,0.88,0.73,0.29,0.35,0.52,1,17,Austria
epiforecasts-EpiNow2,inc case,4,AT,2470,814,270,1386,0.71,0.71,0.35,0.76,0.11,1,17,Austria
USC-SIkJalpha,inc case,5,AT,4229,619,245,3364,NA,NA,0.12,0.19,0.52,1,16,Austria
UMass-SemiMech,inc case,3,AT,1913,752,174,987,0.82,0.72,0.2,0.8,0.36,1,15,Austria
UMass-SemiMech,inc case,4,AT,2486,967,222,1298,0.88,0.8,0.29,0.71,0.45,1,14,Austria
MUNI-ARIMA,inc case,1,AT,323,142,45,136,0.73,0.68,0.5,1,0.1,1,12,Austria
MUNI-ARIMA,inc case,2,AT,613,322,120,171,0.75,0.66,0.73,1,-0.04,1,11,Austria
RobertWalraven-ESG,inc case,1,AT,438,205,155,78,0.86,0.69,0.55,0.9,0.04,1,20,Austria
MUNI-ARIMA,inc case,3,AT,694,437,218,40,0.82,0.72,0.78,1,-0.13,1,9,Austria
RobertWalraven-ESG,inc case,2,AT,602,255,307,40,0.79,0.56,0.53,0.79,-0.01,1,19,Austria
MUNI-ARIMA,inc case,4,AT,896,615,224,57,0.88,0.8,0.75,1,-0.09,1,8,Austria
RobertWalraven-ESG,inc case,3,AT,667,298,345,24,0.78,0.52,0.5,0.78,0.02,1,18,Austria
RobertWalraven-ESG,inc case,4,AT,674,342,320,12,0.8,0.49,0.47,0.76,0,1,17,Austria
EuroCOVIDhub-baseline,inc death,1,AT,12,5,2,5,1,1,0.45,1,0.23,1,20,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,8,5,1,2,0.64,0.59,0.75,1,0.15,1,20,Austria
IEM_Health-CovidProject,inc death,1,AT,11,6,2,3,0.89,0.93,0.55,1,0.24,1,20,Austria
ILM-EKF,inc death,1,AT,15,13,0,2,1.23,0.69,0.95,1,0.1,1,20,Austria
LANL-GrowthRate,inc death,1,AT,9,2,4,3,0.85,0.75,0.26,0.89,0.21,1,19,Austria
RobertWalraven-ESG,inc death,1,AT,9,4,2,3,0.7,0.82,0.4,1,0.05,1,20,Austria
USC-SIkJalpha,inc death,1,AT,13,4,1,8,1.08,0.79,0.3,0.35,0.38,1,20,Austria
epiforecasts-EpiNow2,inc death,1,AT,9,4,1,4,0.72,0.73,0.5,1,0.2,1,20,Austria
EuroCOVIDhub-baseline,inc death,2,AT,20,10,2,8,1,1,0.58,1,0.24,1,19,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,9,6,0,3,0.48,0.42,0.74,1,0.25,1,19,Austria
IEM_Health-CovidProject,inc death,2,AT,17,8,3,6,0.88,0.89,0.42,1,0.37,1,19,Austria
ILM-EKF,inc death,2,AT,17,14,0,3,0.88,0.66,0.95,1,0.18,1,19,Austria
LANL-GrowthRate,inc death,2,AT,13,3,5,5,0.7,0.63,0.06,0.72,0.08,1,18,Austria
RobertWalraven-ESG,inc death,2,AT,12,4,4,4,0.62,0.66,0.53,0.95,0.04,1,19,Austria
USC-SIkJalpha,inc death,2,AT,15,4,1,11,0.78,0.56,0.26,0.32,0.44,1,19,Austria
epiforecasts-EpiNow2,inc death,2,AT,13,5,1,8,0.65,0.65,0.42,0.95,0.25,1,19,Austria
EuroCOVIDhub-baseline,inc death,3,AT,27,14,2,12,1,1,0.61,1,0.27,1,18,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,13,8,0,5,0.47,0.39,0.56,1,0.38,1,18,Austria
IEM_Health-CovidProject,inc death,3,AT,27,11,3,13,1,1.01,0.39,0.83,0.4,1,18,Austria
ILM-EKF,inc death,3,AT,22,16,0,6,0.81,0.73,0.78,1,0.24,1,18,Austria
LANL-GrowthRate,inc death,3,AT,16,4,5,7,0.72,0.66,0.24,0.76,0.15,1,17,Austria
RobertWalraven-ESG,inc death,3,AT,15,5,5,5,0.57,0.62,0.5,0.94,-0.03,1,18,Austria
USC-SIkJalpha,inc death,3,AT,25,5,0,19,0.91,0.71,0.17,0.28,0.75,1,18,Austria
epiforecasts-EpiNow2,inc death,3,AT,19,5,1,13,0.7,0.69,0.44,0.89,0.28,1,18,Austria
EuroCOVIDhub-baseline,inc death,4,AT,36,17,2,16,1,1,0.59,1,0.31,1,17,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,18,9,0,8,0.5,0.46,0.59,0.94,0.41,1,17,Austria
IEM_Health-CovidProject,inc death,4,AT,40,14,5,20,1.11,1.07,0.35,0.76,0.45,1,17,Austria
ILM-EKF,inc death,4,AT,30,18,0,12,0.85,0.79,0.53,1,0.34,1,17,Austria
LANL-GrowthRate,inc death,4,AT,22,5,6,10,0.74,0.68,0.44,0.62,0.23,1,16,Austria
RobertWalraven-ESG,inc death,4,AT,22,6,9,7,0.61,0.61,0.47,0.88,-0.03,1,17,Austria
UMass-MechBayes,inc death,1,AT,6,4,2,1,0.85,0.65,0.59,1,-0.05,1,17,Austria
USC-SIkJalpha,inc death,4,AT,30,6,0,24,0.85,0.64,0.35,0.41,0.69,1,17,Austria
epiforecasts-EpiNow2,inc death,4,AT,25,7,0,17,0.69,0.67,0.53,0.94,0.26,1,17,Austria
UMass-MechBayes,inc death,2,AT,7,4,1,1,0.7,0.39,0.62,1,-0.06,1,16,Austria
USC-SIkJalpha,inc death,5,AT,39,8,0,31,NA,NA,0.25,0.44,0.63,1,16,Austria
UMass-MechBayes,inc death,3,AT,9,5,2,2,0.58,0.41,0.6,0.93,-0.03,1,15,Austria
UMass-SemiMech,inc death,3,AT,14,6,0,7,0.9,0.66,0.6,1,0.3,1,15,Austria
UMass-MechBayes,inc death,4,AT,10,7,1,3,0.55,0.37,0.57,1,0.02,1,14,Austria
UMass-SemiMech,inc death,4,AT,19,8,0,11,1.01,0.69,0.57,0.93,0.48,1,14,Austria
MUNI-ARIMA,inc death,1,AT,8,4,1,3,0.85,0.75,0.67,1,0.15,1,12,Austria
MUNI-ARIMA,inc death,2,AT,12,5,1,5,0.7,0.63,0.64,1,0.22,1,11,Austria
MUNI-ARIMA,inc death,3,AT,10,6,1,4,0.72,0.66,0.78,1,0.08,1,9,Austria
MUNI-ARIMA,inc death,4,AT,13,8,1,4,0.74,0.68,0.75,1,0.11,1,8,Austria
EuroCOVIDhub-baseline,inc case,1,BE,2410,583,863,965,1,1,0.3,1,0.07,1,20,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1930,899,491,540,0.84,0.89,0.4,0.95,0.02,1,20,Belgium
IEM_Health-CovidProject,inc case,1,BE,2190,924,367,900,0.91,1.03,0.45,0.95,0.1,1,20,Belgium
ILM-EKF,inc case,1,BE,2164,732,545,887,0.91,1.04,0.35,0.85,-0.01,1,20,Belgium
LANL-GrowthRate,inc case,1,BE,2121,967,1053,101,0.99,1.01,0.53,0.89,-0.4,1,19,Belgium
USC-SIkJalpha,inc case,1,BE,2645,779,1173,693,1.12,1.02,0.4,0.5,-0.04,1,20,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2310,1018,483,808,0.98,1.01,0.5,0.75,0.01,1,20,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,3836,1189,1234,1413,1,1,0.26,1,0.15,1,19,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,3539,1343,1022,1173,0.92,0.91,0.47,0.89,0.05,1,19,Belgium
IEM_Health-CovidProject,inc case,2,BE,4246,1303,1019,1924,1.07,1.17,0.21,0.79,0.21,1,19,Belgium
ILM-EKF,inc case,2,BE,4182,1323,1198,1662,1.04,1.04,0.42,0.79,0,1,19,Belgium
LANL-GrowthRate,inc case,2,BE,3472,1253,1581,639,1.07,0.98,0.5,0.89,-0.32,1,18,Belgium
USC-SIkJalpha,inc case,2,BE,4065,850,2258,957,1.08,0.83,0.32,0.42,0.01,1,19,Belgium
epiforecasts-EpiNow2,inc case,2,BE,4294,1466,1158,1670,1.1,1.06,0.47,0.68,-0,1,19,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,4814,1736,1305,1774,1,1,0.33,1,0.21,1,18,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,5589,1905,1673,2011,1.13,1.07,0.39,0.83,0.11,1,18,Belgium
IEM_Health-CovidProject,inc case,3,BE,6983,1848,1659,3476,1.38,1.41,0.17,0.72,0.3,1,18,Belgium
ILM-EKF,inc case,3,BE,6682,2101,1769,2813,1.3,1.29,0.33,0.78,0.02,1,18,Belgium
LANL-GrowthRate,inc case,3,BE,4635,1523,2010,1102,1.25,1.08,0.47,0.76,-0.14,1,17,Belgium
USC-SIkJalpha,inc case,3,BE,5351,923,3190,1238,1.12,0.79,0.39,0.39,0.07,1,18,Belgium
epiforecasts-EpiNow2,inc case,3,BE,6236,1994,1789,2453,1.25,1.17,0.39,0.72,0.08,1,18,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,5145,2274,727,2145,1,1,0.29,1,0.23,1,17,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,6705,2787,1233,2685,1.23,1.16,0.35,0.82,0.24,1,17,Belgium
IEM_Health-CovidProject,inc case,4,BE,9095,2633,1255,5207,1.64,1.7,0.18,0.71,0.37,1,17,Belgium
ILM-EKF,inc case,4,BE,8845,3239,1657,3948,1.56,1.54,0.41,0.82,0.13,1,17,Belgium
LANL-GrowthRate,inc case,4,BE,4522,1775,1329,1417,1.34,1.11,0.44,0.88,0.08,1,16,Belgium
USC-SIkJalpha,inc case,4,BE,5485,1096,2721,1668,1.08,0.77,0.35,0.41,0.11,1,17,Belgium
epiforecasts-EpiNow2,inc case,4,BE,7311,2577,1645,3089,1.34,1.24,0.47,0.71,0.18,1,17,Belgium
USC-SIkJalpha,inc case,5,BE,5621,1298,2387,1936,NA,NA,0.31,0.44,0.08,1,16,Belgium
UMass-SemiMech,inc case,3,BE,5420,2144,1664,1613,1.25,1.08,0.2,0.87,0.08,1,15,Belgium
UMass-SemiMech,inc case,4,BE,6366,2837,1561,1969,1.34,1.11,0.36,0.86,0.12,1,14,Belgium
MUNI-ARIMA,inc case,1,BE,3178,564,1926,688,0.99,1.01,0.17,0.75,-0.05,1,12,Belgium
MUNI-ARIMA,inc case,2,BE,3568,1244,1344,980,1.07,0.98,0.45,0.91,0.06,1,11,Belgium
RobertWalraven-ESG,inc case,1,BE,2036,499,629,908,1.22,1.08,0.3,0.8,0.06,1,20,Belgium
MUNI-ARIMA,inc case,3,BE,4233,1738,919,1576,1.25,1.08,0.44,1,0.16,1,9,Belgium
RobertWalraven-ESG,inc case,2,BE,3212,637,1332,1243,1.25,0.89,0.32,0.74,0.06,1,19,Belgium
MUNI-ARIMA,inc case,4,BE,5017,2239,738,2040,1.34,1.11,0.25,1,0.25,1,8,Belgium
RobertWalraven-ESG,inc case,3,BE,4441,778,2193,1469,1.37,0.88,0.22,0.72,0.15,1,18,Belgium
RobertWalraven-ESG,inc case,4,BE,4387,950,1930,1507,1.26,0.65,0.29,0.82,0.16,1,17,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,21,15,2,5,1,1,0.85,1,0.21,1,20,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,13,8,1,3,0.58,0.75,0.75,1,0.14,1,20,Belgium
IEM_Health-CovidProject,inc death,1,BE,15,6,4,5,0.72,1.1,0.6,0.95,0.13,1,20,Belgium
ILM-EKF,inc death,1,BE,21,18,0,3,0.97,0.78,1,1,0.15,1,20,Belgium
LANL-GrowthRate,inc death,1,BE,17,4,6,7,0.66,0.79,0.32,0.89,0.07,1,19,Belgium
RobertWalraven-ESG,inc death,1,BE,14,9,3,2,0.65,0.92,0.75,1,0.04,1,20,Belgium
USC-SIkJalpha,inc death,1,BE,17,6,3,8,0.78,1,0.35,0.6,0.28,1,20,Belgium
epiforecasts-EpiNow2,inc death,1,BE,20,8,1,11,0.81,1.02,0.42,0.89,0.4,1,19,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,39,30,2,7,1,1,0.95,1,0.14,1,19,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,17,11,2,5,0.44,0.54,0.84,1,0.21,1,19,Belgium
IEM_Health-CovidProject,inc death,2,BE,26,9,7,10,0.68,0.94,0.47,0.95,0.23,1,19,Belgium
ILM-EKF,inc death,2,BE,26,20,1,5,0.66,0.65,0.89,1,0.25,1,19,Belgium
LANL-GrowthRate,inc death,2,BE,24,6,10,8,0.55,0.65,0.39,0.83,-0.02,1,18,Belgium
RobertWalraven-ESG,inc death,2,BE,21,11,6,4,0.53,0.77,0.74,1,0.01,1,19,Belgium
USC-SIkJalpha,inc death,2,BE,25,7,3,15,0.64,0.75,0.42,0.58,0.41,1,19,Belgium
epiforecasts-EpiNow2,inc death,2,BE,27,11,0,16,0.62,0.78,0.44,0.94,0.47,1,18,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,54,43,2,9,1,1,0.94,1,0.16,1,18,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,24,14,2,8,0.44,0.53,0.72,0.94,0.24,1,18,Belgium
IEM_Health-CovidProject,inc death,3,BE,40,13,9,18,0.73,0.99,0.28,0.83,0.37,1,18,Belgium
ILM-EKF,inc death,3,BE,35,23,0,11,0.64,0.74,0.67,1,0.32,1,18,Belgium
LANL-GrowthRate,inc death,3,BE,31,8,11,12,0.5,0.61,0.47,0.82,-0,1,17,Belgium
RobertWalraven-ESG,inc death,3,BE,27,13,9,4,0.49,0.66,0.72,1,0.01,1,18,Belgium
USC-SIkJalpha,inc death,3,BE,36,8,4,24,0.66,0.74,0.28,0.39,0.53,1,18,Belgium
epiforecasts-EpiNow2,inc death,3,BE,41,17,0,24,0.67,0.84,0.41,0.88,0.46,1,17,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,68,54,3,12,1,1,1,1,0.15,1,17,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,32,18,4,10,0.46,0.57,0.59,1,0.32,1,17,Belgium
IEM_Health-CovidProject,inc death,4,BE,59,17,14,28,0.86,1.07,0.29,0.76,0.47,1,17,Belgium
ILM-EKF,inc death,4,BE,51,28,1,21,0.75,0.94,0.47,1,0.38,1,17,Belgium
LANL-GrowthRate,inc death,4,BE,42,10,15,16,0.5,0.6,0.44,0.75,0.03,1,16,Belgium
RobertWalraven-ESG,inc death,4,BE,31,15,13,3,0.45,0.57,0.76,1,-0,1,17,Belgium
UMass-MechBayes,inc death,1,BE,10,6,2,2,0.73,0.75,0.76,1,-0.02,1,17,Belgium
USC-SIkJalpha,inc death,4,BE,42,9,6,27,0.61,0.65,0.29,0.53,0.35,1,17,Belgium
epiforecasts-EpiNow2,inc death,4,BE,60,25,0,35,0.73,0.91,0.31,1,0.42,1,16,Belgium
UMass-MechBayes,inc death,2,BE,15,9,4,2,0.58,0.58,0.88,1,-0.05,1,16,Belgium
USC-SIkJalpha,inc death,5,BE,50,12,7,31,NA,NA,0.25,0.5,0.39,1,16,Belgium
UMass-MechBayes,inc death,3,BE,19,11,6,2,0.46,0.45,0.6,1,-0.08,1,15,Belgium
UMass-SemiMech,inc death,3,BE,30,15,5,10,0.73,0.88,0.47,1,0.23,1,15,Belgium
UMass-MechBayes,inc death,4,BE,18,13,4,1,0.42,0.34,0.79,1,-0.04,1,14,Belgium
UMass-SemiMech,inc death,4,BE,37,20,3,14,0.87,1.01,0.36,1,0.33,1,14,Belgium
MUNI-ARIMA,inc death,1,BE,13,7,2,5,0.73,0.9,0.58,0.92,-0.04,1,12,Belgium
MUNI-ARIMA,inc death,2,BE,19,12,1,7,0.58,0.72,0.64,1,0.1,1,11,Belgium
MUNI-ARIMA,inc death,3,BE,24,16,1,8,0.58,0.72,0.78,1,0.13,1,9,Belgium
MUNI-ARIMA,inc death,4,BE,29,21,0,7,0.61,0.73,0.88,1,0.17,1,8,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1383,163,450,770,1,1,0.35,0.95,0.32,1,20,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,800,584,65,151,0.53,0.57,0.85,1,-0,1,20,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1383,647,161,575,0.93,1.23,0.45,1,0.2,1,20,Bulgaria
ILM-EKF,inc case,1,BG,945,396,39,510,0.62,0.78,0.6,1,0.03,1,20,Bulgaria
LANL-GrowthRate,inc case,1,BG,1024,850,144,30,0.76,0.78,0.84,1,-0.34,1,19,Bulgaria
USC-SIkJalpha,inc case,1,BG,1742,873,621,248,1.03,0.93,0.5,0.55,0.12,1,20,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,731,459,14,258,0.48,0.5,0.8,1,-0.02,1,20,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,2662,346,755,1561,1,1,0.42,0.74,0.38,1,19,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,1589,893,108,589,0.52,0.74,0.74,1,0.14,1,19,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,2751,974,216,1561,0.94,1.23,0.37,0.84,0.31,1,19,Bulgaria
ILM-EKF,inc case,2,BG,2274,762,52,1460,0.71,0.98,0.53,0.95,0.07,1,19,Bulgaria
LANL-GrowthRate,inc case,2,BG,1349,1000,83,267,0.7,0.81,0.78,1,-0.2,1,18,Bulgaria
USC-SIkJalpha,inc case,2,BG,2214,1067,812,336,0.69,0.6,0.53,0.58,0.16,1,19,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,1638,874,31,733,0.53,0.66,0.68,0.95,-0.06,1,19,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,3747,511,738,2497,1,1,0.39,0.72,0.42,1,18,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,2871,1357,39,1475,0.63,0.92,0.5,1,0.26,1,18,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,4601,1446,126,3029,1.08,1.43,0.39,0.67,0.41,1,18,Bulgaria
ILM-EKF,inc case,3,BG,4367,1349,34,2983,0.9,1.25,0.56,0.89,0.13,1,18,Bulgaria
LANL-GrowthRate,inc case,3,BG,2011,1205,28,778,0.78,0.92,0.82,1,0.06,1,17,Bulgaria
USC-SIkJalpha,inc case,3,BG,2546,1251,823,472,0.57,0.55,0.5,0.5,0.11,1,18,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,3108,1430,34,1645,0.66,0.89,0.67,0.94,-0.04,1,18,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,4555,655,499,3401,1,1,0.41,0.65,0.46,1,17,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,4723,2071,13,2639,0.82,1.16,0.41,1,0.4,1,17,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,7070,2121,46,4903,1.33,1.75,0.29,0.53,0.5,1,17,Bulgaria
ILM-EKF,inc case,4,BG,7400,2315,40,5045,1.16,1.75,0.47,0.88,0.16,1,17,Bulgaria
LANL-GrowthRate,inc case,4,BG,2817,1416,24,1377,0.91,1.12,0.56,1,0.29,1,16,Bulgaria
USC-SIkJalpha,inc case,4,BG,2963,1589,748,626,0.53,0.6,0.53,0.53,0.08,1,17,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,5002,2067,55,2881,0.85,1.22,0.59,0.88,-0.03,1,17,Bulgaria
USC-SIkJalpha,inc case,5,BG,3154,1945,392,817,NA,NA,0.5,0.5,0.07,1,16,Bulgaria
UMass-SemiMech,inc case,3,BG,1807,628,36,1143,0.78,0.92,0.33,0.87,0.5,1,15,Bulgaria
UMass-SemiMech,inc case,4,BG,2467,764,44,1659,0.91,1.12,0.21,0.79,0.53,1,14,Bulgaria
MUNI-ARIMA,inc case,1,BG,293,122,6,165,0.76,0.78,0.92,0.92,0.21,1,12,Bulgaria
MUNI-ARIMA,inc case,2,BG,345,237,11,96,0.7,0.81,0.91,1,0.05,1,11,Bulgaria
RobertWalraven-ESG,inc case,1,BG,228,146,81,1,1.22,0.87,0.6,0.85,-0.24,1,20,Bulgaria
MUNI-ARIMA,inc case,3,BG,359,291,31,38,0.78,0.92,1,1,-0.09,1,9,Bulgaria
RobertWalraven-ESG,inc case,2,BG,239,164,73,1,0.94,0.8,0.58,0.74,-0.24,1,19,Bulgaria
MUNI-ARIMA,inc case,4,BG,456,376,50,30,0.91,1.12,1,1,-0.12,1,8,Bulgaria
RobertWalraven-ESG,inc case,3,BG,251,181,70,0,0.95,0.75,0.56,0.78,-0.22,1,18,Bulgaria
RobertWalraven-ESG,inc case,4,BG,265,205,60,0,1.02,0.75,0.65,0.76,-0.12,1,17,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,50,7,17,25,1,1,0.2,0.95,0.34,1,20,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,35,21,7,7,0.69,0.58,0.6,1,-0.02,1,20,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,59,35,13,11,1.18,1.12,0.65,1,0.09,1,20,Bulgaria
ILM-EKF,inc death,1,BG,42,31,3,8,0.84,0.65,0.9,1,0.03,1,20,Bulgaria
LANL-GrowthRate,inc death,1,BG,52,9,22,21,0.92,0.88,0.21,0.79,-0.28,1,19,Bulgaria
RobertWalraven-ESG,inc death,1,BG,38,9,25,4,0.76,0.74,0.4,0.9,-0.38,1,20,Bulgaria
USC-SIkJalpha,inc death,1,BG,47,18,14,14,0.94,0.7,0.3,0.35,0.07,1,20,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,55,25,7,23,1.1,1.16,0.45,0.95,-0.05,1,20,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,82,15,21,46,1,1,0.26,0.89,0.33,1,19,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,48,27,4,16,0.58,0.53,0.79,1,0.07,1,19,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,88,52,13,24,1.08,0.95,0.63,1,0.27,1,19,Bulgaria
ILM-EKF,inc death,2,BG,62,35,2,25,0.76,0.67,0.79,1,0.07,1,19,Bulgaria
Imperial-DeCa,inc death,1,BG,62,3,37,22,1.19,0.93,0.06,0.12,-0.19,1,16,Bulgaria
Imperial-RtI0,inc death,1,BG,37,9,18,10,0.7,0.64,0.44,0.69,0.08,1,16,Bulgaria
Imperial-sbkp,inc death,1,BG,46,6,14,26,0.87,0.76,0.25,0.44,0.22,1,16,Bulgaria
LANL-GrowthRate,inc death,2,BG,81,12,29,39,0.71,0.63,0.17,0.78,-0.45,1,18,Bulgaria
RobertWalraven-ESG,inc death,2,BG,40,11,24,5,0.49,0.44,0.53,0.89,-0.27,1,19,Bulgaria
USC-SIkJalpha,inc death,2,BG,49,26,10,13,0.6,0.46,0.32,0.53,0.15,1,19,Bulgaria
epiforecasts-EpiNow2,inc death,2,BG,78,30,4,43,0.95,0.89,0.58,0.89,-0.03,1,19,Bulgaria
EuroCOVIDhub-baseline,inc death,3,BG,115,21,20,73,1,1,0.28,0.83,0.35,1,18,Bulgaria
EuroCOVIDhub-ensemble,inc death,3,BG,68,37,1,30,0.59,0.57,0.72,1,0.19,1,18,Bulgaria
IEM_Health-CovidProject,inc death,3,BG,130,73,10,47,1.13,1.04,0.61,1,0.36,1,18,Bulgaria
ILM-EKF,inc death,3,BG,106,45,2,59,0.92,0.94,0.61,0.94,0.07,1,18,Bulgaria
LANL-GrowthRate,inc death,3,BG,102,19,27,56,0.72,0.68,0.35,0.82,-0.29,1,17,Bulgaria
RobertWalraven-ESG,inc death,3,BG,48,13,24,11,0.42,0.41,0.5,0.72,-0.24,1,18,Bulgaria
USC-SIkJalpha,inc death,3,BG,58,34,7,17,0.5,0.41,0.5,0.61,0.12,1,18,Bulgaria
epiforecasts-EpiNow2,inc death,3,BG,124,46,4,73,1.08,1.06,0.56,0.94,-0.04,1,18,Bulgaria
EuroCOVIDhub-baseline,inc death,4,BG,155,26,25,104,1,1,0.29,0.71,0.4,1,17,Bulgaria
EuroCOVIDhub-ensemble,inc death,4,BG,107,54,1,52,0.69,0.74,0.71,1,0.24,1,17,Bulgaria
IEM_Health-CovidProject,inc death,4,BG,201,102,16,82,1.3,1.33,0.53,0.88,0.45,1,17,Bulgaria
ILM-EKF,inc death,4,BG,184,65,3,116,1.19,1.25,0.53,0.94,0.1,1,17,Bulgaria
LANL-GrowthRate,inc death,4,BG,117,30,21,66,0.84,0.84,0.31,0.88,-0.27,1,16,Bulgaria
RobertWalraven-ESG,inc death,4,BG,70,15,35,20,0.45,0.44,0.59,0.71,-0.15,1,17,Bulgaria
UMass-MechBayes,inc death,1,BG,22,16,4,2,0.9,0.52,0.71,0.94,-0.11,1,17,Bulgaria
