model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
MUNI-ARIMA,inc death,3,AT,10,6,2,2,0.71,15,0.79,0.72,1,-0.1,1,18,Austria
MUNI-ARIMA,inc death,4,AT,13,7,4,2,0.8,19,0.9,0.65,1,-0.13,1,17,Austria
Karlen-pypm,inc death,1,AT,5,2,2,1,0.72,8,0.81,0.45,0.91,0.01,1,11,Austria
Karlen-pypm,inc death,2,AT,8,2,4,1,0.69,13,0.75,0.4,0.8,0.06,1,10,Austria
Karlen-pypm,inc death,3,AT,12,3,5,4,0.75,19,0.85,0.22,0.78,0.13,1,9,Austria
Karlen-pypm,inc death,4,AT,19,6,3,10,0.93,28,0.98,0.25,0.88,0.09,1,8,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1855,596,614,645,1,2516,1,0.52,1,-0.01,1,29,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1534,860,333,341,0.89,2266,0.95,0.59,0.97,-0.04,1,29,Belgium
IEM_Health-CovidProject,inc case,1,BE,1743,816,257,670,0.98,2817,1.21,0.41,0.97,0.18,1,29,Belgium
ILM-EKF,inc case,1,BE,1703,746,352,605,0.97,2634,1.11,0.55,0.9,0.04,1,29,Belgium
LANL-GrowthRate,inc case,1,BE,2135,1087,987,60,1.41,3313,1.59,0.57,0.93,-0.43,1,28,Belgium
USC-SIkJalpha,inc case,1,BE,2236,589,833,815,1.32,2873,1.23,0.31,0.48,0.08,1,29,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2256,1291,448,518,1.42,3265,1.5,0.66,0.83,-0.08,1,29,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,2962,1206,852,905,1,4262,1,0.5,1,0.03,1,28,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,2748,1309,687,752,0.92,3921,0.9,0.64,0.93,0.01,1,28,Belgium
IEM_Health-CovidProject,inc case,2,BE,3306,1169,706,1431,1.09,5382,1.3,0.25,0.86,0.28,1,28,Belgium
ILM-EKF,inc case,2,BE,3437,1379,782,1276,1.16,4854,1.16,0.57,0.86,0.1,1,28,Belgium
LANL-GrowthRate,inc case,2,BE,3002,1294,1314,394,1.12,4753,1.27,0.56,0.93,-0.37,1,27,Belgium
USC-SIkJalpha,inc case,2,BE,4143,673,1598,1872,1.63,4797,1.3,0.29,0.39,0.03,1,28,Belgium
epiforecasts-EpiNow2,inc case,2,BE,3832,1897,866,1069,1.4,5093,1.28,0.64,0.79,-0.06,1,28,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,3765,1746,919,1100,1,5625,1,0.56,1,0.06,1,27,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,4256,1873,1112,1271,1.07,5864,0.99,0.59,0.89,0.06,1,27,Belgium
IEM_Health-CovidProject,inc case,3,BE,5261,1651,1157,2454,1.3,8220,1.47,0.26,0.81,0.3,1,27,Belgium
ILM-EKF,inc case,3,BE,5542,2236,1133,2173,1.46,7947,1.47,0.52,0.85,0.12,1,27,Belgium
LANL-GrowthRate,inc case,3,BE,3858,1480,1715,663,1.06,5959,1.17,0.54,0.81,-0.28,1,26,Belgium
USC-SIkJalpha,inc case,3,BE,7220,775,2328,4117,2.36,7981,1.73,0.33,0.33,0.03,1,27,Belgium
epiforecasts-EpiNow2,inc case,3,BE,5448,2617,1285,1546,1.51,6987,1.28,0.59,0.81,-0,1,27,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,4164,2251,620,1292,1,6329,1,0.5,1,0.05,1,26,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,5344,2637,1016,1691,1.2,7232,1.09,0.54,0.88,0.11,1,26,Belgium
IEM_Health-CovidProject,inc case,4,BE,6872,2296,1150,3425,1.46,10626,1.61,0.27,0.77,0.26,1,26,Belgium
ILM-EKF,inc case,4,BE,7778,3418,1249,3111,1.85,11108,1.85,0.5,0.88,0.18,1,26,Belgium
LANL-GrowthRate,inc case,4,BE,3985,1638,1521,827,0.98,6261,1.08,0.48,0.84,-0.17,1,25,Belgium
USC-SIkJalpha,inc case,4,BE,12113,964,2402,8747,3.74,13252,2.65,0.31,0.38,0.05,1,26,Belgium
epiforecasts-EpiNow2,inc case,4,BE,6690,3359,1420,1911,1.65,8186,1.28,0.62,0.77,0.04,1,26,Belgium
MUNI-ARIMA,inc case,1,BE,2228,664,1131,432,1.73,3040,1.73,0.43,0.86,-0.05,1,21,Belgium
MUNI-ARIMA,inc case,2,BE,3095,1378,1162,555,1.55,4179,1.49,0.65,0.9,-0.02,1,20,Belgium
RobertWalraven-ESG,inc case,1,BE,1490,497,512,481,1.11,2980,1.29,0.38,0.86,-0.1,1,29,Belgium
MUNI-ARIMA,inc case,3,BE,3987,1918,1274,795,1.5,5692,1.48,0.61,0.94,-0.03,1,18,Belgium
RobertWalraven-ESG,inc case,2,BE,2241,615,984,642,1.04,4212,1.06,0.32,0.82,-0.1,1,28,Belgium
MUNI-ARIMA,inc case,4,BE,4743,2434,1347,962,1.47,7026,1.48,0.47,1,-0.04,1,17,Belgium
RobertWalraven-ESG,inc case,3,BE,2911,731,1498,681,1.03,5338,1.02,0.3,0.81,-0.1,1,27,Belgium
RobertWalraven-ESG,inc case,4,BE,3365,838,1908,618,0.99,4862,0.84,0.31,0.85,-0.2,1,26,Belgium
Karlen-pypm,inc case,1,BE,1419,825,313,281,1.23,2151,1.37,0.64,1,-0.2,1,11,Belgium
Karlen-pypm,inc case,2,BE,3301,1464,447,1390,1.88,5181,2.24,0.4,1,-0.19,1,10,Belgium
Karlen-pypm,inc case,3,BE,7004,2659,529,3816,3.02,10917,3.59,0.33,0.78,-0.19,1,9,Belgium
Karlen-pypm,inc case,4,BE,13541,4625,519,8397,4.61,21123,5.53,0.38,0.75,-0.15,1,8,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,19,13,2,3,1,18,1,0.9,1,0.1,1,29,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,10,7,2,2,0.53,14,0.74,0.72,1,-0.03,1,29,Belgium
IEM_Health-CovidProject,inc death,1,BE,13,5,4,4,0.68,20,1.05,0.52,0.86,0.01,1,29,Belgium
ILM-EKF,inc death,1,BE,17,15,0,2,0.9,14,0.76,1,1,0.08,1,29,Belgium
LANL-GrowthRate,inc death,1,BE,13,3,6,4,0.68,20,1.04,0.29,0.82,-0.18,1,28,Belgium
RobertWalraven-ESG,inc death,1,BE,12,8,2,2,0.6,17,0.9,0.76,1,-0.07,1,29,Belgium
USC-SIkJalpha,inc death,1,BE,13,4,3,6,0.7,17,0.9,0.28,0.52,0.06,1,29,Belgium
epiforecasts-EpiNow2,inc death,1,BE,15,7,1,7,0.73,23,1.16,0.5,0.93,0.17,1,28,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,33,27,1,4,1,31,1,0.96,1,0.05,1,28,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,13,9,2,3,0.39,18,0.6,0.82,1,0.03,1,28,Belgium
IEM_Health-CovidProject,inc death,2,BE,21,7,6,7,0.59,31,1.02,0.39,0.89,0.07,1,28,Belgium
ILM-EKF,inc death,2,BE,21,17,0,3,0.6,20,0.63,0.93,1,0.14,1,28,Belgium
LANL-GrowthRate,inc death,2,BE,19,5,9,5,0.54,28,0.9,0.3,0.78,-0.29,1,27,Belgium
RobertWalraven-ESG,inc death,2,BE,16,9,4,2,0.45,25,0.76,0.79,1,-0.09,1,28,Belgium
USC-SIkJalpha,inc death,2,BE,18,5,3,10,0.51,23,0.73,0.36,0.61,0.12,1,28,Belgium
epiforecasts-EpiNow2,inc death,2,BE,20,9,1,10,0.58,33,1.05,0.56,0.96,0.22,1,27,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,45,38,1,5,1,45,1,0.96,1,0.06,1,27,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,18,11,2,5,0.37,25,0.57,0.74,0.96,0.04,1,27,Belgium
IEM_Health-CovidProject,inc death,3,BE,29,10,8,11,0.59,44,0.94,0.33,0.81,0.07,1,27,Belgium
ILM-EKF,inc death,3,BE,27,20,0,7,0.54,33,0.69,0.78,1,0.2,1,27,Belgium
LANL-GrowthRate,inc death,3,BE,24,6,10,8,0.5,35,0.77,0.38,0.69,-0.26,1,26,Belgium
RobertWalraven-ESG,inc death,3,BE,20,11,7,2,0.41,32,0.67,0.74,1,-0.13,1,27,Belgium
USC-SIkJalpha,inc death,3,BE,26,6,4,16,0.51,32,0.67,0.37,0.44,0.28,1,27,Belgium
epiforecasts-EpiNow2,inc death,3,BE,30,14,1,15,0.59,46,0.99,0.5,0.92,0.24,1,26,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,56,48,2,7,1,58,1,1,1,0.07,1,26,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,23,14,3,6,0.38,35,0.58,0.62,1,0.09,1,26,Belgium
IEM_Health-CovidProject,inc death,4,BE,42,13,11,18,0.66,63,1.04,0.35,0.81,0.16,1,26,Belgium
ILM-EKF,inc death,4,BE,38,23,1,13,0.6,54,0.83,0.62,1,0.24,1,26,Belgium
LANL-GrowthRate,inc death,4,BE,31,7,14,10,0.51,44,0.72,0.36,0.6,-0.19,1,25,Belgium
RobertWalraven-ESG,inc death,4,BE,23,13,9,1,0.38,37,0.59,0.73,1,-0.16,1,26,Belgium
UMass-MechBayes,inc death,1,BE,9,5,3,1,0.52,14,0.84,0.58,0.92,-0.21,1,26,Belgium
USC-SIkJalpha,inc death,4,BE,29,7,4,17,0.43,37,0.57,0.27,0.58,0.11,1,26,Belgium
epiforecasts-EpiNow2,inc death,4,BE,43,20,1,21,0.66,63,1.01,0.44,1,0.17,1,25,Belgium
UMass-MechBayes,inc death,2,BE,12,7,4,1,0.37,17,0.64,0.68,0.96,-0.26,1,25,Belgium
UMass-MechBayes,inc death,3,BE,16,9,6,1,0.35,19,0.51,0.5,0.92,-0.29,1,24,Belgium
UMass-MechBayes,inc death,4,BE,15,10,4,1,0.27,17,0.38,0.61,0.96,-0.28,1,23,Belgium
MUNI-ARIMA,inc death,1,BE,10,5,2,3,0.72,15,1.03,0.62,0.95,-0.2,1,21,Belgium
MUNI-ARIMA,inc death,2,BE,15,10,2,3,0.61,21,0.99,0.7,1,-0.11,1,20,Belgium
MUNI-ARIMA,inc death,3,BE,18,12,2,3,0.63,25,0.96,0.78,1,-0.12,1,18,Belgium
MUNI-ARIMA,inc death,4,BE,21,16,3,3,0.69,28,0.97,0.82,1,-0.12,1,17,Belgium
Karlen-pypm,inc death,1,BE,5,3,2,0,0.51,7,0.71,0.45,1,-0.23,1,11,Belgium
Karlen-pypm,inc death,2,BE,7,3,2,1,0.45,11,0.85,0.5,1,-0.23,1,10,Belgium
Karlen-pypm,inc death,3,BE,11,5,3,3,0.57,18,1.04,0.33,1,-0.21,1,9,Belgium
Karlen-pypm,inc death,4,BE,21,8,5,9,0.96,35,1.63,0.12,0.88,-0.25,1,8,Belgium
EuroCOVIDhub-baseline,inc hosp,1,BE,56,41,15,1,1,75,1,0.75,1,-0.34,1,8,Belgium
EuroCOVIDhub-baseline,inc hosp,2,BE,88,69,19,0,1,107,1,1,1,-0.33,1,7,Belgium
EuroCOVIDhub-baseline,inc hosp,3,BE,115,92,23,0,1,145,1,1,1,-0.32,1,6,Belgium
Karlen-pypm,inc hosp,1,BE,24,12,12,1,0.43,35,0.47,0.67,1,-0.37,1,6,Belgium
EuroCOVIDhub-baseline,inc hosp,4,BE,134,110,24,0,1,180,1,1,1,-0.32,1,5,Belgium
Karlen-pypm,inc hosp,2,BE,30,13,17,0,0.36,48,0.57,0.4,1,-0.48,1,5,Belgium
Karlen-pypm,inc hosp,3,BE,40,15,24,0,0.36,66,0.62,0.5,1,-0.5,1,4,Belgium
Karlen-pypm,inc hosp,4,BE,57,17,40,0,0.44,99,0.7,0.33,1,-0.73,1,3,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1226,176,513,537,1,1725,1,0.31,0.97,0.08,1,29,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,740,511,94,135,0.61,1052,0.61,0.72,1,-0.06,1,29,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1210,568,229,413,0.97,2009,1.13,0.41,0.9,0.06,1,29,Bulgaria
ILM-EKF,inc case,1,BG,1204,422,130,653,1.15,1854,1.18,0.48,0.9,0.02,1,29,Bulgaria
LANL-GrowthRate,inc case,1,BG,918,773,129,16,0.73,1026,0.59,0.82,1,-0.34,1,28,Bulgaria
USC-SIkJalpha,inc case,1,BG,1495,673,545,277,1.1,1608,0.89,0.34,0.52,0.04,1,29,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,701,428,33,240,0.58,1009,0.6,0.66,1,0.06,1,29,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,2268,368,863,1038,1,3223,1,0.39,0.82,0.08,1,28,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,1533,773,220,540,0.73,2543,0.8,0.61,0.86,0.05,1,28,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,2580,825,476,1279,1.21,4007,1.24,0.36,0.68,0.17,1,28,Bulgaria
ILM-EKF,inc case,2,BG,2985,830,262,1893,1.61,4540,1.56,0.39,0.79,0.03,1,28,Bulgaria
LANL-GrowthRate,inc case,2,BG,1295,894,182,219,0.6,1688,0.55,0.67,0.93,-0.22,1,27,Bulgaria
USC-SIkJalpha,inc case,2,BG,2147,807,808,533,0.99,2265,0.72,0.36,0.43,0.01,1,28,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,1800,867,137,796,0.91,2841,0.96,0.5,0.96,-0,1,28,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,3130,530,981,1619,1,4481,1,0.41,0.81,0.07,1,27,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,2879,1171,339,1369,1.03,4493,1.04,0.41,0.89,0.14,1,27,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,4609,1242,731,2636,1.66,7064,1.65,0.26,0.52,0.22,1,27,Bulgaria
ILM-EKF,inc case,3,BG,6039,1567,441,4031,2.44,8729,2.25,0.41,0.67,0.08,1,27,Bulgaria
LANL-GrowthRate,inc case,3,BG,1958,1064,349,545,0.67,2867,0.66,0.69,0.88,-0.1,1,26,Bulgaria
USC-SIkJalpha,inc case,3,BG,2955,930,960,1065,1.12,3387,0.83,0.33,0.33,0.03,1,27,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,3862,1571,241,2050,1.51,6007,1.53,0.48,0.85,-0.01,1,27,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,3819,662,991,2167,1,5523,1,0.35,0.77,0.07,1,26,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,4749,1713,603,2433,1.38,6862,1.29,0.31,0.85,0.19,1,26,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,7211,1936,1009,4267,2.12,10728,2.04,0.19,0.35,0.21,1,26,Bulgaria
ILM-EKF,inc case,4,BG,10797,2862,754,7181,3.6,15483,3.24,0.35,0.65,0.05,1,26,Bulgaria
LANL-GrowthRate,inc case,4,BG,2754,1184,739,831,0.77,4196,0.76,0.48,0.84,-0.03,1,25,Bulgaria
USC-SIkJalpha,inc case,4,BG,3903,1145,1165,1592,1.26,4622,0.92,0.35,0.35,0.01,1,26,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,7136,2640,300,4197,2.37,11057,2.32,0.42,0.77,0,1,26,Bulgaria
MUNI-ARIMA,inc case,1,BG,365,172,74,120,0.55,572,0.57,0.67,0.95,0.03,1,21,Bulgaria
MUNI-ARIMA,inc case,2,BG,609,357,145,108,0.5,964,0.53,0.75,1,-0.11,1,20,Bulgaria
RobertWalraven-ESG,inc case,1,BG,580,150,353,77,0.99,1519,0.87,0.48,0.69,-0.31,1,29,Bulgaria
MUNI-ARIMA,inc case,3,BG,877,533,246,98,0.49,1321,0.51,0.78,1,-0.17,1,18,Bulgaria
RobertWalraven-ESG,inc case,2,BG,1039,162,844,33,0.87,2642,0.82,0.46,0.61,-0.38,1,28,Bulgaria
MUNI-ARIMA,inc case,4,BG,1219,730,394,96,0.52,1900,0.55,0.76,1,-0.19,1,17,Bulgaria
RobertWalraven-ESG,inc case,3,BG,1606,177,1429,0,0.89,3627,0.84,0.41,0.63,-0.5,1,27,Bulgaria
RobertWalraven-ESG,inc case,4,BG,2388,185,2203,0,0.99,4609,0.87,0.42,0.58,-0.51,1,26,Bulgaria
Karlen-pypm,inc case,1,BG,1141,490,54,596,1.32,1854,1.33,0.55,1,0.15,1,11,Bulgaria
Karlen-pypm,inc case,2,BG,3548,813,170,2565,1.81,5139,1.7,0.3,0.7,0.16,1,10,Bulgaria
Karlen-pypm,inc case,3,BG,8973,1357,396,7220,2.81,12226,2.58,0,0.56,0.19,1,9,Bulgaria
Karlen-pypm,inc case,4,BG,19678,2272,712,16694,4.38,25378,3.85,0.12,0.5,0.15,1,8,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,46,8,21,18,1,68,1,0.21,0.97,0.08,1,29,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,30,19,6,5,0.6,37,0.48,0.62,1,-0.08,1,29,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,48,29,13,7,0.96,66,0.89,0.59,0.93,-0.09,1,29,Bulgaria
ILM-EKF,inc death,1,BG,39,30,2,6,0.8,44,0.58,0.93,1,0.03,1,29,Bulgaria
LANL-GrowthRate,inc death,1,BG,44,10,20,14,0.86,63,0.8,0.25,0.75,-0.28,1,28,Bulgaria
RobertWalraven-ESG,inc death,1,BG,38,8,27,2,0.8,52,0.72,0.34,0.76,-0.5,1,29,Bulgaria
USC-SIkJalpha,inc death,1,BG,40,15,11,14,0.79,44,0.57,0.31,0.45,0.09,1,29,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,45,22,8,15,0.87,69,0.9,0.48,0.97,-0.1,1,29,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,75,15,30,30,1,117,1,0.25,0.93,0.02,1,28,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,40,24,5,11,0.48,55,0.39,0.79,0.96,-0.02,1,28,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,75,41,18,15,0.93,100,0.8,0.57,0.86,0.05,1,28,Bulgaria
