model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,4,AT,3072,1003,723,1346,1,5269,1,0.36,1,0.07,1,25,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,2767,998,425,1345,0.87,4204,0.78,0.24,0.76,0.22,1,25,Austria
IEM_Health-CovidProject,inc case,4,AT,3538,899,611,2028,1,5361,0.91,0.2,0.56,0.24,1,25,Austria
ILM-EKF,inc case,4,AT,3679,1696,448,1535,1.17,5573,1.03,0.4,0.84,0.18,1,25,Austria
LANL-GrowthRate,inc case,4,AT,2534,639,924,970,0.81,3787,0.68,0.25,0.67,0.02,1,24,Austria
USC-SIkJalpha,inc case,4,AT,3364,437,872,2055,1.11,3961,0.75,0.24,0.28,0.22,1,25,Austria
epiforecasts-EpiNow2,inc case,4,AT,6841,3000,534,3307,2.84,9777,2.17,0.36,0.68,0.09,1,25,Austria
LANL-GrowthRate,inc case,5,AT,3472,716,1304,1452,NA,4987,NA,0.13,0.48,0.04,1,23,Austria
USC-SIkJalpha,inc case,5,AT,4520,545,1298,2677,NA,5486,NA,0.08,0.12,0.18,1,24,Austria
LANL-GrowthRate,inc case,6,AT,4521,834,1736,1951,NA,6054,NA,0.18,0.27,0.06,1,22,Austria
MUNI-ARIMA,inc case,1,AT,336,196,46,95,0.43,480,0.39,0.65,1,0.07,1,20,Austria
MUNI-ARIMA,inc case,2,AT,699,457,120,122,0.49,897,0.39,0.74,1,-0.05,1,19,Austria
RobertWalraven-ESG,inc case,1,AT,539,178,324,37,0.85,1033,0.68,0.5,0.86,-0.25,1,28,Austria
MUNI-ARIMA,inc case,3,AT,971,679,245,46,0.57,1187,0.41,0.82,1,-0.18,1,17,Austria
RobertWalraven-ESG,inc case,2,AT,1167,217,933,16,0.99,1889,0.66,0.37,0.59,-0.38,1,27,Austria
MUNI-ARIMA,inc case,4,AT,1310,887,389,33,0.61,1747,0.48,0.69,1,-0.21,1,16,Austria
RobertWalraven-ESG,inc case,3,AT,1988,247,1733,8,1.21,2763,0.69,0.35,0.54,-0.4,1,26,Austria
RobertWalraven-ESG,inc case,4,AT,2860,270,2586,3,1.37,3534,0.71,0.32,0.52,-0.43,1,25,Austria
Karlen-pypm,inc case,1,AT,792,469,63,259,0.96,1140,0.87,0.6,1,0.27,1,10,Austria
Karlen-pypm,inc case,2,AT,1996,771,226,999,1.18,3014,1.11,0.44,0.78,0.31,1,9,Austria
Karlen-pypm,inc case,3,AT,4323,1308,409,2606,1.73,6507,1.52,0.12,0.75,0.33,1,8,Austria
Karlen-pypm,inc case,4,AT,8568,2455,554,5559,2.54,12273,2.12,0.14,0.57,0.3,1,7,Austria
EuroCOVIDhub-baseline,inc death,1,AT,10,5,2,3,1,16,1,0.57,1,0.1,1,28,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,7,4,1,1,0.62,10,0.61,0.71,0.96,0.08,1,28,Austria
IEM_Health-CovidProject,inc death,1,AT,9,5,2,2,0.81,14,0.83,0.43,0.93,0.12,1,28,Austria
ILM-EKF,inc death,1,AT,13,11,0,1,1.09,11,0.67,0.93,1,0.11,1,28,Austria
LANL-GrowthRate,inc death,1,AT,9,2,5,2,0.85,13,0.82,0.33,0.85,0.03,1,27,Austria
RobertWalraven-ESG,inc death,1,AT,7,3,2,2,0.65,12,0.75,0.54,0.96,0.01,1,28,Austria
USC-SIkJalpha,inc death,1,AT,11,3,2,7,1.05,12,0.79,0.25,0.43,0.25,1,28,Austria
EuroCOVIDhub-baseline,inc death,2,AT,16,9,2,5,1,24,1,0.63,1,0.1,1,27,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,8,5,1,2,0.51,12,0.49,0.63,0.96,0.17,1,27,Austria
IEM_Health-CovidProject,inc death,2,AT,13,6,3,4,0.74,21,0.76,0.37,0.89,0.14,1,27,Austria
ILM-EKF,inc death,2,AT,14,12,0,2,0.8,16,0.63,0.89,1,0.17,1,27,Austria
LANL-GrowthRate,inc death,2,AT,12,3,6,3,0.74,18,0.74,0.12,0.69,-0.07,1,26,Austria
RobertWalraven-ESG,inc death,2,AT,11,4,4,3,0.63,17,0.68,0.56,0.93,-0.02,1,27,Austria
USC-SIkJalpha,inc death,2,AT,14,3,2,8,0.86,15,0.63,0.26,0.3,0.34,1,27,Austria
epiforecasts-EpiNow2,inc death,2,AT,11,4,1,6,0.67,17,0.67,0.37,0.93,0.25,1,27,Austria
EuroCOVIDhub-baseline,inc death,3,AT,22,13,2,8,1,33,1,0.73,1,0.13,1,26,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,11,6,1,4,0.48,14,0.47,0.54,1,0.27,1,26,Austria
IEM_Health-CovidProject,inc death,3,AT,21,8,4,8,0.88,31,0.88,0.42,0.81,0.11,1,26,Austria
ILM-EKF,inc death,3,AT,18,13,0,4,0.74,24,0.7,0.77,1,0.21,1,26,Austria
LANL-GrowthRate,inc death,3,AT,14,3,6,5,0.67,21,0.64,0.24,0.72,0.01,1,25,Austria
RobertWalraven-ESG,inc death,3,AT,12,5,5,3,0.54,21,0.6,0.58,0.92,-0.08,1,26,Austria
USC-SIkJalpha,inc death,3,AT,21,4,2,15,0.92,25,0.76,0.12,0.23,0.66,1,26,Austria
epiforecasts-EpiNow2,inc death,3,AT,19,6,2,11,0.86,28,0.86,0.35,0.88,0.31,1,26,Austria
EuroCOVIDhub-baseline,inc death,4,AT,28,16,2,10,1,42,1,0.72,1,0.17,1,25,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,15,8,1,6,0.52,22,0.53,0.52,0.96,0.31,1,25,Austria
IEM_Health-CovidProject,inc death,4,AT,30,10,7,13,1.04,46,1.03,0.36,0.76,0.13,1,25,Austria
ILM-EKF,inc death,4,AT,23,15,0,7,0.76,34,0.72,0.56,1,0.25,1,25,Austria
LANL-GrowthRate,inc death,4,AT,19,4,8,7,0.65,25,0.58,0.38,0.67,0.08,1,24,Austria
RobertWalraven-ESG,inc death,4,AT,17,5,7,5,0.57,27,0.59,0.56,0.88,-0.11,1,25,Austria
UMass-MechBayes,inc death,1,AT,6,3,2,1,0.67,9,0.65,0.44,0.92,-0.01,1,25,Austria
USC-SIkJalpha,inc death,4,AT,24,5,1,18,0.84,30,0.7,0.24,0.32,0.48,1,25,Austria
epiforecasts-EpiNow2,inc death,4,AT,29,13,1,16,1.16,42,1.07,0.56,0.92,0.3,1,25,Austria
LANL-GrowthRate,inc death,5,AT,24,5,9,10,NA,33,NA,0.17,0.61,0.1,1,23,Austria
UMass-MechBayes,inc death,2,AT,7,4,2,1,0.44,8,0.39,0.54,0.96,0.03,1,24,Austria
USC-SIkJalpha,inc death,5,AT,31,6,1,23,NA,38,NA,0.21,0.38,0.41,1,24,Austria
LANL-GrowthRate,inc death,6,AT,27,6,8,12,NA,38,NA,0.18,0.59,0.26,1,22,Austria
UMass-MechBayes,inc death,3,AT,8,5,1,2,0.39,12,0.44,0.48,0.87,0.1,1,23,Austria
UMass-MechBayes,inc death,4,AT,10,6,1,4,0.46,16,0.48,0.45,0.91,0.01,1,22,Austria
MUNI-ARIMA,inc death,1,AT,7,3,1,2,0.86,11,0.94,0.65,1,0.05,1,20,Austria
MUNI-ARIMA,inc death,2,AT,9,5,2,3,0.78,15,0.84,0.58,1,0,1,19,Austria
MUNI-ARIMA,inc death,3,AT,10,5,2,2,0.77,15,0.89,0.71,1,-0.08,1,17,Austria
MUNI-ARIMA,inc death,4,AT,12,7,3,2,0.82,18,0.92,0.69,1,-0.09,1,16,Austria
Karlen-pypm,inc death,1,AT,5,1,3,1,0.76,8,0.89,0.4,0.9,0.04,1,10,Austria
Karlen-pypm,inc death,2,AT,7,2,3,2,0.66,12,0.73,0.44,0.78,0.16,1,9,Austria
Karlen-pypm,inc death,3,AT,10,3,2,4,0.75,16,0.89,0.25,0.75,0.26,1,8,Austria
Karlen-pypm,inc death,4,AT,19,6,1,12,1.02,28,1.11,0.29,0.86,0.24,1,7,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1900,598,636,666,1,2592,1,0.5,1,-0.02,1,28,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1562,867,343,353,0.9,2327,0.95,0.57,0.96,-0.03,1,28,Belgium
IEM_Health-CovidProject,inc case,1,BE,1775,828,266,681,0.98,2864,1.2,0.43,0.96,0.16,1,28,Belgium
ILM-EKF,inc case,1,BE,1738,747,365,626,0.97,2713,1.11,0.54,0.89,0.04,1,28,Belgium
LANL-GrowthRate,inc case,1,BE,2136,1080,993,62,1.42,3287,1.56,0.56,0.93,-0.43,1,27,Belgium
USC-SIkJalpha,inc case,1,BE,2304,608,862,833,1.35,2958,1.24,0.32,0.5,0.05,1,28,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,3032,1211,883,938,1,4406,1,0.48,1,0.04,1,27,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,2815,1326,710,780,0.93,4029,0.89,0.63,0.93,0.02,1,27,Belgium
IEM_Health-CovidProject,inc case,2,BE,3389,1194,732,1463,1.09,5510,1.28,0.26,0.85,0.26,1,27,Belgium
ILM-EKF,inc case,2,BE,3518,1387,808,1323,1.16,4997,1.16,0.56,0.85,0.11,1,27,Belgium
LANL-GrowthRate,inc case,2,BE,3027,1297,1320,410,1.1,4758,1.22,0.58,0.92,-0.36,1,26,Belgium
USC-SIkJalpha,inc case,2,BE,4251,697,1612,1942,1.64,4925,1.3,0.3,0.41,0.07,1,27,Belgium
epiforecasts-EpiNow2,inc case,2,BE,3882,1898,875,1109,1.38,5132,1.23,0.63,0.78,-0.05,1,27,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,3849,1753,954,1142,1,5834,1,0.54,1,0.06,1,26,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,4369,1900,1150,1320,1.08,6051,0.98,0.58,0.88,0.08,1,26,Belgium
IEM_Health-CovidProject,inc case,3,BE,5378,1674,1201,2503,1.29,8386,1.42,0.27,0.81,0.28,1,26,Belgium
ILM-EKF,inc case,3,BE,5678,2247,1177,2255,1.47,8220,1.46,0.5,0.85,0.12,1,26,Belgium
LANL-GrowthRate,inc case,3,BE,3928,1486,1753,689,1.05,6042,1.13,0.52,0.8,-0.27,1,25,Belgium
USC-SIkJalpha,inc case,3,BE,7489,804,2410,4276,2.43,8277,1.74,0.35,0.35,0.07,1,26,Belgium
epiforecasts-EpiNow2,inc case,3,BE,5553,2624,1324,1605,1.51,7144,1.25,0.58,0.81,0.01,1,26,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,4248,2260,645,1344,1,6572,1,0.48,1,0.05,1,25,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,5485,2673,1054,1758,1.21,7478,1.08,0.52,0.88,0.13,1,25,Belgium
IEM_Health-CovidProject,inc case,4,BE,7043,2332,1197,3515,1.46,10877,1.56,0.28,0.76,0.24,1,25,Belgium
ILM-EKF,inc case,4,BE,7964,3436,1299,3228,1.87,11455,1.83,0.48,0.88,0.18,1,25,Belgium
LANL-GrowthRate,inc case,4,BE,4060,1624,1575,861,0.98,6424,1.07,0.46,0.83,-0.16,1,24,Belgium
USC-SIkJalpha,inc case,4,BE,12594,1000,2498,9096,3.87,13777,2.66,0.28,0.36,0.03,1,25,Belgium
epiforecasts-EpiNow2,inc case,4,BE,6832,3377,1468,1988,1.66,8406,1.26,0.6,0.76,0.05,1,25,Belgium
LANL-GrowthRate,inc case,5,BE,4605,1755,1536,1314,NA,7400,NA,0.3,0.78,-0.11,1,23,Belgium
USC-SIkJalpha,inc case,5,BE,21990,1228,2830,17932,NA,23616,NA,0.25,0.33,-0.07,1,24,Belgium
LANL-GrowthRate,inc case,6,BE,5334,1955,1606,1774,NA,8821,NA,0.32,0.82,-0.07,1,22,Belgium
MUNI-ARIMA,inc case,1,BE,2299,659,1188,452,1.8,3168,1.77,0.4,0.85,-0.07,1,20,Belgium
MUNI-ARIMA,inc case,2,BE,3178,1371,1224,584,1.56,4390,1.52,0.63,0.89,-0.03,1,19,Belgium
RobertWalraven-ESG,inc case,1,BE,1526,493,524,508,1.13,3033,1.28,0.36,0.86,-0.08,1,28,Belgium
MUNI-ARIMA,inc case,3,BE,4091,1903,1349,840,1.51,5981,1.49,0.59,0.94,-0.04,1,17,Belgium
RobertWalraven-ESG,inc case,2,BE,2338,617,1042,680,1.06,4367,1.07,0.3,0.81,-0.1,1,27,Belgium
MUNI-ARIMA,inc case,4,BE,4861,2409,1431,1020,1.48,7413,1.49,0.44,1,-0.05,1,16,Belgium
RobertWalraven-ESG,inc case,3,BE,3027,730,1573,724,1.05,5476,1,0.27,0.81,-0.09,1,26,Belgium
RobertWalraven-ESG,inc case,4,BE,3484,835,1990,659,1,4940,0.81,0.32,0.84,-0.18,1,25,Belgium
Karlen-pypm,inc case,1,BE,1375,875,191,309,1.21,2069,1.29,0.7,1,-0.12,1,10,Belgium
Karlen-pypm,inc case,2,BE,3451,1590,316,1545,1.9,5415,2.22,0.44,1,-0.1,1,9,Belgium
Karlen-pypm,inc case,3,BE,7554,2949,312,4293,3.13,11808,3.7,0.38,0.88,-0.1,1,8,Belgium
Karlen-pypm,inc case,4,BE,15281,5231,453,9597,4.98,23802,5.91,0.43,0.71,-0.06,1,7,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,19,14,2,3,1,18,1,0.89,1,0.12,1,28,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,10,7,1,2,0.52,14,0.74,0.75,1,-0,1,28,Belgium
IEM_Health-CovidProject,inc death,1,BE,13,5,4,4,0.69,21,1.07,0.54,0.86,0.03,1,28,Belgium
ILM-EKF,inc death,1,BE,18,16,0,2,0.9,14,0.76,1,1,0.09,1,28,Belgium
LANL-GrowthRate,inc death,1,BE,14,3,6,5,0.68,20,1.05,0.3,0.81,-0.16,1,27,Belgium
RobertWalraven-ESG,inc death,1,BE,12,8,2,2,0.59,17,0.87,0.79,1,-0.04,1,28,Belgium
USC-SIkJalpha,inc death,1,BE,14,4,3,6,0.69,17,0.9,0.29,0.5,0.1,1,28,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,33,27,2,4,1,32,1,0.96,1,0.05,1,27,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,14,9,2,3,0.39,18,0.58,0.81,1,0.05,1,27,Belgium
IEM_Health-CovidProject,inc death,2,BE,21,8,7,7,0.6,32,0.99,0.41,0.89,0.05,1,27,Belgium
ILM-EKF,inc death,2,BE,21,17,0,3,0.59,21,0.63,0.93,1,0.15,1,27,Belgium
LANL-GrowthRate,inc death,2,BE,19,5,9,6,0.54,28,0.87,0.31,0.77,-0.27,1,26,Belgium
RobertWalraven-ESG,inc death,2,BE,16,10,4,2,0.46,25,0.74,0.78,1,-0.08,1,27,Belgium
USC-SIkJalpha,inc death,2,BE,19,5,3,11,0.52,23,0.71,0.37,0.59,0.16,1,27,Belgium
epiforecasts-EpiNow2,inc death,2,BE,21,9,1,10,0.58,33,1.02,0.58,0.96,0.26,1,26,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,46,39,1,5,1,46,1,0.96,1,0.07,1,26,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,18,11,2,5,0.36,25,0.55,0.77,0.96,0.08,1,26,Belgium
IEM_Health-CovidProject,inc death,3,BE,29,10,8,12,0.57,45,0.9,0.35,0.85,0.11,1,26,Belgium
ILM-EKF,inc death,3,BE,27,20,0,7,0.54,33,0.68,0.77,1,0.22,1,26,Belgium
LANL-GrowthRate,inc death,3,BE,24,6,10,8,0.49,36,0.76,0.4,0.72,-0.23,1,25,Belgium
RobertWalraven-ESG,inc death,3,BE,20,11,7,2,0.4,31,0.64,0.77,1,-0.11,1,26,Belgium
USC-SIkJalpha,inc death,3,BE,26,6,4,17,0.5,33,0.66,0.38,0.46,0.33,1,26,Belgium
epiforecasts-EpiNow2,inc death,3,BE,30,14,1,16,0.59,47,0.97,0.52,0.92,0.27,1,25,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,57,49,2,7,1,60,1,1,1,0.08,1,25,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,24,14,3,6,0.37,35,0.57,0.64,1,0.12,1,25,Belgium
IEM_Health-CovidProject,inc death,4,BE,43,13,12,18,0.67,65,1.05,0.32,0.8,0.18,1,25,Belgium
ILM-EKF,inc death,4,BE,38,24,1,14,0.6,56,0.83,0.6,1,0.26,1,25,Belgium
LANL-GrowthRate,inc death,4,BE,32,8,14,11,0.5,45,0.7,0.38,0.62,-0.16,1,24,Belgium
RobertWalraven-ESG,inc death,4,BE,24,13,9,2,0.37,37,0.56,0.76,1,-0.13,1,25,Belgium
UMass-MechBayes,inc death,1,BE,9,5,2,1,0.48,13,0.81,0.6,0.96,-0.18,1,25,Belgium
USC-SIkJalpha,inc death,4,BE,29,7,4,18,0.42,38,0.56,0.28,0.6,0.15,1,25,Belgium
epiforecasts-EpiNow2,inc death,4,BE,44,21,1,22,0.66,65,0.98,0.46,1,0.21,1,24,Belgium
LANL-GrowthRate,inc death,5,BE,41,10,16,15,NA,59,NA,0.13,0.61,-0.06,1,23,Belgium
UMass-MechBayes,inc death,2,BE,12,7,4,1,0.36,17,0.6,0.71,0.96,-0.23,1,24,Belgium
USC-SIkJalpha,inc death,5,BE,40,9,7,24,NA,48,NA,0.25,0.42,0.2,1,24,Belgium
LANL-GrowthRate,inc death,6,BE,47,12,15,21,NA,68,NA,0.18,0.55,-0.05,1,22,Belgium
UMass-MechBayes,inc death,3,BE,15,9,5,1,0.32,18,0.48,0.52,0.96,-0.26,1,23,Belgium
UMass-MechBayes,inc death,4,BE,15,10,4,1,0.26,17,0.36,0.64,0.95,-0.25,1,22,Belgium
MUNI-ARIMA,inc death,1,BE,10,6,2,3,0.69,14,0.99,0.65,0.95,-0.18,1,20,Belgium
MUNI-ARIMA,inc death,2,BE,15,10,2,3,0.61,22,0.97,0.68,1,-0.1,1,19,Belgium
MUNI-ARIMA,inc death,3,BE,18,12,2,4,0.64,25,0.96,0.76,1,-0.11,1,17,Belgium
MUNI-ARIMA,inc death,4,BE,21,16,3,3,0.7,28,0.97,0.81,1,-0.11,1,16,Belgium
Karlen-pypm,inc death,1,BE,5,3,2,1,0.5,7,0.69,0.5,1,-0.19,1,10,Belgium
Karlen-pypm,inc death,2,BE,6,3,2,1,0.46,11,0.81,0.56,1,-0.18,1,9,Belgium
Karlen-pypm,inc death,3,BE,11,5,3,3,0.65,18,1.17,0.38,1,-0.14,1,8,Belgium
Karlen-pypm,inc death,4,BE,23,9,4,10,1.09,37,1.8,0.14,0.86,-0.17,1,7,Belgium
EuroCOVIDhub-baseline,inc hosp,1,BE,58,41,17,0,1,80,1,0.71,1,-0.43,1,7,Belgium
EuroCOVIDhub-baseline,inc hosp,2,BE,91,69,22,0,1,123,1,1,1,-0.37,1,6,Belgium
EuroCOVIDhub-baseline,inc hosp,3,BE,118,91,27,0,1,171,1,1,1,-0.36,1,5,Belgium
Karlen-pypm,inc hosp,1,BE,26,11,14,0,0.44,37,0.49,0.6,1,-0.5,1,5,Belgium
EuroCOVIDhub-baseline,inc hosp,4,BE,138,108,30,0,NA,214,NA,1,1,-0.37,1,4,Belgium
Karlen-pypm,inc hosp,2,BE,34,13,21,0,0.39,58,0.56,0.25,1,-0.55,1,4,Belgium
Karlen-pypm,inc hosp,3,BE,48,16,33,0,0.43,85,0.61,0.33,1,-0.73,1,3,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1260,175,531,554,1,1778,1,0.29,0.96,0.06,1,28,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,750,513,98,139,0.59,1085,0.62,0.71,1,-0.06,1,28,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1234,571,235,428,0.95,2060,1.12,0.39,0.89,0.07,1,28,Bulgaria
ILM-EKF,inc case,1,BG,1227,418,134,675,1.17,1908,1.19,0.46,0.89,0.01,1,28,Bulgaria
LANL-GrowthRate,inc case,1,BG,905,769,120,16,0.67,981,0.52,0.81,1,-0.34,1,27,Bulgaria
USC-SIkJalpha,inc case,1,BG,1527,693,564,270,1.06,1631,0.86,0.36,0.54,0.01,1,28,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,2321,366,879,1076,1,3292,1,0.41,0.81,0.1,1,27,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,1560,780,221,560,0.72,2592,0.8,0.59,0.85,0.06,1,27,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,2655,836,494,1326,1.22,4147,1.26,0.33,0.67,0.17,1,27,Bulgaria
ILM-EKF,inc case,2,BG,3052,833,256,1963,1.62,4630,1.57,0.37,0.78,0.05,1,27,Bulgaria
LANL-GrowthRate,inc case,2,BG,1286,894,164,227,0.57,1639,0.51,0.65,0.92,-0.21,1,26,Bulgaria
USC-SIkJalpha,inc case,2,BG,2173,833,788,552,0.97,2285,0.71,0.37,0.44,0.05,1,27,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,1825,871,128,826,0.9,2869,0.95,0.48,0.96,0.01,1,27,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,3227,527,1018,1682,1,4644,1,0.38,0.81,0.08,1,26,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,2946,1185,352,1410,1.02,4603,1.03,0.38,0.88,0.13,1,26,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,4707,1248,759,2700,1.64,7197,1.61,0.27,0.5,0.2,1,26,Bulgaria
ILM-EKF,inc case,3,BG,6056,1537,458,4061,2.37,8699,2.14,0.42,0.65,0.05,1,26,Bulgaria
LANL-GrowthRate,inc case,3,BG,1985,1071,347,566,0.66,2889,0.64,0.68,0.88,-0.08,1,25,Bulgaria
USC-SIkJalpha,inc case,3,BG,2885,951,997,937,1.04,3275,0.76,0.35,0.35,-0,1,26,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,3885,1612,144,2129,1.47,6033,1.47,0.5,0.85,0.03,1,26,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,3940,657,1029,2254,1,5728,1,0.32,0.76,0.08,1,25,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,4726,1728,627,2371,1.3,6784,1.2,0.32,0.84,0.17,1,25,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,6941,1861,1049,4031,1.91,10318,1.83,0.2,0.36,0.18,1,25,Bulgaria
ILM-EKF,inc case,4,BG,9608,2600,784,6224,2.98,13777,2.7,0.36,0.68,0.01,1,25,Bulgaria
LANL-GrowthRate,inc case,4,BG,2821,1189,767,865,0.77,4329,0.75,0.46,0.83,-0.02,1,24,Bulgaria
USC-SIkJalpha,inc case,4,BG,3626,1160,1212,1254,1.1,4234,0.79,0.36,0.36,-0.03,1,25,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,7331,2673,312,4347,2.37,11373,2.3,0.4,0.76,-0.02,1,25,Bulgaria
LANL-GrowthRate,inc case,5,BG,3672,1181,1251,1240,NA,5380,NA,0.26,0.83,0.07,1,23,Bulgaria
USC-SIkJalpha,inc case,5,BG,4048,1379,1270,1399,NA,5063,NA,0.33,0.33,-0.12,1,24,Bulgaria
LANL-GrowthRate,inc case,6,BG,4660,1209,1777,1674,NA,6825,NA,0.14,0.73,0.1,1,22,Bulgaria
MUNI-ARIMA,inc case,1,BG,362,167,77,118,0.54,562,0.54,0.65,0.95,0,1,20,Bulgaria
MUNI-ARIMA,inc case,2,BG,600,345,142,113,0.49,951,0.52,0.74,1,-0.09,1,19,Bulgaria
RobertWalraven-ESG,inc case,1,BG,590,141,368,81,1.01,1552,0.86,0.46,0.68,-0.3,1,28,Bulgaria
MUNI-ARIMA,inc case,3,BG,874,511,259,104,0.48,1375,0.52,0.76,1,-0.17,1,17,Bulgaria
RobertWalraven-ESG,inc case,2,BG,1088,159,894,35,0.91,2739,0.84,0.44,0.59,-0.39,1,27,Bulgaria
MUNI-ARIMA,inc case,4,BG,1145,670,418,57,0.49,1771,0.52,0.75,1,-0.24,1,16,Bulgaria
RobertWalraven-ESG,inc case,3,BG,1685,168,1517,0,0.92,3754,0.83,0.38,0.62,-0.52,1,26,Bulgaria
RobertWalraven-ESG,inc case,4,BG,2499,177,2323,0,1.05,4740,0.86,0.44,0.56,-0.5,1,25,Bulgaria
Karlen-pypm,inc case,1,BG,1191,480,55,656,1.36,1983,1.4,0.5,1,0.19,1,10,Bulgaria
Karlen-pypm,inc case,2,BG,3813,784,179,2850,1.85,5592,1.77,0.22,0.67,0.2,1,9,Bulgaria
Karlen-pypm,inc case,3,BG,9742,1316,446,7980,2.84,13101,2.57,0,0.5,0.13,1,8,Bulgaria
Karlen-pypm,inc case,4,BG,19603,1876,813,16914,4.13,24584,3.55,0.14,0.57,0.03,1,7,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,47,8,22,17,1,68,1,0.21,0.96,0.06,1,28,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,30,19,6,5,0.58,38,0.47,0.61,1,-0.09,1,28,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,49,29,13,7,0.94,67,0.88,0.57,0.93,-0.11,1,28,Bulgaria
