location_name,location,indicator,date,value,source,snapshot_date
Belgium,BE,Weekly new hospital admissions,2021-03-27,1665,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-04-03,1885,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-04-10,1749,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-04-17,1644,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-04-24,1639,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-05-01,1351,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-05-08,1141,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-05-15,1021,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-05-22,847,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-05-29,630,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-06-05,523,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-06-12,366,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-06-19,232,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-06-26,177,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-07-03,105,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-07-10,122,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-07-17,161,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-07-24,194,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-07-31,240,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-08-07,296,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-08-14,382,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-08-21,415,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-08-28,421,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-09-04,474,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-09-11,440,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-09-18,429,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-09-25,359,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-10-02,421,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-10-09,394,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-10-16,467,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-10-23,739,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-10-30,1054,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-11-06,1200,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-11-13,1567,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-11-20,1925,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-11-27,2206,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-12-04,2193,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-12-11,1927,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-12-18,1452,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2021-12-25,1017,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-01-01,996,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-01-08,1279,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-01-15,1393,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-01-22,1953,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-01-29,2536,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-02-05,2423,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-02-12,2042,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-02-19,1522,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-02-26,1116,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-03-05,947,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-03-12,1043,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-03-19,1185,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-03-26,1388,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-04-02,1549,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-04-09,1521,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-04-16,1531,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-04-23,1287,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-04-30,1024,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-05-07,896,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-05-14,732,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-05-21,599,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-05-28,463,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-06-04,359,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-06-11,406,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-06-18,487,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2022-06-25,693,OWID,2022-07-23
Belgium,BE,Weekly new hospital admissions,2022-07-02,813,OWID,2022-07-30
Belgium,BE,Weekly new hospital admissions,2022-07-09,988,OWID,2022-08-06
Belgium,BE,Weekly new hospital admissions,2022-07-16,1156,OWID,2022-08-13
Belgium,BE,Weekly new hospital admissions,2022-07-23,1105,OWID,2022-08-20
Belgium,BE,Weekly new hospital admissions,2022-07-30,967,OWID,2022-08-27
Belgium,BE,Weekly new hospital admissions,2022-08-06,811,OWID,2022-09-03
Belgium,BE,Weekly new hospital admissions,2022-08-13,672,OWID,2022-09-10
Belgium,BE,Weekly new hospital admissions,2022-08-20,588,OWID,2022-09-17
Belgium,BE,Weekly new hospital admissions,2022-08-27,457,OWID,2022-09-24
Belgium,BE,Weekly new hospital admissions,2022-09-03,410,OWID,2022-10-01
Belgium,BE,Weekly new hospital admissions,2022-09-10,404,OWID,2022-10-08
Belgium,BE,Weekly new hospital admissions,2022-09-17,395,OWID,2022-10-15
Belgium,BE,Weekly new hospital admissions,2022-09-24,469,OWID,2022-10-22
Belgium,BE,Weekly new hospital admissions,2022-10-01,636,OWID,2022-10-29
Belgium,BE,Weekly new hospital admissions,2022-10-08,765,OWID,2022-11-05
Belgium,BE,Weekly new hospital admissions,2022-10-15,756,OWID,2022-11-12
Belgium,BE,Weekly new hospital admissions,2022-10-22,746,OWID,2022-11-19
Belgium,BE,Weekly new hospital admissions,2022-10-29,524,OWID,2022-11-26
Belgium,BE,Weekly new hospital admissions,2022-11-05,352,OWID,2022-12-03
Belgium,BE,Weekly new hospital admissions,2022-11-12,373,OWID,2022-12-10
Belgium,BE,Weekly new hospital admissions,2022-11-19,321,OWID,2022-12-17
Belgium,BE,Weekly new hospital admissions,2022-11-26,412,OWID,2022-12-24
Belgium,BE,Weekly new hospital admissions,2022-12-03,508,OWID,2022-12-31
Belgium,BE,Weekly new hospital admissions,2022-12-10,656,OWID,2023-01-07
Belgium,BE,Weekly new hospital admissions,2022-12-17,873,OWID,2023-01-14
Belgium,BE,Weekly new hospital admissions,2022-12-24,909,OWID,2023-01-21
Belgium,BE,Weekly new hospital admissions,2022-12-31,858,OWID,2023-01-28
Belgium,BE,Weekly new hospital admissions,2023-01-07,530,OWID,2023-02-04
Belgium,BE,Weekly new hospital admissions,2023-01-14,400,OWID,2023-02-11
Belgium,BE,Weekly new hospital admissions,2023-01-21,336,OWID,2023-02-18
Belgium,BE,Weekly new hospital admissions,2023-01-28,345,OWID,2023-02-25
Belgium,BE,Weekly new hospital admissions,2023-02-04,429,OWID,2023-03-04
Belgium,BE,Weekly new hospital admissions,2023-02-11,538,OWID,2023-03-11
Belgium,BE,Weekly new hospital admissions,2023-02-18,709,OWID,2023-03-18
Belgium,BE,Weekly new hospital admissions,2023-02-25,870,OWID,2023-03-25
Belgium,BE,Weekly new hospital admissions,2023-03-04,911,OWID,2023-04-01
Belgium,BE,Weekly new hospital admissions,2023-03-11,1166,OWID,2023-04-08
Belgium,BE,Weekly new hospital admissions,2023-03-18,1162,OWID,2023-04-15
Belgium,BE,Weekly new hospital admissions,2023-03-25,1016,OWID,2023-04-22
Belgium,BE,Weekly new hospital admissions,2023-04-01,858,OWID,2023-04-29
Belgium,BE,Weekly new hospital admissions,2023-04-08,635,OWID,2023-04-29
Belgium,BE,Weekly new hospital admissions,2023-04-15,560,OWID,2023-04-29
Belgium,BE,Weekly new hospital admissions,2023-04-22,444,OWID,2023-04-29
Bulgaria,BG,Weekly new hospital admissions,2020-05-09,2159,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-05-16,2482,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-05-23,2418,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-05-30,1708,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-06-06,807,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-06-13,721,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-06-20,1318,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-06-27,1956,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-07-04,2602,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-07-11,3080,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-07-18,3467,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-07-25,3965,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-08-01,4506,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-08-08,5088,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-08-15,5885,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-08-22,5818,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-08-29,5328,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-09-05,5053,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-09-12,5207,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-09-19,5248,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-09-26,5120,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-10-03,5168,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-10-10,5855,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-10-17,7202,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-10-24,9431,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-10-31,12027,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-11-07,16062,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-11-14,22237,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-11-21,31224,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-11-28,39529,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-12-05,45462,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-12-12,47181,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-12-19,48899,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2020-12-26,48180,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-01-02,41359,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-01-09,35069,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-01-16,30134,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-01-23,26375,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-01-30,21888,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-02-06,19855,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-02-13,20750,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-02-20,22431,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-02-27,25185,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-03-06,29465,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-03-13,35862,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-03-20,44264,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-03-27,54490,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-04-03,63503,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-04-10,70164,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-04-17,72552,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-04-24,67457,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-05-01,59301,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-05-08,50690,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-05-15,43967,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-05-22,36764,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-05-29,29637,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-06-05,24090,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-06-12,19977,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-06-19,16841,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-06-26,13775,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-07-03,11369,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-07-10,10070,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-07-17,6810,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-07-24,5232,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-07-31,5067,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-08-07,5296,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-08-14,6436,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-08-21,8747,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-08-28,13861,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-09-04,20707,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-09-11,26705,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-09-18,30555,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-09-25,32198,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-10-02,34328,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-10-09,35890,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-10-16,37138,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-10-23,40021,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-10-30,45087,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-11-06,51621,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-11-13,57093,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-11-20,58334,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-11-27,53218,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-12-04,48195,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-12-11,44150,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-12-18,38927,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2021-12-25,33986,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-01-01,29648,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-01-08,28430,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-01-15,32141,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-01-22,36334,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-01-29,36373,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-02-05,37851,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-02-12,41458,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-02-19,43426,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-02-26,39754,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-03-05,32998,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-03-12,24962,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-03-19,19494,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-03-26,16190,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-04-02,14407,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-04-09,13529,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-04-16,10156,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-04-23,7952,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-04-30,6639,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-05-07,6318,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-05-14,5530,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-05-21,4491,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-05-28,3886,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-06-04,3177,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-06-11,2540,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-06-18,2137,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-06-25,1815,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-07-02,1999,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-07-09,2414,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-07-16,2933,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-07-23,3513,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-07-30,5538,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-08-06,6627,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-08-13,7299,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-08-20,7449,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-08-27,7092,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-09-03,6426,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-09-10,5751,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-09-17,4877,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-09-24,4165,OWID,2022-10-21
Bulgaria,BG,Weekly new hospital admissions,2022-10-01,3715,OWID,2022-10-23
Bulgaria,BG,Weekly new hospital admissions,2022-10-08,3745,OWID,2022-10-30
Bulgaria,BG,Weekly new hospital admissions,2022-10-15,4211,OWID,2022-11-06
Bulgaria,BG,Weekly new hospital admissions,2022-10-22,4597,OWID,2022-11-13
Bulgaria,BG,Weekly new hospital admissions,2022-10-29,4716,OWID,2022-11-20
Bulgaria,BG,Weekly new hospital admissions,2022-11-05,4903,OWID,2022-11-27
Bulgaria,BG,Weekly new hospital admissions,2022-11-12,4565,OWID,2023-01-18
Bulgaria,BG,Weekly new hospital admissions,2022-11-19,4004,OWID,2023-01-18
Croatia,HR,Weekly new hospital admissions,2020-05-02,103,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-05-09,24,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-05-16,40,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-05-23,15,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-05-30,15,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-06-06,1,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-06-13,0,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-06-20,3,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-06-27,6,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-07-04,57,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-07-11,67,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-07-18,96,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-07-25,101,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-08-01,82,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-08-08,76,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-08-15,64,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-08-22,70,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-08-29,99,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-09-05,190,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-09-12,235,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-09-19,220,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-09-26,172,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-10-03,206,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-10-10,233,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-10-17,341,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-10-24,526,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-10-31,826,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-11-07,1090,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-11-14,1308,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-11-21,1524,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-11-28,1616,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-12-05,1814,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-12-12,2205,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-12-19,2348,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2020-12-26,2180,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-01-02,1695,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-01-09,1529,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-01-16,1210,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-01-23,978,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-01-30,825,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-02-06,719,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-02-13,650,OWID,2022-07-18
Croatia,HR,Weekly new hospital admissions,2021-02-20,470,OWID,2022-07-18
