model,continuous_weeks,target_variable,horizon,location,relative_skill,inv_skill,skill_weight
ILM-EKF,11,inc death,3,BE,1.1403815012110092,0.8768995278668292,0.11126159625025359
LANL-GrowthRate,11,inc death,3,BE,0.992858755304154,1.0071926088758298,0.12779326916458378
RobertWalraven-ESG,11,inc death,3,BE,0.7722877362715476,1.29485417550174,0.16429196036642008
USC-SIkJalpha,11,inc death,3,BE,1.007207276052521,0.9928442970738178,0.12597274580488751
epiforecasts-EpiNow2,11,inc death,3,BE,1.2549504239056593,0.7968442266331112,0.10110412630016023
IEM_Health-CovidProject,11,inc death,4,BE,1.6372692022396098,0.6107731084369672,0.0842738104801634
ILM-EKF,11,inc death,4,BE,1.4691021902199517,0.6806878423142787,0.09392056956493354
LANL-GrowthRate,11,inc death,4,BE,1.1229169196826814,0.8905378327388497,0.12287544344201339
RobertWalraven-ESG,11,inc death,4,BE,0.8503414440470674,1.1759981910803454,0.1622629538057796
UMass-MechBayes,8,inc death,1,BE,0.7470911338239187,1.3385247859676639,0.1487907653444908
UMass-SemiMech,8,inc death,1,BE,0.8618666568908256,1.1602722903882705,0.1289761713079302
USC-SIkJalpha,11,inc death,4,BE,0.8354331383823752,1.196983880644561,0.1651585364709302
epiforecasts-EpiNow2,11,inc death,4,BE,1.71508872152836,0.5830602157472496,0.08045001563044077
LANL-GrowthRate,11,inc death,5,BE,1.2009966482615513,0.8326417908388879,0.4094345262313193
UMass-MechBayes,8,inc death,2,BE,0.796432679354433,1.255598904869867,0.1513993759489743
UMass-SemiMech,8,inc death,2,BE,1.0072471524044548,0.9928049909228785,0.1197118406855646
USC-SIkJalpha,11,inc death,5,BE,0.832641790838888,1.200996648261551,0.5905654737686807
UMass-MechBayes,8,inc death,3,BE,0.811125447065521,1.2328549222784058,0.15642545381608305
UMass-SemiMech,8,inc death,3,BE,1.088194338005113,0.9189535040526019,0.11659743276333903
UMass-MechBayes,8,inc death,4,BE,0.8022042796091342,1.2465652769731417,0.17199972371348857
UMass-SemiMech,8,inc death,4,BE,1.1589126063698638,0.862877834362648,0.11905894689225048
IEM_Health-CovidProject,11,inc case,1,BG,1.4389756610421875,0.6949387867170341,0.10062204152535013
ILM-EKF,11,inc case,1,BG,0.8102330795833621,1.2342127533403349,0.1787049583236103
LANL-GrowthRate,11,inc case,1,BG,1.006357164056897,0.9936829941854148,0.1438780125891457
RobertWalraven-ESG,11,inc case,1,BG,0.902677320627312,1.107815580549929,0.160403574356706
USC-SIkJalpha,11,inc case,1,BG,1.5951993498994763,0.6268808974019556,0.09076775810401343
epiforecasts-EpiNow2,11,inc case,1,BG,0.6734513591303595,1.4848882349741175,0.2150009302918754
IEM_Health-CovidProject,11,inc case,2,BG,1.6339259698266322,0.6120228324090504,0.08707839543003049
ILM-EKF,11,inc case,2,BG,0.9892794751445028,1.0108366999668434,0.14382149360086233
LANL-GrowthRate,11,inc case,2,BG,0.7190865914967861,1.390653103291065,0.19786163917728317
RobertWalraven-ESG,11,inc case,2,BG,0.9876485006283212,1.0125059668129106,0.14405899630632174
USC-SIkJalpha,11,inc case,2,BG,1.1472429521661938,0.8716549516489306,0.12401876292664153
epiforecasts-EpiNow2,11,inc case,2,BG,0.7568017025192214,1.3213500929916338,0.1880012310098442
IEM_Health-CovidProject,11,inc case,3,BG,1.695819640284279,0.5896853511098414,0.08583001168936652
ILM-EKF,11,inc case,3,BG,1.3770852229380797,0.7261714695234696,0.10569586916205091
LANL-GrowthRate,11,inc case,3,BG,0.6731441193590445,1.4855659750131691,0.21622742494913147
RobertWalraven-ESG,11,inc case,3,BG,0.9658186327535172,1.03539108284651,0.15070347020919692
USC-SIkJalpha,11,inc case,3,BG,0.9294211361089044,1.075938518233596,0.15660523942679305
epiforecasts-EpiNow2,11,inc case,3,BG,0.9099180521024672,1.099000066752592,0.15996189899996197
IEM_Health-CovidProject,11,inc case,4,BG,1.7957454318753123,0.5568718050173133,0.07747311036983694
ILM-EKF,11,inc case,4,BG,1.5805001579243378,0.6327111041312988,0.08802402413076295
LANL-GrowthRate,11,inc case,4,BG,0.6715922883239491,1.4889986341201706,0.20715244421136017
RobertWalraven-ESG,11,inc case,4,BG,0.7991488222283565,1.251331381821458,0.17408770453027397
UMass-SemiMech,8,inc case,1,BG,1.3088872016935142,0.7640077759994459,0.11062272480929908
USC-SIkJalpha,11,inc case,4,BG,0.729197820077638,1.3713699800878856,0.19078771248245666
epiforecasts-EpiNow2,11,inc case,4,BG,0.9752884427584342,1.025337691044173,0.14264701388885956
LANL-GrowthRate,11,inc case,5,BG,0.9833365991399108,1.0169457751035242,0.508401107862665
UMass-SemiMech,8,inc case,2,BG,1.2355009747364962,0.8093882728123925,0.11515948154901658
USC-SIkJalpha,11,inc case,5,BG,1.0169457751035242,0.9833365991399107,0.491598892137335
UMass-SemiMech,8,inc case,3,BG,1.1646405701729503,0.8586340074444591,0.12497608556349908
UMass-SemiMech,8,inc case,4,BG,1.1610140801922233,0.8613159969898341,0.11982799038644978
IEM_Health-CovidProject,11,inc death,1,BG,1.3071957561775625,0.7649963636082715,0.08062893670986397
ILM-EKF,11,inc death,1,BG,0.9052616738405532,1.1046529737170043,0.11642799749280838
LANL-GrowthRate,11,inc death,1,BG,0.9327831513898792,1.0720605303708213,0.11299282554063833
RobertWalraven-ESG,11,inc death,1,BG,0.6337821835007833,1.5778291438808867,0.1662997266822241
USC-SIkJalpha,11,inc death,1,BG,0.8425433708260002,1.1868825209788725,0.12509481118926274
epiforecasts-EpiNow2,11,inc death,1,BG,1.219995920541174,0.819674871991714,0.08639193141358242
IEM_Health-CovidProject,11,inc death,2,BG,1.4796193598700325,0.6758494969191525,0.06377759838795984
ILM-EKF,11,inc death,2,BG,0.824513017855464,1.2128371273033054,0.11445127882430048
LANL-GrowthRate,11,inc death,2,BG,0.8697284171810314,1.1497842087777304,0.10850119121863651
RobertWalraven-ESG,11,inc death,2,BG,0.5578791181359694,1.7925030127337989,0.16915235977311058
USC-SIkJalpha,11,inc death,2,BG,0.5764679642152576,1.734701773690571,0.16369785514326335
epiforecasts-EpiNow2,11,inc death,2,BG,1.0466176127114872,0.9554587920695178,0.09016336831592613
IEM_Health-CovidProject,11,inc death,3,BG,1.6652089856757468,0.6005252245226127,0.07161028454330755
ILM-EKF,11,inc death,3,BG,1.2018715774170181,0.8320356507216295,0.09921699749701085
LANL-GrowthRate,11,inc death,3,BG,1.059247222176027,0.9440666721274807,0.11257625867863386
RobertWalraven-ESG,11,inc death,3,BG,0.6671008126222527,1.4990238073150903,0.1787527267724018
USC-SIkJalpha,11,inc death,3,BG,0.7302976001396471,1.369304787265877,0.16328424092522087
epiforecasts-EpiNow2,11,inc death,3,BG,1.4022550841457766,0.7131370114512213,0.08503879974231286
IEM_Health-CovidProject,11,inc death,4,BG,1.7502279918932735,0.5713541347937593,0.07166818814871331
ILM-EKF,11,inc death,4,BG,1.3954977295328028,0.7165902020742011,0.08988597141476272
LANL-GrowthRate,11,inc death,4,BG,0.7916312366998924,1.2632144281834348,0.15845214692267692
RobertWalraven-ESG,11,inc death,4,BG,0.7417846554720253,1.3481001428422141,0.16909984333166392
UMass-MechBayes,8,inc death,1,BG,0.6046283261093814,1.65390861925826,0.17431833630827323
UMass-SemiMech,8,inc death,1,BG,0.7646085933106985,1.3078586988802652,0.13784543466334687
USC-SIkJalpha,11,inc death,4,BG,0.8107585801531118,1.2334127870853369,0.15471395813345973
epiforecasts-EpiNow2,11,inc death,4,BG,1.3755250916545705,0.7269950988659432,0.09119111660498294
LANL-GrowthRate,11,inc death,5,BG,0.994903557214812,1.0051225495659653,0.5025547147400995
UMass-MechBayes,8,inc death,2,BG,0.5314030349382102,1.881810855890721,0.17758003454348692
UMass-SemiMech,8,inc death,2,BG,0.8375013889249081,1.1940278705491936,0.11267631379331626
USC-SIkJalpha,11,inc death,5,BG,1.0051225495659653,0.9949035572148119,0.4974452852599005
UMass-MechBayes,8,inc death,3,BG,0.6065896990996761,1.6485608006272423,0.1965844284288085
UMass-SemiMech,8,inc death,3,BG,1.2830953699880077,0.7793652937967864,0.0929362634123037
UMass-MechBayes,8,inc death,4,BG,0.6753771770386788,1.4806541203904644,0.1857268401875062
UMass-SemiMech,8,inc death,4,BG,1.582546131641238,0.6318931119959916,0.07926193525623428
IEM_Health-CovidProject,11,inc case,1,CH,0.9453630424791544,1.0577946831701435,0.1341888845552965
ILM-EKF,11,inc case,1,CH,0.7259148694672029,1.3775720019813982,0.17475494373491487
LANL-GrowthRate,11,inc case,1,CH,0.9399200137340368,1.063920318099497,0.13496596552520596
RobertWalraven-ESG,11,inc case,1,CH,0.7768572185826382,1.287237829654826,0.1632954024698744
USC-SIkJalpha,11,inc case,1,CH,0.8204305953004438,1.2188721455881315,0.15462272238107316
epiforecasts-EpiNow2,11,inc case,1,CH,0.8232869133190612,1.214643381088768,0.15408627310576012
IEM_Health-CovidProject,11,inc case,2,CH,1.100539787873468,0.9086450222142924,0.1114835057373501
ILM-EKF,11,inc case,2,CH,0.9065758616320656,1.1030516499741647,0.1353356502727716
LANL-GrowthRate,11,inc case,2,CH,0.6942051827539691,1.4404963040363912,0.17673742115961222
RobertWalraven-ESG,11,inc case,2,CH,0.7014122565599308,1.4256950753961581,0.1749214283156608
USC-SIkJalpha,11,inc case,2,CH,0.787589218474973,1.2696974216284003,0.15578175891379673
epiforecasts-EpiNow2,11,inc case,2,CH,0.9696695671620634,1.0312791427771677,0.1265297353970355
IEM_Health-CovidProject,11,inc case,3,CH,1.0844068215013298,0.9221631404121278,0.11630158193238722
ILM-EKF,11,inc case,3,CH,1.1419773527315855,0.8756741082544425,0.11043846753808595
LANL-GrowthRate,11,inc case,3,CH,0.6427325469846892,1.5558571052475758,0.19622194237797147
RobertWalraven-ESG,11,inc case,3,CH,0.7420514967361863,1.347615366855758,0.16995886316999642
USC-SIkJalpha,11,inc case,3,CH,0.8474587727450585,1.179998404831937,0.14881930880290356
epiforecasts-EpiNow2,11,inc case,3,CH,1.0565088416402948,0.9465136121789939,0.11937262030204143
IEM_Health-CovidProject,11,inc case,4,CH,1.2447115071655053,0.8033990159512787,0.10481617677713545
ILM-EKF,11,inc case,4,CH,1.4296109481347596,0.6994910057905745,0.09125972457179041
LANL-GrowthRate,11,inc case,4,CH,0.5821500353806399,1.7177702297074466,0.22411044136807265
RobertWalraven-ESG,11,inc case,4,CH,0.7022694109014833,1.4239549444654416,0.18577756534222237
USC-SIkJalpha,11,inc case,4,CH,0.8054475594288492,1.241545757130495,0.16197938629810857
epiforecasts-EpiNow2,11,inc case,4,CH,1.265308158311693,0.7903213090274428,0.10310998195544366
LANL-GrowthRate,11,inc case,5,CH,0.7961215562895583,1.256089590967298,0.6120664497151204
UMass-SemiMech,7,inc case,1,CH,1.5086637667356704,0.6628382162075268,0.084085808227875
USC-SIkJalpha,11,inc case,5,CH,1.2560895909672982,0.7961215562895582,0.38793355028487964
UMass-SemiMech,7,inc case,2,CH,1.0292049236086545,0.9716238011121686,0.11921050020377313
UMass-SemiMech,7,inc case,3,CH,0.9080621855860282,1.1012461655967303,0.1388872158766139
UMass-SemiMech,7,inc case,4,CH,1.0117814368673086,0.9883557491390765,0.12894672368722698
IEM_Health-CovidProject,11,inc death,1,CH,0.8510485712572124,1.1750210666857108,0.12547719757896222
ILM-EKF,11,inc death,1,CH,0.8890791790043161,1.124759215618911,0.12010987575316547
LANL-GrowthRate,11,inc death,1,CH,0.6934751432692019,1.442012752303953,0.1539884893660576
RobertWalraven-ESG,11,inc death,1,CH,0.7464055461525295,1.3397542464075527,0.14306859089591034
USC-SIkJalpha,11,inc death,1,CH,1.049919626189965,0.9524538593767244,0.10170987098550861
epiforecasts-EpiNow2,11,inc death,1,CH,0.7535120317728846,1.3271188220407995,0.1417192894368028
IEM_Health-CovidProject,11,inc death,2,CH,1.0503698095840115,0.9520456422829213,0.1024683599339967
ILM-EKF,11,inc death,2,CH,1.0120435490955728,0.9880997718859671,0.10634885406704371
LANL-GrowthRate,11,inc death,2,CH,0.7442045341296447,1.343716618401836,0.14462377851289515
RobertWalraven-ESG,11,inc death,2,CH,0.58728656801825,1.7027462476698854,0.18326601964598901
USC-SIkJalpha,11,inc death,2,CH,0.6813227947029088,1.467733074211983,0.15797162893865901
epiforecasts-EpiNow2,11,inc death,2,CH,1.098266465076482,0.9105258439538725,0.097999597670282
IEM_Health-CovidProject,11,inc death,3,CH,0.9371058271875208,1.0671153363769381,0.13266752823497674
ILM-EKF,11,inc death,3,CH,1.18518553019024,0.8437497543861213,0.1048979342226747
LANL-GrowthRate,11,inc death,3,CH,0.7784889801540961,1.2845396986891933,0.1596984889406562
RobertWalraven-ESG,11,inc death,3,CH,0.7444754491540575,1.343227639187153,0.1669947799203179
USC-SIkJalpha,11,inc death,3,CH,0.9110462986527516,1.097639056850121,0.13646234441807217
epiforecasts-EpiNow2,11,inc death,3,CH,1.3953544075936566,0.7166638056667906,0.08909816252486163
IEM_Health-CovidProject,11,inc death,4,CH,0.9535660407089273,1.0486950639061678,0.12154914923146573
ILM-EKF,11,inc death,4,CH,1.4716523311538243,0.679508317848392,0.07875850738014585
LANL-GrowthRate,11,inc death,4,CH,0.762314964898267,1.3117937414929965,0.15204363854992037
RobertWalraven-ESG,11,inc death,4,CH,0.507249939479618,1.9714147251074858,0.22849710165188605
USC-SIkJalpha,11,inc death,4,CH,0.5852031987320472,1.7088081578615566,0.19805965045187315
epiforecasts-EpiNow2,11,inc death,4,CH,1.8262196285570695,0.5475792639410622,0.06346725178710634
LANL-GrowthRate,11,inc death,5,CH,1.014314588489874,0.9858874271825412,0.4928939274421798
UMass-MechBayes,7,inc death,1,CH,1.10036539244427,0.9087890321402005,0.09704702679509543
UMass-SemiMech,7,inc death,1,CH,0.9136507623855562,1.0945101138962383,0.11687965918849756
USC-SIkJalpha,11,inc death,5,CH,0.9858874271825412,1.014314588489874,0.5071060725578203
UMass-MechBayes,7,inc death,2,CH,1.1022546536211912,0.9072313704593958,0.09764501456960675
UMass-SemiMech,7,inc death,2,CH,0.9813353786323822,1.0190196152854791,0.10967674666152763
UMass-MechBayes,7,inc death,3,CH,1.2565167042536125,0.7958509398361029,0.09894298529155762
UMass-SemiMech,7,inc death,3,CH,1.117637530690188,0.8947444699557092,0.11123777644688315
UMass-MechBayes,7,inc death,4,CH,1.4275802115585656,0.7004860335716243,0.0811899324785733
UMass-SemiMech,7,inc death,4,CH,1.5163929100034004,0.6594596910887414,0.07643476846902919
IEM_Health-CovidProject,11,inc case,1,CY,1.318617722371935,0.7583699073915038,0.11088443852856311
ILM-EKF,11,inc case,1,CY,1.391789080648345,0.7184996734808152,0.10505484474049252
LANL-GrowthRate,11,inc case,1,CY,0.6475948408148313,1.5441753654827726,0.2257803437640915
RobertWalraven-ESG,11,inc case,1,CY,1.3637499407373304,0.7332722591792276,0.10721480633023674
USC-SIkJalpha,11,inc case,1,CY,1.6368907283138403,0.6109143284293015,0.08932434111203001
epiforecasts-EpiNow2,11,inc case,1,CY,0.7156260808630939,1.3973778020973353,0.20431645755934502
IEM_Health-CovidProject,11,inc case,2,CY,1.1538751919222534,0.8666448563939476,0.11321872333977023
ILM-EKF,11,inc case,2,CY,1.0682191924573818,0.9361374585487018,0.12229725607376406
LANL-GrowthRate,11,inc case,2,CY,0.7204347997802555,1.3880506609411658,0.18133532161788593
RobertWalraven-ESG,11,inc case,2,CY,1.126976279962394,0.8873301220087516,0.11592105215136313
USC-SIkJalpha,11,inc case,2,CY,1.0868633015992872,0.9200789082937381,0.12019936263432261
epiforecasts-EpiNow2,11,inc case,2,CY,0.7066188166634573,1.4151901653593693,0.18488083396891788
IEM_Health-CovidProject,11,inc case,3,CY,0.9354930633457376,1.068955013331213,0.12108218689224841
ILM-EKF,11,inc case,3,CY,0.9019650285452616,1.1086904351633837,0.12558307955145565
LANL-GrowthRate,11,inc case,3,CY,0.6419696568412232,1.557706021372483,0.17644376914911686
RobertWalraven-ESG,11,inc case,3,CY,0.6982224697090137,1.4322082765637048,0.1622284455835929
USC-SIkJalpha,11,inc case,3,CY,0.914410705416116,1.0936004949164886,0.12387381869166184
epiforecasts-EpiNow2,11,inc case,3,CY,0.8560711478613817,1.1681272082328416,0.13231557472226818
IEM_Health-CovidProject,11,inc case,4,CY,0.8429896591646824,1.1862541718375277,0.12714479858762964
ILM-EKF,11,inc case,4,CY,0.895372668050577,1.1168533904181146,0.11970630135416832
LANL-GrowthRate,11,inc case,4,CY,0.6202102080199056,1.6123565640633652,0.1728151988470788
RobertWalraven-ESG,11,inc case,4,CY,0.531985621922617,1.8797500511122098,0.20147490084147204
UMass-SemiMech,8,inc case,1,CY,0.9287876848661344,1.0766723292031262,0.15742476796524116
USC-SIkJalpha,11,inc case,4,CY,0.9862238218645236,1.0139686122258045,0.10867893073533111
epiforecasts-EpiNow2,11,inc case,4,CY,0.9523898298129962,1.049990212722402,0.11253978892970062
LANL-GrowthRate,11,inc case,5,CY,0.7719612010158645,1.2954018915510872,0.6265962163146895
UMass-SemiMech,8,inc case,2,CY,0.8056881310836017,1.2411750420787018,0.16214745021397622
