"date","location","location_name","inc_case","inc_death"
2020-01-26,"LUX","Luxembourg",0,0
2020-01-26,"NLD","Netherlands",0,0
2020-01-26,"NOR","Norway",0,0
2020-01-26,"ROU","Romania",0,0
2020-01-26,"SWE","Sweden",0,0
2020-02-02,"AUT","Austria",0,0
2020-02-02,"BEL","Belgium",0,0
2020-02-02,"CHE","Switzerland",0,0
2020-02-02,"CZE","Czechia",0,0
2020-02-02,"DEU","Germany",9,0
2020-02-02,"DNK","Denmark",0,0
2020-02-02,"ESP","Spain",1,0
2020-02-02,"EST","Estonia",0,0
2020-02-02,"FIN","Finland",1,0
2020-02-02,"FRA","France",3,0
2020-02-02,"GBR","United Kingdom",2,0
2020-02-02,"GRC","Greece",0,0
2020-02-02,"HRV","Croatia",0,0
2020-02-02,"IRL","Ireland",0,0
2020-02-02,"ISL","Iceland",0,0
2020-02-02,"ITA","Italy",3,0
2020-02-02,"LTU","Lithuania",0,0
2020-02-02,"LUX","Luxembourg",0,0
2020-02-02,"NLD","Netherlands",0,0
2020-02-02,"NOR","Norway",0,0
2020-02-02,"ROU","Romania",0,0
2020-02-02,"SWE","Sweden",0,0
2020-02-09,"AUT","Austria",0,0
2020-02-09,"BEL","Belgium",0,0
2020-02-09,"CHE","Switzerland",0,0
2020-02-09,"CZE","Czechia",0,0
2020-02-09,"DEU","Germany",4,0
2020-02-09,"DNK","Denmark",0,0
2020-02-09,"ESP","Spain",1,0
2020-02-09,"EST","Estonia",0,0
2020-02-09,"FIN","Finland",0,0
2020-02-09,"FRA","France",5,0
2020-02-09,"GBR","United Kingdom",6,0
2020-02-09,"GRC","Greece",0,0
2020-02-09,"HRV","Croatia",0,0
2020-02-09,"IRL","Ireland",0,0
2020-02-09,"ISL","Iceland",0,0
2020-02-09,"ITA","Italy",0,0
2020-02-09,"LTU","Lithuania",0,0
2020-02-09,"LUX","Luxembourg",0,0
2020-02-09,"NLD","Netherlands",0,0
2020-02-09,"NOR","Norway",0,0
2020-02-09,"ROU","Romania",0,0
2020-02-09,"SWE","Sweden",1,0
2020-02-16,"AUT","Austria",0,0
2020-02-16,"BEL","Belgium",0,0
2020-02-16,"CHE","Switzerland",0,0
2020-02-16,"CZE","Czechia",0,0
2020-02-16,"DEU","Germany",2,0
2020-02-16,"DNK","Denmark",0,0
2020-02-16,"ESP","Spain",0,0
2020-02-16,"EST","Estonia",0,0
2020-02-16,"FIN","Finland",0,0
2020-02-16,"FRA","France",1,1
2020-02-16,"GBR","United Kingdom",2,0
2020-02-16,"GRC","Greece",0,0
2020-02-16,"HRV","Croatia",0,0
2020-02-16,"IRL","Ireland",0,0
2020-02-16,"ISL","Iceland",0,0
2020-02-16,"ITA","Italy",0,0
2020-02-16,"LTU","Lithuania",0,0
2020-02-16,"LUX","Luxembourg",0,0
2020-02-16,"NLD","Netherlands",0,0
2020-02-16,"NOR","Norway",0,0
2020-02-16,"ROU","Romania",0,0
2020-02-16,"SWE","Sweden",0,0
2020-02-23,"AUT","Austria",0,0
2020-02-23,"BEL","Belgium",0,0
2020-02-23,"CHE","Switzerland",0,0
2020-02-23,"CZE","Czechia",0,0
2020-02-23,"DEU","Germany",0,0
2020-02-23,"DNK","Denmark",0,0
2020-02-23,"ESP","Spain",0,0
2020-02-23,"EST","Estonia",0,0
2020-02-23,"FIN","Finland",0,0
2020-02-23,"FRA","France",0,0
2020-02-23,"GBR","United Kingdom",1,0
2020-02-23,"GRC","Greece",0,0
2020-02-23,"HRV","Croatia",0,0
2020-02-23,"IRL","Ireland",0,0
2020-02-23,"ISL","Iceland",0,0
2020-02-23,"ITA","Italy",129,2
2020-02-23,"LTU","Lithuania",0,0
2020-02-23,"LUX","Luxembourg",0,0
2020-02-23,"NLD","Netherlands",0,0
2020-02-23,"NOR","Norway",0,0
2020-02-23,"ROU","Romania",0,0
2020-02-23,"SWE","Sweden",0,0
2020-03-01,"AUT","Austria",14,0
2020-03-01,"BEL","Belgium",19,0
2020-03-01,"CHE","Switzerland",24,0
2020-03-01,"CZE","Czechia",3,0
2020-03-01,"DEU","Germany",114,0
2020-03-01,"DNK","Denmark",4,0
2020-03-01,"ESP","Spain",134,0
2020-03-01,"EST","Estonia",1,0
2020-03-01,"FIN","Finland",5,0
2020-03-01,"FRA","France",118,1
2020-03-01,"GBR","United Kingdom",36,0
2020-03-01,"GRC","Greece",7,0
2020-03-01,"HRV","Croatia",7,0
2020-03-01,"IRL","Ireland",1,0
2020-03-01,"ISL","Iceland",3,0
2020-03-01,"ITA","Italy",1557,33
2020-03-01,"LTU","Lithuania",1,0
2020-03-01,"LUX","Luxembourg",1,0
2020-03-01,"NLD","Netherlands",13,0
2020-03-01,"NOR","Norway",19,0
2020-03-01,"ROU","Romania",3,0
2020-03-01,"SWE","Sweden",13,0
2020-03-08,"AUT","Austria",88,0
2020-03-08,"BEL","Belgium",388,0
2020-03-08,"BGR","Bulgaria",4,0
2020-03-08,"CHE","Switzerland",308,2
2020-03-08,"CZE","Czechia",29,0
2020-03-08,"DEU","Germany",773,0
2020-03-08,"DNK","Denmark",34,0
2020-03-08,"ESP","Spain",1391,5
2020-03-08,"EST","Estonia",9,0
2020-03-08,"FIN","Finland",24,0
2020-03-08,"FRA","France",996,17
2020-03-08,"GBR","United Kingdom",365,2
2020-03-08,"GRC","Greece",66,0
2020-03-08,"HRV","Croatia",5,0
2020-03-08,"HUN","Hungary",8,0
2020-03-08,"IRL","Ireland",20,0
2020-03-08,"ISL","Iceland",52,0
2020-03-08,"ITA","Italy",5686,331
2020-03-08,"LTU","Lithuania",0,0
2020-03-08,"LUX","Luxembourg",4,0
2020-03-08,"LVA","Latvia",3,0
2020-03-08,"MLT","Malta",3,0
2020-03-08,"NLD","Netherlands",252,3
2020-03-08,"NOR","Norway",150,0
2020-03-08,"POL","Poland",11,0
2020-03-08,"PRT","Portugal",30,0
2020-03-08,"ROU","Romania",12,0
2020-03-08,"SVK","Slovakia",5,0
2020-03-08,"SVN","Slovenia",16,0
2020-03-08,"SWE","Sweden",211,0
2020-03-15,"AUT","Austria",758,1
2020-03-15,"BEL","Belgium",1348,19
2020-03-15,"BGR","Bulgaria",47,2
2020-03-15,"CHE","Switzerland",1868,11
2020-03-15,"CYP","Cyprus",30,0
2020-03-15,"CZE","Czechia",266,0
2020-03-15,"DEU","Germany",3936,12
2020-03-15,"DNK","Denmark",837,1
2020-03-15,"ESP","Spain",9964,283
2020-03-15,"EST","Estonia",161,0
2020-03-15,"FIN","Finland",237,0
2020-03-15,"FRA","France",4297,108
2020-03-15,"GBR","United Kingdom",2193,41
2020-03-15,"GRC","Greece",258,4
2020-03-15,"HRV","Croatia",36,0
2020-03-15,"HUN","Hungary",31,1
2020-03-15,"IRL","Ireland",148,2
2020-03-15,"ISL","Iceland",123,0
2020-03-15,"ITA","Italy",16605,1445
2020-03-15,"LIE","Liechtenstein",7,0
2020-03-15,"LTU","Lithuania",13,0
2020-03-15,"LUX","Luxembourg",72,1
2020-03-15,"LVA","Latvia",28,0
2020-03-15,"MLT","Malta",27,0
2020-03-15,"NLD","Netherlands",870,17
2020-03-15,"NOR","Norway",908,1
2020-03-15,"POL","Poland",114,3
2020-03-15,"PRT","Portugal",215,0
2020-03-15,"ROU","Romania",124,0
2020-03-15,"SVK","Slovakia",56,0
2020-03-15,"SVN","Slovenia",203,0
2020-03-15,"SWE","Sweden",838,8
2020-03-22,"AUT","Austria",2771,15
2020-03-22,"BEL","Belgium",3673,199
2020-03-22,"BGR","Bulgaria",134,1
2020-03-22,"CHE","Switzerland",4771,47
2020-03-22,"CYP","Cyprus",65,0
2020-03-22,"CZE","Czechia",867,1
2020-03-22,"DEU","Germany",19936,82
2020-03-22,"DNK","Denmark",520,12
2020-03-22,"ESP","Spain",29771,1432
2020-03-22,"EST","Estonia",155,0
2020-03-22,"FIN","Finland",359,1
2020-03-22,"FRA","France",10595,547
2020-03-22,"GBR","United Kingdom",6329,245
2020-03-22,"GRC","Greece",293,11
2020-03-22,"HRV","Croatia",187,0
2020-03-22,"HUN","Hungary",128,6
2020-03-22,"IRL","Ireland",737,2
2020-03-22,"ISL","Iceland",390,1
2020-03-22,"ITA","Italy",35158,3665
2020-03-22,"LIE","Liechtenstein",39,0
2020-03-22,"LTU","Lithuania",129,1
2020-03-22,"LUX","Luxembourg",721,7
2020-03-22,"LVA","Latvia",108,0
2020-03-22,"MLT","Malta",77,0
2020-03-22,"NLD","Netherlands",3069,159
2020-03-22,"NOR","Norway",1055,6
2020-03-22,"POL","Poland",509,4
2020-03-22,"PRT","Portugal",1355,14
2020-03-22,"ROU","Romania",294,2
2020-03-22,"SVK","Slovakia",124,0
2020-03-22,"SVN","Slovenia",195,1
2020-03-22,"SWE","Sweden",924,53
2020-03-29,"AUT","Austria",5182,70
2020-03-29,"BEL","Belgium",8130,782
2020-03-29,"BGR","Bulgaria",161,5
2020-03-29,"CHE","Switzerland",7303,197
2020-03-29,"CYP","Cyprus",119,6
2020-03-29,"CZE","Czechia",1664,15
2020-03-29,"DEU","Germany",32524,361
2020-03-29,"DNK","Denmark",1000,59
2020-03-29,"ESP","Spain",54860,4808
2020-03-29,"EST","Estonia",353,3
2020-03-29,"FIN","Finland",592,10
2020-03-29,"FRA","France",24156,1932
2020-03-29,"GBR","United Kingdom",17889,1388
2020-03-29,"GRC","Greece",532,23
2020-03-29,"HRV","Croatia",478,6
2020-03-29,"HUN","Hungary",280,8
2020-03-29,"IRL","Ireland",1709,42
2020-03-29,"ISL","Iceland",452,1
2020-03-29,"ITA","Italy",38551,5305
2020-03-29,"LIE","Liechtenstein",16,0
2020-03-29,"LTU","Lithuania",341,6
2020-03-29,"LUX","Luxembourg",1152,13
2020-03-29,"LVA","Latvia",237,0
2020-03-29,"MLT","Malta",49,0
2020-03-29,"NLD","Netherlands",6662,592
2020-03-29,"NOR","Norway",1970,15
2020-03-29,"POL","Poland",1228,15
2020-03-29,"PRT","Portugal",4362,105
2020-03-29,"ROU","Romania",1327,38
2020-03-29,"SVK","Slovakia",151,0
2020-03-29,"SVN","Slovenia",316,10
2020-03-29,"SWE","Sweden",1957,224
2020-04-05,"AUT","Austria",3170,118
2020-04-05,"BEL","Belgium",9694,1584
2020-04-05,"BGR","Bulgaria",185,12
2020-04-05,"CHE","Switzerland",6748,302
2020-04-05,"CYP","Cyprus",232,3
2020-04-05,"CZE","Czechia",1758,51
2020-04-05,"DEU","Germany",38093,979
2020-04-05,"DNK","Denmark",1974,107
2020-04-05,"ESP","Spain",46276,5890
2020-04-05,"EST","Estonia",418,12
2020-04-05,"FIN","Finland",709,16
2020-04-05,"FRA","France",30304,5472
2020-04-05,"GBR","United Kingdom",30357,4197
2020-04-05,"GRC","Greece",579,35
2020-04-05,"HRV","Croatia",469,9
2020-04-05,"HUN","Hungary",297,23
2020-04-05,"IRL","Ireland",2496,112
2020-04-05,"ISL","Iceland",466,2
2020-04-05,"ITA","Italy",31259,5108
2020-04-05,"LIE","Liechtenstein",16,1
2020-04-05,"LTU","Lithuania",327,6
2020-04-05,"LUX","Luxembourg",854,15
2020-04-05,"LVA","Latvia",157,1
2020-04-05,"MLT","Malta",85,0
2020-04-05,"NLD","Netherlands",6985,995
2020-04-05,"NOR","Norway",1538,36
2020-04-05,"POL","Poland",2240,72
2020-04-05,"PRT","Portugal",5316,176
2020-04-05,"ROU","Romania",2104,108
2020-04-05,"SVK","Slovakia",149,0
2020-04-05,"SVN","Slovenia",267,17
2020-04-05,"SWE","Sweden",3229,496
2020-04-12,"AUT","Austria",1954,146
2020-04-12,"BEL","Belgium",11175,1979
2020-04-12,"BGR","Bulgaria",144,9
2020-04-12,"CHE","Switzerland",4198,299
2020-04-12,"CYP","Cyprus",187,2
2020-04-12,"CZE","Czechia",1404,71
2020-04-12,"DEU","Germany",27625,1365
2020-04-12,"DNK","Denmark",1805,94
2020-04-12,"ESP","Spain",32553,4554
2020-04-12,"EST","Estonia",212,10
2020-04-12,"FIN","Finland",1047,29
2020-04-12,"FRA","France",24925,6315
2020-04-12,"GBR","United Kingdom",32205,6440
2020-04-12,"GRC","Greece",379,25
2020-04-12,"HRV","Croatia",418,8
2020-04-12,"HUN","Hungary",714,71
2020-04-12,"IRL","Ireland",4544,176
2020-04-12,"ISL","Iceland",215,4
2020-04-12,"ITA","Italy",27415,4012
2020-04-12,"LIE","Liechtenstein",2,0
2020-04-12,"LTU","Lithuania",251,11
2020-04-12,"LUX","Luxembourg",477,30
2020-04-12,"LVA","Latvia",118,4
2020-04-12,"MLT","Malta",143,3
2020-04-12,"NLD","Netherlands",7736,971
2020-04-12,"NOR","Norway",775,45
2020-04-12,"POL","Poland",2572,138
2020-04-12,"PRT","Portugal",5307,209
2020-04-12,"ROU","Romania",2436,158
2020-04-12,"SVK","Slovakia",257,2
2020-04-12,"SVN","Slovenia",208,25
2020-04-12,"SWE","Sweden",3739,658
2020-04-19,"AUT","Austria",773,102
2020-04-19,"BEL","Belgium",7963,1667
2020-04-19,"BGR","Bulgaria",240,14
2020-04-19,"CHE","Switzerland",2438,276
2020-04-19,"CYP","Cyprus",134,1
2020-04-19,"CZE","Czechia",796,50
2020-04-19,"DEU","Germany",18656,1605
2020-04-19,"DNK","Denmark",1210,82
2020-04-19,"ESP","Spain",20519,3880
2020-04-19,"EST","Estonia",219,15
2020-04-19,"FIN","Finland",809,38
2020-04-19,"FRA","France",17203,5325
2020-04-19,"GBR","United Kingdom",32027,6166
2020-04-19,"GRC","Greece",121,12
2020-04-19,"HRV","Croatia",271,24
2020-04-19,"HUN","Hungary",526,90
2020-04-19,"IRL","Ireland",5596,276
2020-04-19,"ISL","Iceland",70,1
2020-04-19,"ITA","Italy",22609,3759
2020-04-19,"LIE","Liechtenstein",2,0
2020-04-19,"LTU","Lithuania",264,12
2020-04-19,"LUX","Luxembourg",269,7
2020-04-19,"LVA","Latvia",76,0
2020-04-19,"MLT","Malta",47,0
2020-04-19,"NLD","Netherlands",7068,947
2020-04-19,"NOR","Norway",653,51
2020-04-19,"POL","Poland",2613,128
2020-04-19,"PRT","Portugal",3621,210
2020-04-19,"ROU","Romania",2446,128
2020-04-19,"SVK","Slovakia",419,10
2020-04-19,"SVN","Slovenia",125,21
2020-04-19,"SWE","Sweden",3751,659
2020-04-26,"AUT","Austria",479,90
2020-04-26,"BEL","Belgium",5703,1197
2020-04-26,"BGR","Bulgaria",385,13
2020-04-26,"CHE","Switzerland",1320,202
2020-04-26,"CYP","Cyprus",50,2
2020-04-26,"CZE","Czechia",617,33
2020-04-26,"DEU","Germany",13521,1346
2020-04-26,"DNK","Denmark",1191,67
2020-04-26,"ESP","Spain",16100,2338
2020-04-26,"EST","Estonia",115,9
2020-04-26,"FIN","Finland",793,96
2020-04-26,"FRA","France",11969,3138
2020-04-26,"GBR","United Kingdom",32830,5512
2020-04-26,"GRC","Greece",271,20
2020-04-26,"HRV","Croatia",159,8
2020-04-26,"HUN","Hungary",599,81
2020-04-26,"IRL","Ireland",4011,477
2020-04-26,"ISL","Iceland",21,1
2020-04-26,"ITA","Italy",18703,2984
2020-04-26,"LIE","Liechtenstein",1,0
2020-04-26,"LTU","Lithuania",112,5
2020-04-26,"LUX","Luxembourg",173,15
2020-04-26,"LVA","Latvia",85,7
2020-04-26,"MLT","Malta",18,1
2020-04-26,"NLD","Netherlands",5190,791
2020-04-26,"NOR","Norway",437,39
2020-04-26,"POL","Poland",2330,175
2020-04-26,"PRT","Portugal",3640,214
2020-04-26,"ROU","Romania",2290,174
2020-04-26,"SVK","Slovakia",218,6
2020-04-26,"SVN","Slovenia",77,8
2020-04-26,"SWE","Sweden",4201,535
2020-05-03,"AUT","Austria",349,56
2020-05-03,"BEL","Belgium",3095,701
2020-05-03,"BGR","Bulgaria",318,17
2020-05-03,"CHE","Switzerland",844,136
2020-05-03,"CYP","Cyprus",55,1
2020-05-03,"CZE","Czechia",377,27
2020-05-03,"DEU","Germany",7982,942
2020-05-03,"DNK","Denmark",948,59
2020-05-03,"ESP","Spain",7635,2238
2020-05-03,"EST","Estonia",57,6
2020-05-03,"FIN","Finland",678,40
2020-05-03,"FRA","France",6712,2039
2020-05-03,"GBR","United Kingdom",31282,4227
2020-05-03,"GRC","Greece",120,14
2020-05-03,"HRV","Croatia",66,24
2020-05-03,"HUN","Hungary",452,71
2020-05-03,"IRL","Ireland",2244,216
2020-05-03,"ISL","Iceland",7,0
2020-05-03,"ITA","Italy",13042,2240
2020-05-03,"LIE","Liechtenstein",0,0
2020-05-03,"LTU","Lithuania",-28,5
2020-05-03,"LUX","Luxembourg",101,8
2020-05-03,"LVA","Latvia",67,4
2020-05-03,"MLT","Malta",30,0
2020-05-03,"NLD","Netherlands",2726,581
2020-05-03,"NOR","Norway",304,15
2020-05-03,"POL","Poland",2076,143
2020-05-03,"PRT","Portugal",1678,135
2020-05-03,"ROU","Romania",2127,172
2020-05-03,"SVK","Slovakia",29,6
2020-05-03,"SVN","Slovenia",32,14
2020-05-03,"SWE","Sweden",3832,554
2020-05-10,"AUT","Austria",249,20
2020-05-10,"BEL","Belgium",3051,540
2020-05-10,"BGR","Bulgaria",347,18
2020-05-10,"CHE","Switzerland",400,65
2020-05-10,"CYP","Cyprus",26,1
2020-05-10,"CZE","Czechia",342,32
2020-05-10,"DEU","Germany",6400,725
2020-05-10,"DNK","Denmark",906,38
2020-05-10,"ESP","Spain",8565,1316
2020-05-10,"EST","Estonia",39,5
2020-05-10,"FIN","Finland",708,37
2020-05-10,"FRA","France",7776,1485
2020-05-10,"GBR","United Kingdom",22867,3174
2020-05-10,"GRC","Greece",90,7
2020-05-10,"HRV","Croatia",91,11
2020-05-10,"HUN","Hungary",249,70
2020-05-10,"IRL","Ireland",1490,155
2020-05-10,"ISL","Iceland",2,0
2020-05-10,"ITA","Italy",8353,1676
2020-05-10,"LIE","Liechtenstein",0,0
2020-05-10,"LTU","Lithuania",69,4
2020-05-10,"LUX","Luxembourg",62,5
2020-05-10,"LVA","Latvia",60,2
2020-05-10,"MLT","Malta",23,1
2020-05-10,"NLD","Netherlands",2056,384
2020-05-10,"NOR","Norway",290,9
2020-05-10,"POL","Poland",2303,122
2020-05-10,"PRT","Portugal",2057,72
2020-05-10,"ROU","Romania",2199,172
2020-05-10,"SVK","Slovakia",49,2
2020-05-10,"SVN","Slovenia",21,6
2020-05-10,"SWE","Sweden",4152,491
2020-05-17,"AUT","Austria",367,11
2020-05-17,"BEL","Belgium",2071,315
2020-05-17,"BGR","Bulgaria",270,19
2020-05-17,"CHE","Switzerland",282,65
2020-05-17,"CYP","Cyprus",18,1
2020-05-17,"CZE","Czechia",352,17
2020-05-17,"DEU","Germany",5122,518
2020-05-17,"DNK","Denmark",498,28
2020-05-17,"ESP","Spain",3836,965
2020-05-17,"EST","Estonia",35,3
2020-05-17,"FIN","Finland",385,31
2020-05-17,"FRA","France",3348,1331
2020-05-17,"GBR","United Kingdom",19857,2428
2020-05-17,"GRC","Greece",118,12
2020-05-17,"HRV","Croatia",39,5
2020-05-17,"HUN","Hungary",251,41
2020-05-17,"IRL","Ireland",1116,85
2020-05-17,"ISL","Iceland",1,0
2020-05-17,"ITA","Italy",6365,1348
2020-05-17,"LIE","Liechtenstein",0,0
2020-05-17,"LTU","Lithuania",62,6
2020-05-17,"LUX","Luxembourg",59,6
2020-05-17,"LVA","Latvia",69,1
2020-05-17,"MLT","Malta",55,1
2020-05-17,"NLD","Netherlands",1368,240
2020-05-17,"NOR","Norway",98,15
2020-05-17,"POL","Poland",2533,125
2020-05-17,"PRT","Portugal",1455,83
2020-05-17,"ROU","Romania",1509,145
2020-05-17,"SVK","Slovakia",37,2
2020-05-17,"SVN","Slovenia",6,2
2020-05-17,"SWE","Sweden",3869,375
2020-05-24,"AUT","Austria",285,11
2020-05-24,"BEL","Belgium",1510,233
2020-05-24,"BGR","Bulgaria",198,20
2020-05-24,"CHE","Switzerland",149,39
2020-05-24,"CYP","Cyprus",19,0
2020-05-24,"CZE","Czechia",482,18
2020-05-24,"DEU","Germany",3873,322
2020-05-24,"DNK","Denmark",433,15
2020-05-24,"ESP","Spain",3794,-875
2020-05-24,"EST","Estonia",49,0
2020-05-24,"FIN","Finland",232,9
2020-05-24,"FRA","France",2510,656
2020-05-24,"GBR","United Kingdom",16360,2137
2020-05-24,"GRC","Greece",44,8
2020-05-24,"HRV","Croatia",18,4
2020-05-24,"HUN","Hungary",221,29
2020-05-24,"IRL","Ireland",527,63
2020-05-24,"ISL","Iceland",2,0
2020-05-24,"ITA","Italy",4423,877
2020-05-24,"LIE","Liechtenstein",0,0
2020-05-24,"LTU","Lithuania",82,7
2020-05-24,"LUX","Luxembourg",47,3
2020-05-24,"LVA","Latvia",39,3
2020-05-24,"MLT","Malta",53,0
2020-05-24,"NLD","Netherlands",1241,142
2020-05-24,"NOR","Norway",112,3
2020-05-24,"POL","Poland",2797,71
2020-05-24,"PRT","Portugal",1587,98
2020-05-24,"ROU","Romania",1199,82
2020-05-24,"SVK","Slovakia",15,0
2020-05-24,"SVN","Slovenia",3,2
2020-05-24,"SWE","Sweden",3659,343
2020-05-31,"AUT","Austria",203,28
2020-05-31,"BEL","Belgium",1144,161
2020-05-31,"BGR","Bulgaria",80,10
2020-05-31,"CHE","Switzerland",126,15
2020-05-31,"CYP","Cyprus",9,0
2020-05-31,"CZE","Czechia",316,5
2020-05-31,"DEU","Germany",3245,254
2020-05-31,"DNK","Denmark",309,12
2020-05-31,"ESP","Spain",4238,293
2020-05-31,"EST","Estonia",46,0
2020-05-31,"FIN","Finland",280,13
2020-05-31,"FRA","France",6832,435
2020-05-31,"GBR","United Kingdom",10907,1488
2020-05-31,"GRC","Greece",39,4
2020-05-31,"HRV","Croatia",2,4
2020-05-31,"HUN","Hungary",120,35
2020-05-31,"IRL","Ireland",351,44
2020-05-31,"ISL","Iceland",2,0
2020-05-31,"ITA","Italy",3161,630
2020-05-31,"LIE","Liechtenstein",0,0
2020-05-31,"LTU","Lithuania",52,7
2020-05-31,"LUX","Luxembourg",26,0
2020-05-31,"LVA","Latvia",19,2
2020-05-31,"MLT","Malta",8,3
2020-05-31,"NLD","Netherlands",1206,134
2020-05-31,"NOR","Norway",102,1
2020-05-31,"POL","Poland",2460,68
2020-05-31,"PRT","Portugal",1877,94
2020-05-31,"ROU","Romania",1187,83
2020-05-31,"SVK","Slovakia",13,0
2020-05-31,"SVN","Slovenia",4,2
2020-05-31,"SWE","Sweden",4281,271
2020-06-07,"AUT","Austria",226,4
2020-06-07,"BEL","Belgium",847,113
2020-06-07,"BGR","Bulgaria",214,20
2020-06-07,"CHE","Switzerland",103,4
2020-06-07,"CYP","Cyprus",20,1
2020-06-07,"CZE","Czechia",355,7
2020-06-07,"DEU","Germany",2378,163
2020-06-07,"DNK","Denmark",279,15
2020-06-07,"ESP","Spain",2079,9
2020-06-07,"EST","Estonia",70,0
2020-06-07,"FIN","Finland",122,3
2020-06-07,"FRA","France",2224,353
2020-06-07,"GBR","United Kingdom",8524,1174
2020-06-07,"GRC","Greece",80,5
2020-06-07,"HRV","Croatia",1,1
2020-06-07,"HUN","Hungary",94,16
2020-06-07,"IRL","Ireland",211,29
2020-06-07,"ISL","Iceland",1,0
2020-06-07,"ITA","Italy",1979,484
2020-06-07,"LIE","Liechtenstein",0,0
2020-06-07,"LTU","Lithuania",39,1
2020-06-07,"LUX","Luxembourg",21,0
2020-06-07,"LVA","Latvia",22,1
2020-06-07,"MLT","Malta",11,0
2020-06-07,"NLD","Netherlands",1132,57
2020-06-07,"NOR","Norway",93,2
2020-06-07,"POL","Poland",2775,93
2020-06-07,"PRT","Portugal",1993,69
2020-06-07,"ROU","Romania",1222,64
2020-06-07,"SVK","Slovakia",6,0
2020-06-07,"SVN","Slovenia",12,0
2020-06-07,"SWE","Sweden",6021,244
2020-06-14,"AUT","Austria",170,5
2020-06-14,"BEL","Belgium",671,58
2020-06-14,"BGR","Bulgaria",563,14
2020-06-14,"CHE","Switzerland",152,16
2020-06-14,"CYP","Cyprus",19,0
2020-06-14,"CZE","Czechia",396,2
2020-06-14,"DEU","Germany",2268,117
2020-06-14,"DNK","Denmark",245,8
2020-06-14,"ESP","Spain",2392,0
2020-06-14,"EST","Estonia",34,0
2020-06-14,"FIN","Finland",123,3
2020-06-14,"FRA","France",3243,252
